TOKEN	PREDICTED
Identification	O
of	O
targets	O
for	O
rational	O
pharmacological	O
therapy	O
in	O
childhood	O
craniopharyngioma	O
Abstract	O
Introduction	O
Pediatric	O
adamantinomatous	O
craniopharyngioma	O
(	O
ACP	O
)	O
is	O
a	O
histologically	O
benign	O
but	O
clinically	O
aggressive	O
brain	O
tumor	O
that	O
arises	O
from	O
the	O
sellar	O
/	O
suprasellar	O
region	O
.	O

Despite	O
a	O
high	O
survival	O
rate	O
with	O
current	O
surgical	O
and	O
radiation	O
therapy	O
(	O
75â	O
	O
95Â	O
%	O
at	O
10Â	O
years	O
),	O
ACP	O
is	O
associated	O
with	O
debilitating	O
visual	O
,	O
endocrine	O
,	O
neurocognitive	O
and	O
psychological	O
morbidity	O
,	O
resulting	O
in	O
excheptionally	O
poor	O
quality	O
of	O
life	O
for	O
survivors	O
.	O

Identification	O
of	O
an	O
effective	O
pharmacological	O
therapy	O
could	O
drastically	O
decrease	O
morbidity	O
and	O
improve	O
long	O
term	O
outcomes	O
for	O
children	O
with	O
ACP	O
.	O

Results	O
Using	O
mRNA	O
microarray	O
gene	O
expression	O
analysis	O
of	O
15	O
ACP	O
patient	O
samples	O
,	O
we	O
have	O
found	O
several	O
pharmaceutical	O
targets	O
that	O
are	O
significantly	O
and	O
consistently	O
overexpressed	O
in	O
our	O
panel	O
of	O
ACP	O
relative	O
to	O
other	O
pediatric	O
brain	O
tumors	O
,	O
pituitary	O
tumors	O
,	O
normal	O
pituitary	O
and	O
normal	O
brain	O
tissue	O
.	O

Among	O
the	O
most	O
highly	O
expressed	O
are	O
several	O
targets	O
of	O
the	O
kinase	O
inhibitor	O
dasatinib	O
â	O
	O
LCK	O
,	O
EPHA2	O
and	O
SRC	O
;	O
EGFR	O
pathway	O
targets	O
â	O
	O
AREG	O
,	O
EGFR	O
and	O
ERBB3	O
;	O
and	O
other	O
potentially	O
actionable	O
cancer	O
targets	O
â	O
	O
SHH	O
,	O
MMP9	O
and	O
MMP12	O
.	O

We	O
confirm	O
by	O
western	O
blot	O
that	O
a	O
subset	O
of	O
these	O
targets	O
is	O
highly	O
expressed	O
in	O
ACP	O
primary	O
tumor	O
samples	O
.	O

Conclusions	O
We	O
report	O
here	O
the	O
first	O
published	O
transcriptome	O
for	O
ACP	O
and	O
the	O
identification	O
of	O
targets	O
for	O
rational	O
therapy	O
.	O

Experimental	O
