PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC7222517.nxml.gz	0	['Transcriptional analyses of adult and pediatric adamantinomatous craniopharyngioma reveals similar expression signatures regarding potential therapeutic targets\n\nAbstract\n\nAdamantinomatous craniopharyngioma (ACP) is a biologically benign but clinically aggressive lesion that has a significant impact on quality of life.']	(0, 320)	TRUE
PMC7222517.nxml.gz	1	['The incidence of the disease has a bimodal distribution, with peaks occurring in children and older adults.']	(321, 428)	FALSE
PMC7222517.nxml.gz	2	['Our group previously published the results of a transcriptome analysis of pediatric ACPs that identified several genes that were consistently overexpressed relative to other pediatric brain tumors and normal tissue.']	(429, 644)	TRUE
PMC7222517.nxml.gz	3	['We now present the results of a transcriptome analysis comparing pediatric to adult ACP to identify biological differences between these groups that may provide novel therapeutic insights or support the assertion that potential therapies identified through the study of pediatric ACP may also have a role in adult ACP.']	(645, 963)	TRUE
PMC7222517.nxml.gz	4	['Using our compiled transcriptome dataset of 27 pediatric and 9 adult ACPs, obtained through the Advancing Treatment for Pediatric Craniopharyngioma Consortium, we interrogated potential age-related transcriptional differences using several rigorous mathematical analyses.']	(964, 1235)	TRUE
PMC7222517.nxml.gz	5	['These included: canonical differential expression analysis; divisive, agglomerative, and probabilistic based hierarchical clustering; information theory based characterizations; and the deep learning approach, HD Spot.']	(1236, 1454)	FALSE
PMC7222517.nxml.gz	6	['Our work indicates that there is no therapeutically relevant difference in ACP gene expression based on age.']	(1455, 1563)	TRUE
PMC7222517.nxml.gz	7	['As such, potential therapeutic targets identified in pediatric ACP are also likely to have relvance for adult patients.']	(1564, 1683)	TRUE
PMC7222517.nxml.gz	8	['Introduction\n\nAdamantinomatous craniopharyngioma (ACP) is a histologically benign brain tumor that arises in the sellar/suprasellar region.']	(1685, 1824)	FALSE
PMC7222517.nxml.gz	9	['Despite being a WHO grade I lesion, ACP often follows a clinically aggressive course and has been associated with the worst quality of life outcomes of any pediatric brain tumor.']	(1825, 2003)	TRUE
PMC7222517.nxml.gz	10	['Unlike its histological counterpart, Papillary Craniopharyngioma (PCP), ACP is characterized by bimodal incidence, with spikes during childhood and adulthood.']	(2004, 2162)	FALSE
PMC7222517.nxml.gz	11	['Also unlike PCP, for which promising therapies targeting the BRAFv600e mutation are in clinical trials, ACP is known to harbor only a mutation in the CTNNB1 gene, leading to a failure of normal Î²-Catenin degradation, with resultant cytoplasmic and nuclear accumulation in a subset of cells, where it can act as a transcription factor that may promote ACP pathogenesis.']	(2163, 2532)	TRUE
PMC7222517.nxml.gz	12	['Unfortunately, this understanding has not yet led to the introduction of effective targeted therapies against ACP.']	(2533, 2647)	TRUE
PMC7222517.nxml.gz	13	['As such, current therapies consist primarily of surgery, radiation and intracystic treatments.']	(2648, 2742)	TRUE
PMC7222517.nxml.gz	14	['While downstream effects of the CTNNB1 mutation appear to be the most likely driver mutation in ACP, it is likely that tumorigenesis is multifactorial.']	(2743, 2894)	TRUE
PMC7222517.nxml.gz	15	['Recent studies of the human ACP transcriptome, using both microarray and RNA sequencing, have identified potential novel therapeutic targets.']	(2895, 3036)	TRUE
PMC7222517.nxml.gz	16	['However, this work has focused exclusively on pediatric tumors, leaving open the question of whether these potential therapies could be relevant in adult patients, who represent approximately 69% of all patients with ACP.']	(3037, 3258)	TRUE
PMC7222517.nxml.gz	17	['This work sought to investigate, using bulk RNA sequencing of adult and pediatric ACP, whether there is evidence that patients with ACP from different age cohorts could be expected to respond to the same targeted therapeutic strategies.']	(3260, 3496)	TRUE
PMC7222517.nxml.gz	18	['In order to identify even subtle differences in the transcriptome profile of the 2 tissue populations, we conducted a highly rigorous mathematical analysis that considered the potential for both linear and non-linear age group-related dependencies within the data.']	(3497, 3761)	TRUE
PMC7222517.nxml.gz	19	['Materials and methods\n\nTumor samples\n\nA total of 36 craniopharyngioma tumor samples, as diagnosed by surgical pathology, were included in this study (Table S1).']	(3763, 3923)	FALSE
PMC7222517.nxml.gz	20	['Twenty-seven were acquired during surgery for pediatric patients (age at surgery <â\x80\x8918â\x80\x89years; meanâ\x80\x89=â\x80\x898.4â\x80\x89years, medianâ\x80\x89=â\x80\x898.0â\x80\x89years), and 9 from adults (age at surgery â\x89¥18â\x80\x89years; meanâ\x80\x89=â\x80\x8947.9â\x80\x89years, medianâ\x80\x89=â\x80\x8944.0â\x80\x89years).']	(3924, 4173)	FALSE
PMC7222517.nxml.gz	21	['The pediatric specimens were obtained from patients who underwent surgery at member institutions of the Advancing Treatment for Pediatric Craniopharyngioma (ATPC) consortium.']	(4174, 4348)	FALSE
PMC7222517.nxml.gz	22	['Adult specimens were obtained from University of Colorado Hospital and from the University of Alabama, Birmingham.']	(4349, 4463)	FALSE
PMC7222517.nxml.gz	23	['Tumor samples were snap-frozen in liquid nitrogen in the operating room and subsequently stored in freezers at â\x88\x92â\x80\x8980â\x80\x89Â°C.']	(4464, 4590)	FALSE
PMC7222517.nxml.gz	24	['For transport between institutions, samples were packaged on dry ice, shipped via overnight courier, and immediately placed in a freezer at â\x88\x92â\x80\x8980â\x80\x89Â°C.']	(4591, 4746)	FALSE
PMC7222517.nxml.gz	25	['RNA extraction and sequencing\n\nRNA was extracted from snap-frozen samples using the Allprep DNA/RNA Kit (QIAGENÂ®, Maryland, USA).']	(4748, 4878)	FALSE
PMC7222517.nxml.gz	26	['The quality of the isolated mRNA was determined via DNA analysis ScreenTape (Aligent Technologies).']	(4879, 4978)	FALSE
PMC7222517.nxml.gz	27	['Samples that passed quality control were used to generate cDNA libraries using the Illumina TruSeq Stranded mRNA Sample Prep Kit.']	(4979, 5108)	FALSE
PMC7222517.nxml.gz	28	['RNA sequencing was carried out using the Illumina HiSeq4000 platform with paired-end reads (2â\x80\x89Ã\x97â\x80\x89151).']	(5109, 5215)	FALSE
PMC7222517.nxml.gz	29	['On average, 40 million reads were collected for each sample and outputted to FASTQ files.']	(5216, 5305)	FALSE
PMC7222517.nxml.gz	30	['Sequencing reads were subjected to adapter-trimming and quality control using the Trimmomatic package.']	(5306, 5408)	FALSE
PMC7222517.nxml.gz	31	['Files were mapped to the GRCh38 genome (v33) and subsequently sorted to yield BAM files using the standard STAR pipeline.']	(5409, 5530)	FALSE
PMC7222517.nxml.gz	32	['BAM files were converted to feature counts using the R Bioconductor package RSubread.']	(5531, 5616)	FALSE
PMC7222517.nxml.gz	33	['Normal pituitary RNA sequencing data was obtained from the GTEx portal (www.gtexportal.org).']	(5617, 5709)	FALSE
PMC7222517.nxml.gz	34	['Analysis methodology\n\nDue to the possibility that adult and pediatric transcription patterns would be distinguished by only subtle expression differences, we chose a multimodal bioinformatic approach.']	(5711, 5911)	TRUE
PMC7222517.nxml.gz	35	['This was designed to assess for both linear and non-linear relationships, but also to insulate the statistical analysis from potentially false assumptions.']	(5912, 6067)	TRUE
PMC7222517.nxml.gz	36	['Canonical differential expression analysis\n\nFeature counts for transcriptomes of adult and pediatric ACP samples were analytically processed using a standard DESeq2 protocol.']	(6069, 6243)	FALSE
PMC7222517.nxml.gz	37	['As the experiment intended to rule out differences in gene expression between the 2 age groups, an Independent Hypothesis Weighted (IHW) p-value threshold of 0.1 was utilized to filter transcripts identified as differentially expressed.']	(6244, 6480)	FALSE
PMC7222517.nxml.gz	38	['Results were visualized using a Mass Action (MA) plot and a Euclidean Distance Matrix was employed to serve as a qualitative foundation from which to make statistical methodology arguments downstream.']	(6481, 6681)	FALSE
PMC7222517.nxml.gz	39	['Caption (Fig): FIG 1\n\nGlobal Transcriptional Profiling of Adult and Pediatric ACP Samples.']	(6683, 6773)	FALSE
PMC7222517.nxml.gz	40	['a MA-plot visualizing transcripts indicating significant (Independent Hypothesis Weighting (IHW) adjusted p-value <â\x80\x890.1; red) and insignificant genes (black) as determined in differential expression analysis; transcripts enriched relative to pediatric patients are log fold change (LFC) up (>â\x80\x890) and transcripts enriched relative to adult patients are LFC down (<â\x80\x890).']	(6774, 7147)	FALSE
PMC7222517.nxml.gz	41	['b Euclidean sample distance matrix without clustering demonstrated the relative heterogeneity across all sample groups from a global transcriptional expression perspective.']	(7148, 7320)	TRUE
PMC7222517.nxml.gz	42	['c-e Clustering paradigms utilized in dataset exploration.']	(7321, 7378)	FALSE
PMC7222517.nxml.gz	43	['c Dendrogram yielded from the DIvisive ANAlysis (DIANA) hierarchical clustering algorithm.']	(7379, 7469)	FALSE
PMC7222517.nxml.gz	44	['d Dendrogram produced by the AGlomerative NESting (AGNES) hierarchical clustering algorithm using complete linkage.']	(7470, 7585)	FALSE
PMC7222517.nxml.gz	45	['e Clustering partitions and group ellipsoids generated by the fuzzy analysis (FANNY) probabilistic k-centroid technique.']	(7586, 7706)	FALSE
PMC7222517.nxml.gz	46	['f-h Silhouette plots depicting mean silhouette width across a range of numbers of clusters.']	(7707, 7798)	FALSE
PMC7222517.nxml.gz	47	['Possible silhouette values are within [â\x88\x92â\x80\x891,1] where a value of 1 indicates the cluster member is most-closely related to the members within that cluster and dissimilar to those outside of the cluster.']	(7799, 8003)	TRUE
PMC7222517.nxml.gz	48	['As values approach â\x88\x92â\x80\x891, the opposite is true which indicates the cluster member is an outlier within the cluster.']	(8004, 8121)	TRUE
PMC7222517.nxml.gz	49	['f Silhouette plot generated from the DIANA clustering presented in 1c.']	(8122, 8192)	FALSE
PMC7222517.nxml.gz	50	['g Silhouette plot produced by the AGNES algorithm output presented in 1d.']	(8193, 8266)	FALSE
PMC7222517.nxml.gz	51	['h Silhouette plot yielded by the FANNY algorithm results visualized in 1e\n\nDivisive, agglomerative, and probabilistic clustering was performed using the DIANA, AGNES, and FANNY functions in the cluster R package, respectively.']	(8267, 8493)	FALSE
PMC7222517.nxml.gz	52	['AGNES was implemented with the complete-linkage method.']	(8494, 8549)	FALSE
PMC7222517.nxml.gz	53	['Complete-linkage clustering groups variables by their most dissimilar members and also avoids combining clusters with highly similar elements (as opposed to single-linkage).']	(8550, 8723)	TRUE
PMC7222517.nxml.gz	54	['As shown below in Fig.Â\xa01b, we expect no linear dissimilarity between transcriptomes relative to age group, making complete-linkage an appropriate clustering strategy.']	(8724, 8891)	TRUE
PMC7222517.nxml.gz	55	['As subtle differences in the gene expression patterns could be expected, complete-linkage was employed due to its superiority over a single-linkage approach in handling data groups that closely neighbor one another.']	(8892, 9107)	TRUE
