PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4949713.nxml.gz	0	['Molecular and cellular pathogenesis of adamantinomatous craniopharyngioma\n\nAbstract\n\nAdamantinomatous craniopharyngiomas (ACPs) are the most common pituitary tumours in children.']	(0, 178)	FALSE
PMC4949713.nxml.gz	1	['Although histologically benign, these are clinically aggressive tumours, difficult to manage and associated with poor quality of life for the patients.']	(179, 330)	FALSE
PMC4949713.nxml.gz	2	['Several human and mouse studies have provided unequivocal evidence that the overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin signalling pathway underlies the molecular aetiology of these tumours.']	(331, 519)	FALSE
PMC4949713.nxml.gz	3	['Recently, research using genetically modified mouse models of human ACP have revealed a critical and unexpected nonâ\x80\x90cell autonomous role for pituitary stem cells in ACP tumourigenesis, which has expanded the cancer stem cell paradigm.']	(520, 756)	FALSE
PMC4949713.nxml.gz	4	['As the result of this basic research, the pathogenesis of ACP is being unveiled, with promising implications for the development of novel treatments against these childhood neoplasms.']	(757, 940)	FALSE
PMC4949713.nxml.gz	5	['These benign tumours may additionally represent a unique model to provide insights into the initial steps of oncogenesis.']	(941, 1062)	FALSE
PMC4949713.nxml.gz	6	['Introduction\n\nAdamantinomatous craniopharyngiomas (ACPs) are nonâ\x80\x90hormone secreting sellar tumours that mostly affect children under 15, but can be diagnosed at any age, with a second peak of incidence in adults between 50 and 74 years.']	(1064, 1301)	FALSE
PMC4949713.nxml.gz	7	['The clinical relevance of ACP is not their associated mortality, which is usually low when properly managed, but their high morbidity due to serious endocrinological disturbances and tendency to infiltrate locally and aggressively into the hypothalamus and visual tracts.']	(1302, 1573)	FALSE
PMC4949713.nxml.gz	8	['Currently, there are no specific treatments against these tumours, only surgery and/or radiotherapy, but these are not curative and patients often experience tumour recurrence.']	(1574, 1750)	FALSE
PMC4949713.nxml.gz	9	['Consequences of the tumour and its treatment are long lasting and associated with poor quality of life for the survivors, making many clinicians consider human ACP as a chronic disease [1, 2].']	(1751, 1943)	FALSE
PMC4949713.nxml.gz	10	['This review aims to discuss the pathogenesis of human craniopharyngioma from an embryological perspective, arguing that the majority of human ACPs are developmental tumours.']	(1945, 2118)	FALSE
PMC4949713.nxml.gz	11	['It will present results obtained from human and mouse studies, highlighting the implications of data derived from current research using validated mouse models for these human neoplasms.']	(2119, 2305)	FALSE
PMC4949713.nxml.gz	12	['In particular, it will provide an overview on the critical findings that have helped delineate the early cellular and molecular mechanisms resulting in development of ACP, with a particular emphasis on the role of pituitary stem cells.']	(2306, 2541)	FALSE
PMC4949713.nxml.gz	13	['For inâ\x80\x90depth analysis of the clinical aspects of human ACP, such as treatments and patient management, readers are directed to the other reviews on these topics [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12].']	(2542, 2742)	FALSE
PMC4949713.nxml.gz	14	['Pathology of human ACP \n\nHuman ACPs are cystic tumours located either within or above the sellar region, frequently compromising the hypothalamus, pituitary gland, pituitary stalk and optic chiasm.']	(2744, 2941)	FALSE
PMC4949713.nxml.gz	15	['The histopathology of these tumours is characterized by the formation of a peripheral basal cell layer of palisading epithelium, loose aggregates of epithelial stellate cells, nodules of anucleated ghost cells with brightly eosinophilic cytoplasm termed wet keratin, large areas of regressive changes, that is, hemosiderin deposits, cholesterol clefts, multinucleated foreignâ\x80\x90body giant cells, inflammation and calcifications [13, 14, 15, 16].']	(2942, 3387)	FALSE
PMC4949713.nxml.gz	16	['A histopathological hallmark of human ACP is the presence of cells showing nucleoâ\x80\x90cytoplasmic accumulation of Î²â\x80\x90catenin, which often gather to form whorlâ\x80\x90like structures close to the invasive front (hereby referred to as â\x80\x98cell clustersâ\x80\x99) [9, 17, 18, 19, 20] (Figureâ\x80\x891).']	(3389, 3671)	FALSE
PMC4949713.nxml.gz	17	['These are clearly a minority of cells and are distributed evenly throughout the tumour.']	(3672, 3759)	FALSE
PMC4949713.nxml.gz	18	['These Î²â\x80\x90cateninâ\x80\x90accumulating cluster cells show activation of the WNT/Î²â\x80\x90catenin pathway as evidenced by the expression of pathway targets such as AXIN2, LEF1 and BMP4 [18, 21, 22].']	(3760, 3948)	FALSE
PMC4949713.nxml.gz	19	['They distinctly express stem cell markers [23] and the tight junction protein Claudinâ\x80\x901 [24].']	(3949, 4044)	FALSE
PMC4949713.nxml.gz	20	['The presence of these clusters is a hallmark that differentiates human ACP from any other tumour of the sellar region, including the papillary type of craniopharyngioma [25].']	(4045, 4219)	FALSE
PMC4949713.nxml.gz	21	['Caption (Fig): FIG 1\n\nHistomorphological features of mouse and human ACP.']	(4221, 4294)	FALSE
