PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC5904225.nxml.gz	0	['Tumour compartment transcriptomics demonstrates the activation of inflammatory and odontogenic programmes in human adamantinomatous craniopharyngioma and identifies the MAPK/ERK pathway as a novel therapeutic target\n\nAbstract\n\nAdamantinomatous craniopharyngiomas (ACPs) are clinically challenging tumours, the majority of which have activating mutations in CTNNB1.']	(0, 364)	FALSE
PMC5904225.nxml.gz	1	['They are histologically complex, showing cystic and solid components, the latter comprised of different morphological cell types (e.g.']	(365, 499)	FALSE
PMC5904225.nxml.gz	2	['Î²-catenin-accumulating cluster cells and palisading epithelium), surrounded by a florid glial reaction with immune cells.']	(500, 622)	FALSE
PMC5904225.nxml.gz	3	['Here, we have carried out RNA sequencing on 18 ACP samples and integrated these data with an existing ACP transcriptomic dataset.']	(623, 752)	FALSE
PMC5904225.nxml.gz	4	['No studies so far have examined the patterns of gene expression within the different cellular compartments of the tumour.']	(753, 874)	FALSE
PMC5904225.nxml.gz	5	['To achieve this goal, we have combined laser capture microdissection with computational analyses to reveal groups of genes that are associated with either epithelial tumour cells (clusters and palisading epithelium), glial tissue or immune infiltrate.']	(875, 1126)	FALSE
PMC5904225.nxml.gz	6	['We use these human ACP molecular signatures and RNA-Seq data from two ACP mouse models to reveal that cell clusters are molecularly analogous to the enamel knot, a critical signalling centre controlling normal tooth morphogenesis.']	(1127, 1357)	FALSE
PMC5904225.nxml.gz	7	['Supporting this finding, we show that human cluster cells express high levels of several members of the FGF, TGFB and BMP families of secreted factors, which signal to neighbouring cells as evidenced by immunostaining against the phosphorylated proteins pERK1/2, pSMAD3 and pSMAD1/5/9 in both human and mouse ACP.']	(1358, 1671)	TRUE
PMC5904225.nxml.gz	8	['We reveal that inhibiting the MAPK/ERK pathway with trametinib, a clinically approved MEK inhibitor, results in reduced proliferation and increased apoptosis in explant cultures of human and mouse ACP.']	(1672, 1873)	FALSE
PMC5904225.nxml.gz	9	['Finally, we analyse a prominent molecular signature in the glial reactive tissue to characterise the inflammatory microenvironment and uncover the activation of inflammasomes in human ACP.']	(1874, 2062)	FALSE
PMC5904225.nxml.gz	10	['We validate these results by immunostaining against immune cell markers, cytokine ELISA and proteome analysis in both solid tumour and cystic fluid from ACP patients.']	(2063, 2229)	FALSE
PMC5904225.nxml.gz	11	['Our data support a new molecular paradigm for understanding ACP tumorigenesis as an aberrant mimic of natural tooth development and opens new therapeutic opportunities by revealing the activation of the MAPK/ERK and inflammasome pathways in human ACP.']	(2230, 2481)	FALSE
PMC5904225.nxml.gz	12	['Electronic supplementary material\n\nThe online version of this article (10.1007/s00401-018-1830-2) contains supplementary material, which is available to authorized users.']	(2483, 2653)	FALSE
PMC5904225.nxml.gz	13	['Introduction\n\nAdamantinomatous craniopharyngioma (ACP) is the most common tumour of the sellar region in children.']	(2655, 2769)	FALSE
PMC5904225.nxml.gz	14	['Despite being cytologically benign, ACPs display clinically aggressive behaviour such as destruction of the pituitary gland and invasion of the hypothalamus and visual pathways, altogether leading to chronic severe morbidity and increased mortality during long-term follow-up.']	(2770, 3046)	FALSE
PMC5904225.nxml.gz	15	['ACPs are histologically complex tumours with variable cystic, calcified and solid components.']	(3048, 3141)	FALSE
PMC5904225.nxml.gz	16	['They frequently invade adjacent tissues with infiltrating finger-like structures surrounded by a florid glial and inflammatory reactive tissue.']	(3142, 3285)	FALSE
PMC5904225.nxml.gz	17	['A pathognomonic feature of ACP is the presence of anuclear ghost cells, also known as â\x80\x9cwet keratinâ\x80\x9d, while other common features include calcification and cholesterol clefts.']	(3286, 3464)	FALSE
PMC5904225.nxml.gz	18	['The majority of ACPs have somatic activating mutations in CTNNB1, the gene encoding Î²-catenin.']	(3465, 3560)	FALSE
PMC5904225.nxml.gz	19	['However, nucleo-cytoplasmic accumulation of Î²-catenin is limited to only a small proportion of cells, often correlating with epithelial whorl-like structures (referred to as Î²-catenin-accumulating cell clusters), or in single cells throughout the tumour.']	(3561, 3817)	TRUE
PMC5904225.nxml.gz	20	['As expected, these regions correlate with WNT pathway activation, evidenced by the expression of pathway target genes (e.g.']	(3818, 3941)	FALSE
PMC5904225.nxml.gz	21	['AXIN2 and LEF1).']	(3942, 3958)	FALSE
PMC5904225.nxml.gz	22	['In contrast, in other histological compartments such as the palisading epithelium or stellate reticulum, Î²-catenin expression is limited to the cell membrane and activation of the WNT pathway is less pronounced.']	(3959, 4171)	FALSE
PMC5904225.nxml.gz	23	['The similarities between ACP and both normal tooth development and odontogenic tumours have been recognised for decades, on the basis of their comparable histopathology and co-expression of enamel proteins, proteinases and some keratins, as well as the occasional identification of fully formed teeth in ACP.']	(4172, 4480)	TRUE
PMC5904225.nxml.gz	24	['However, the molecular mechanisms underlying these commonalities are not well understood.']	(4481, 4570)	FALSE
PMC5904225.nxml.gz	25	['Insight into the functional significance of the Î²-catenin-accumulating cell clusters has been provided by studies conducted in murine ACP models, where a degradation-resistant (activated) form of Î²-catenin is expressed in either Rathkeâ\x80\x99s pouch derivatives (Hesx1Cre/+/Ctnnb1lox(ex3)/+ mouse line; ACP embryonic model) or Sox2-expressing adult pituitary stem cells (Sox2CreERT2/+/Ctnnb1lox(ex3)/+ mouse line; ACP inducible model).']	(4572, 5005)	FALSE
PMC5904225.nxml.gz	26	['Evidence gathered from both models suggests these clusters act in a paracrine manner, driving tumour growth and/or invasion into surrounding tissues through the secretion of a wide range of factors (e.g.']	(5006, 5209)	FALSE
PMC5904225.nxml.gz	27	['SHH, FGFs, BMPs, TGFB1; as well as pro-inflammatory mediators such IL1, IL6 and other CXC and CC chemokines).']	(5210, 5319)	FALSE
PMC5904225.nxml.gz	28	['This hypothesis is consistent with their location at the leading edge of tissue invasion in human tumours.']	(5320, 5426)	FALSE
PMC5904225.nxml.gz	29	['These findings have raised interest in discovering therapeutic approaches targeting these clusters and highlighted a need to better understand the pathways and cellular processes active both within clusters and the responding tissues.']	(5427, 5661)	FALSE
PMC5904225.nxml.gz	30	['Two recent publications have analysed mRNA expression microarray profiles of ACPs, comparing either with other tumour types and control tissues, or with the BRAF mutation-driven papillary craniopharyngioma (PCP) subtype.']	(5663, 5883)	FALSE
PMC5904225.nxml.gz	31	['These studies have highlighted the differences between ACP and PCP and identified a number of potential therapeutic targets using differential expression analysis, many of these previously anticipated by studies using the murine models.']	(5884, 6120)	FALSE
PMC5904225.nxml.gz	32	['However, correlation between dysregulated gene pathways in human ACP and tumour architecture has been limited to the analyses of specific proteins by immunostaining.']	(6121, 6286)	FALSE
PMC5904225.nxml.gz	33	['Revealing which pathways are dysregulated in specific tumour cellular compartments is important to increase our understanding of the pathogenesis of human ACP.']	(6287, 6446)	FALSE
PMC5904225.nxml.gz	34	['Additionally, it is a necessary step to determine which cells are likely to be susceptible to specific targeted therapies, helping predict possible outcomes.']	(6447, 6604)	TRUE
PMC5904225.nxml.gz	35	['For instance, pancreatic ductal cell carcinoma (PDCA) epithelial cells secrete SHH and activate the pathway in the tumours, but its targeted inhibition in mouse models and patients causes disruption of the host-derived stroma with little effect on the cancer epithelial cells, resulting in rapid disease progression and increased aggressiveness.']	(6605, 6950)	FALSE
PMC5904225.nxml.gz	36	['In this manuscript, we have performed a comprehensive gene expression study of 18 human ACPs combining whole-tumour RNA-Seq with transcriptomics of laser capture microdissected tumour cellular components to reveal the molecular signatures of specific tumour cell compartments.']	(6952, 7228)	FALSE
PMC5904225.nxml.gz	37	['We complement this gene expression study with proteome analysis and ELISA of both tumour and cystic fluid from ACP patients.']	(7229, 7353)	FALSE
PMC5904225.nxml.gz	38	['Our data provide a molecular rationale for the resemblance of ACP and tooth development and highlight a complex signalling cascade orchestrated by the cluster cells.']	(7354, 7519)	FALSE
PMC5904225.nxml.gz	39	['Of clinical relevance, we identify the MAPK/ERK pathway and inflammasome signalling as potentially targetable pathways and provide preclinical evidence supporting the use of MEK inhibitors against human ACP.']	(7520, 7727)	FALSE
PMC5904225.nxml.gz	40	['Materials and methods\n\nHuman tumour and pituitary samples\n\nAnonymised archival frozen and formalin-fixed paraffin-embedded (FFPE) specimens of ACP and non-functioning pituitary adenoma (NFPA) were identified in the local pathology archive, through the Childhoodâ\x80\x99s Cancer and Leukaemia Group Tissue Bank, Brain UK and from collaborators.']	(7729, 8067)	FALSE
PMC5904225.nxml.gz	41	['Fetal pituitary tissue (19Â\xa0weeks corrected gestational age) was accessed through the Human Developmental Biology Resource (HDBR).']	(8068, 8198)	FALSE
PMC5904225.nxml.gz	42	['Further details can be found in Suppl.']	(8199, 8237)	FALSE
PMC5904225.nxml.gz	43	['Materials and Methods (Online Resource 1).']	(8238, 8280)	FALSE
PMC5904225.nxml.gz	44	['Laser capture microdissection (LCM)\n\nTwo cases (JA004, JA029) were used for LCM because they contained easily definable histological features (clusters, palisading epithelium and glial reaction) and cryopreserved tissue of sufficient quality was available.']	(8282, 8538)	FALSE
PMC5904225.nxml.gz	45	['Further details can be found in Suppl.']	(8539, 8577)	FALSE
PMC5904225.nxml.gz	46	['Materials and Methods (Online Resource 1).']	(8578, 8620)	FALSE
