PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4438576.nxml.gz	0	['Identification of targets for rational pharmacological therapy in childhood craniopharyngioma\n\nAbstract\n\nIntroduction\n\nPediatric adamantinomatous craniopharyngioma (ACP) is a histologically benign but clinically aggressive brain tumor that arises from the sellar/suprasellar region.']	(0, 282)	FALSE
PMC4438576.nxml.gz	1	['Despite a high survival rate with current surgical and radiation therapy (75â\x80\x9395Â\xa0% at 10Â\xa0years), ACP is associated with debilitating visual, endocrine, neurocognitive and psychological morbidity, resulting in excheptionally poor quality of life for survivors.']	(283, 545)	FALSE
PMC4438576.nxml.gz	2	['Identification of an effective pharmacological therapy could drastically decrease morbidity and improve long term outcomes for children with ACP.']	(546, 691)	FALSE
PMC4438576.nxml.gz	3	['Results\n\nUsing mRNA microarray gene expression analysis of 15 ACP patient samples, we have found several pharmaceutical targets that are significantly and consistently overexpressed in our panel of ACP relative to other pediatric brain tumors, pituitary tumors, normal pituitary and normal brain tissue.']	(693, 996)	FALSE
PMC4438576.nxml.gz	4	['Among the most highly expressed are several targets of the kinase inhibitor dasatinib â\x80\x93 LCK, EPHA2 and SRC; EGFR pathway targets â\x80\x93 AREG, EGFR and ERBB3; and other potentially actionable cancer targets â\x80\x93 SHH, MMP9 and MMP12.']	(997, 1226)	FALSE
PMC4438576.nxml.gz	5	['We confirm by western blot that a subset of these targets is highly expressed in ACP primary tumor samples.']	(1227, 1334)	FALSE
PMC4438576.nxml.gz	6	['Conclusions\n\nWe report here the first published transcriptome for ACP and the identification of targets for rational therapy.']	(1336, 1461)	FALSE
PMC4438576.nxml.gz	7	['Experimental drugs targeting each of these gene products are currently being tested clinically and pre-clinically for the treatment of other tumor types.']	(1462, 1615)	FALSE
PMC4438576.nxml.gz	8	['This study provides a rationale for further pre-clinical and clinical studies of novel pharmacological treatments for ACP.']	(1616, 1738)	FALSE
PMC4438576.nxml.gz	9	['Development of mouse and cell culture models for ACP will further enable the translation of these targets from the lab to the clinic, potentially ushering in a new era in the treatment of ACP.']	(1739, 1931)	FALSE
PMC4438576.nxml.gz	10	['Introduction\n\nAdamantinomatous craniopharyngioma (ACP) is the most common non-neural brain tumor with an incidence of approximately 1.9 cases/million patient-years in children.']	(1933, 2109)	FALSE
PMC4438576.nxml.gz	11	['Due to its sensitive sellar/suprasellar location and propensity to form large cysts, ACP often compresses and damages vital structures of the pituitary, hypothalamus and visual apparatus.']	(2110, 2297)	FALSE
PMC4438576.nxml.gz	12	['Although seemingly well-demarcated on neuroimaging studies, histology reveals finger-like protrusions extending into neighboring visual and hypothalamic structures, eliciting tissue damage and gliosis.']	(2298, 2499)	FALSE
PMC4438576.nxml.gz	13	['This propensity to invade adjacent structures, in addition to the difficult surgical location, often precludes total resection in order to avoid the significantly increased risk of visual and hypothalamic damage associated with attempts to completely remove the tumor.']	(2500, 2768)	FALSE
PMC4438576.nxml.gz	14	['The current standard of subtotal resection followed by radiation reduces some of the morbidity, however, it makes recurrence relatively common, even after apparently successful primary therapy.']	(2769, 2962)	FALSE
PMC4438576.nxml.gz	15	['Outcomes after recurrence are poorer, with significantly higher mortality and morbidity than after primary treatment.']	(2963, 3080)	FALSE
PMC4438576.nxml.gz	16	['While conservative surgery and radiation confer low mortality, the morbidity for survivors is still unacceptably high.']	(3082, 3200)	FALSE
PMC4438576.nxml.gz	17	['Variable morbidities are associated with ACP but include endocrine, neurological, vascular, psychological and visual deficits.']	(3201, 3327)	FALSE
PMC4438576.nxml.gz	18	['As a result, ACP has been associated with the lowest quality of life (QoL) scores of any pediatric brain tumor.']	(3328, 3439)	FALSE
PMC4438576.nxml.gz	19	['Lifelong care is necessary for most childhood craniopharyngioma patients and ACP and is considered by many to be a chronic disease.']	(3440, 3571)	FALSE
PMC4438576.nxml.gz	20	['The introduction of rational therapy to treat craniopharyngioma could drastically reduce the morbidity associated with both the primary disease and current treatments by reducing the extent of resection and/or reducing or eliminating the need for subsequent radiation.']	(3572, 3840)	FALSE
PMC4438576.nxml.gz	21	['Such a paradigm change in ACP treatment is critical to improving long term QoL for patients with this debilitating disease.']	(3841, 3964)	FALSE
PMC4438576.nxml.gz	22	['Progress regarding our understanding of the biological drivers of ACP growth has been slowed by the relative rarity of the tumor and the recalcitrance of ACP cells to laboratory growth.']	(3966, 4151)	FALSE
PMC4438576.nxml.gz	23	['Lack of knowledge of the underlying biology, combined with the clinical complexity of ACP have led to an absence of standard systemic antitumor therapies.']	(4152, 4306)	FALSE
PMC4438576.nxml.gz	24	['Few attempts to remedy this deficit have been made, in part because current therapy has acceptable survival outcomes.']	(4307, 4424)	FALSE
