PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC7222517	PMC7222517_0	0	4924	""""	JJ	0	1	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	Acta	NNP	1	5	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	Neuropathol	NNP	6	17	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	CommunActa	NNP	18	28	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	Neuropathol	NNP	29	40	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	CommunActa	NNP	41	51	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	Neuropathologica	NNP	52	68	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	Communications2051	NNP	69	87	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	87	88	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	5960BioMed	CD	88	98	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	CentralLondon32404202722251793910	NNP	99	132	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	132	133	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	1186	CD	133	137	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	/	NN	137	138	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	s40478	VBD	138	144	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	144	145	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	020	CD	145	148	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	148	149	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	00939	CD	149	154	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	154	155	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	0ResearchTranscriptional	CD	155	179	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	analyses	NNS	180	188	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	of	IN	189	191	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	adult	NN	192	197	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	and	CC	198	201	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	pediatric	JJ	202	211	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	adamantinomatous	JJ	212	228	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	craniopharyngioma	NN	229	246	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	reveals	NNS	247	254	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	similar	JJ	255	262	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	expression	NN	263	273	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	signatures	NNS	274	284	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	regarding	VBG	285	294	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	potential	JJ	295	304	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	therapeutic	JJ	305	316	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	targetshttp	NN	317	328	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	://	NNP	328	331	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	orcid	NN	331	336	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	336	337	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	org	NN	337	340	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	/	NN	340	341	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	0000	CD	341	345	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	345	346	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	0001	CD	346	350	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	350	351	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	7359	CD	351	355	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	-	:	355	356	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	6608PrinceEricEric	CD	356	374	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	374	375	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	Prince	NN	375	381	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	@	JJ	381	382	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	CUAnschutz	NNP	382	392	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	392	393	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	edu12WhelanRos3DonsonAndrew24StaulcupSusan1HengartnerAstrid12VijmasiTrinka12AgwuChibueze5LilleheiKevin	NN	393	495	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	O	NNP	496	497	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	497	498	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	3ForemanNicholas	CD	498	514	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	K	NNP	515	516	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	516	517	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	24JohnstonJames	CD	517	532	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	M	NNP	533	534	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	534	535	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	6MassimiLuca78AndersonRichard	CD	535	564	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	C	NNP	565	566	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	566	567	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	E	NNP	568	569	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	.	.	569	570	O	None	None	None
PMC7222517	PMC7222517_0	0	4924	9SouweidaneMark	CD	570	585	O	None	None	None
