	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
0	full_unknown	PMC4949713	[(889, 894)]	novel	['As the result of this basic research, the pathogenesis of ACP is being unveiled, with promising implications for the development of novel treatments against these childhood neoplasms.']	(757, 940)
1	full_unknown	PMC4949713	[(4813, 4828)]	remains unknown	['The cell of origin of human ACP remains unknown.']	(4781, 4829)
2	full_unknown	PMC4949713	[(10561, 10566)]	lacks	['This genetically modified mouse model harbours a mutated form of Î²â\x80\x90catenin that is transcriptionally active, but lacks the amino acids encoded by exon 3 of Ctnnb1 (the gene encoding Î²â\x80\x90catenin), preventing its phosphorylation and subsequent degradation, and leading to the overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin pathway [40].']	(10445, 10778)
3	full_unknown	PMC4949713	[(16927, 16932)]	novel	['As CSCs may be particularly resistant to chemotherapy and radiation, it is thought that they can be responsible for cancer evolution, recurrence and metastasis, raising a significant interest in the oncology field as potential targets for novel specific therapies [55, 56, 57, 58, 59, 60].']	(16688, 16977)
4	full_unknown	PMC4949713	[(25861, 25866)]	novel	['Mouse and human studies have discovered several pathways that are dysregulated in ACP, but nonâ\x80\x90biased largeâ\x80\x90scale gene expression analyses of human ACP are needed to identify other targetable pathways and novel biomarkers capable of predicting tumour behaviour such as infiltrative potential and recurrence.']	(25652, 25963)
5	full_unknown	PMC4949713	[(26013, 26018)]	novel	['Could the study of these benign tumours provide novel insights into the origin of cancer?']	(25965, 26054)
6	difficult_task	PMC4949713	[(252, 261)]	difficult	['Although histologically benign, these are clinically aggressive tumours, difficult to manage and associated with poor quality of life for the patients.']	(179, 330)
7	difficult_task	PMC4949713	[(7820, 7827)]	complex	['In the absence of WNT ligands, Î²â\x80\x90catenin is phosphorylated by a destruction complex and degraded rapidly, via the ubiquitination pathway, preventing its stabilization and the activation of the pathway.']	(7741, 7945)
8	difficult_task	PMC4949713	[(9062, 9071)]	cannot be	['This causes the dysruption of the destruction complex, releasing Î²â\x80\x90catenin, which cannot be efficiently phosphorylated or degraded.']	(8977, 9111)
9	difficult_task	PMC4949713	[(23435, 23444)]	difficult	['If this was not the case, it would be difficult to explain why the tumour ends up killing all of the normal pituitary tissue, but sparing a limited population of nonâ\x80\x90dividing cells forming clusters.']	(23397, 23597)
10	explicit_question	PMC4949713	[(14176, 14179)]	Are	['Are these conclusions applicable to the human tumours?']	(14176, 14230)
11	explicit_question	PMC4949713	[(14229, 14230)]	?	['Are these conclusions applicable to the human tumours?']	(14176, 14230)
12	explicit_question	PMC4949713	[(18129, 18137)]	question	['To address this important question, SOX2+ve stem cells have been targeted to simultaneously express oncogenic mutant Î²â\x80\x90catenin and yellow fluorescent protein (YFP).']	(18103, 18270)
13	explicit_question	PMC4949713	[(20023, 20027)]	what	['A paracrine model for the involvement of pituitary stem cells in tumourigenesis\n\nIf murine ACP tumours are not derived from the mutated SOX2+ve stem cells in a cellâ\x80\x90autonomous manner, what is the mechanism underlying tumour formation?']	(19837, 20073)
14	explicit_question	PMC4949713	[(20072, 20073)]	?	['A paracrine model for the involvement of pituitary stem cells in tumourigenesis\n\nIf murine ACP tumours are not derived from the mutated SOX2+ve stem cells in a cellâ\x80\x90autonomous manner, what is the mechanism underlying tumour formation?']	(19837, 20073)
15	explicit_question	PMC4949713	[(20159, 20167)]	question	['Molecular analyses have provided some interesting and provocative insights into this question.']	(20074, 20168)
16	explicit_question	PMC4949713	[(22445, 22453)]	question	['An important question is to what extent these findings are relevant to human ACP.']	(22432, 22513)
17	explicit_question	PMC4949713	[(22460, 22464)]	what	['An important question is to what extent these findings are relevant to human ACP.']	(22432, 22513)
18	explicit_question	PMC4949713	[(23456, 23459)]	why	['If this was not the case, it would be difficult to explain why the tumour ends up killing all of the normal pituitary tissue, but sparing a limited population of nonâ\x80\x90dividing cells forming clusters.']	(23397, 23597)
19	explicit_question	PMC4949713	[(23598, 23605)]	Whether	['Whether the paracrine signals of the clusters may also be required for the initial transformation of the cell of origin of the tumour is an important question that requires further research.']	(23598, 23788)
20	explicit_question	PMC4949713	[(23748, 23756)]	question	['Whether the paracrine signals of the clusters may also be required for the initial transformation of the cell of origin of the tumour is an important question that requires further research.']	(23598, 23788)
21	explicit_question	PMC4949713	[(24393, 24402)]	questions	['It is established that mutations in CTNNB1 resulting in the overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin pathway underlie the aetiology of ACP, but many questions remain unanswered.']	(24243, 24421)
22	explicit_question	PMC4949713	[(24422, 24425)]	Why	"[""Why are the tumourigenic effects of mutant Î²â\x80\x90catenin restricted only to Rathke's pouch embryonic precursors and adult pituitary stem cells?""]"	(24422, 24564)
23	explicit_question	PMC4949713	[(24563, 24564)]	?	"[""Why are the tumourigenic effects of mutant Î²â\x80\x90catenin restricted only to Rathke's pouch embryonic precursors and adult pituitary stem cells?""]"	(24422, 24564)
24	explicit_question	PMC4949713	[(24911, 24916)]	Which	['Which is the cell of origin of the tumours?']	(24911, 24954)
25	explicit_question	PMC4949713	[(24953, 24954)]	?	['Which is the cell of origin of the tumours?']	(24911, 24954)
26	explicit_question	PMC4949713	[(25602, 25607)]	Which	['Which are the dysregulated pathways in human ACP?']	(25602, 25651)
27	explicit_question	PMC4949713	[(25650, 25651)]	?	['Which are the dysregulated pathways in human ACP?']	(25602, 25651)
28	explicit_question	PMC4949713	[(25965, 25970)]	Could	['Could the study of these benign tumours provide novel insights into the origin of cancer?']	(25965, 26054)
29	explicit_question	PMC4949713	[(26053, 26054)]	?	['Could the study of these benign tumours provide novel insights into the origin of cancer?']	(25965, 26054)
30	explicit_question	PMC4949713	[(26528, 26531)]	how	['The paracrine mechanism described using the adult ACP model has broadened our knowledge on how adult stem cells contribute to tumourigenesis beyond the classical CSC paradigm.']	(26437, 26612)
31	incomplete_evidence	PMC4949713	[(331, 338)]	Several	['Several human and mouse studies have provided unequivocal evidence that the overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin signalling pathway underlies the molecular aetiology of these tumours.']	(331, 519)
