	IGNORANCE CATEGORY	ARTICLE	CUE SPAN	CUE	SENTENCE	SENTENCE SPAN
271	alternative_options_controversy	PMC4949713	[(1411, 1414)]	but	['The clinical relevance of ACP is not their associated mortality, which is usually low when properly managed, but their high morbidity due to serious endocrinological disturbances and tendency to infiltrate locally and aggressively into the hypothalamus and visual tracts.']	(1302, 1573)
272	alternative_options_controversy	PMC4949713	[(1675, 1678)]	but	['Currently, there are no specific treatments against these tumours, only surgery and/or radiotherapy, but these are not curative and patients often experience tumour recurrence.']	(1574, 1750)
273	alternative_options_controversy	PMC4949713	[(11841, 11848)]	However	['However, contrary to the human counterpart, mouse ACPs do not show wet keratin or calcification, suggesting speciesâ\x80\x90specific differences between mouse and human ACPs.']	(11841, 12009)
274	alternative_options_controversy	PMC4949713	[(11850, 11858)]	contrary	['However, contrary to the human counterpart, mouse ACPs do not show wet keratin or calcification, suggesting speciesâ\x80\x90specific differences between mouse and human ACPs.']	(11841, 12009)
275	alternative_options_controversy	PMC4949713	[(11968, 11979)]	differences	['However, contrary to the human counterpart, mouse ACPs do not show wet keratin or calcification, suggesting speciesâ\x80\x90specific differences between mouse and human ACPs.']	(11841, 12009)
276	alternative_options_controversy	PMC4949713	[(12098, 12105)]	Despite	"[""Despite these differences, the mouse tumours are more similar to human ACP than to any other tumour of the sellar region including pituitary adenoma, Rathke's cleft cysts and even the papillary type of craniopharyngioma.""]"	(12098, 12318)
277	alternative_options_controversy	PMC4949713	[(12112, 12123)]	differences	"[""Despite these differences, the mouse tumours are more similar to human ACP than to any other tumour of the sellar region including pituitary adenoma, Rathke's cleft cysts and even the papillary type of craniopharyngioma.""]"	(12098, 12318)
278	alternative_options_controversy	PMC4949713	[(17815, 17820)]	while	['Taking into consideration this mouse research, it could be speculated that mutations in CTNNB1 in SOX2+ve stem cells of the mature adult pituitary are the cause of adulthoodâ\x80\x90onset ACP in humans, while the same mutations in undifferentiated RP progenitors may lead to childhoodâ\x80\x90onset ACP.']	(17618, 17909)
279	alternative_options_controversy	PMC4949713	[(18035, 18042)]	whether	['It was important to address whether the mutated SOX2+ve cells in the adult ACP model were CSCs.']	(18007, 18102)
280	alternative_options_controversy	PMC4949713	[(18973, 18980)]	however	['Two conclusions can be drawn from these studies: (i) SOX2+ve stem cells are not the cell of origin of ACP; however, they are the origin of the typical cell clusters that characterize these neoplasms; (ii) mutated SOX2+ve cells expressing oncogenic Î²â\x80\x90catenin are not CSCs according to the classical definition of the CSC paradigm, since their descendants do not colonize the tumours, rather they induced tumours in a nonâ\x80\x90cell autonomous manner.']	(18866, 19314)
281	alternative_options_controversy	PMC4949713	[(19252, 19258)]	rather	['Two conclusions can be drawn from these studies: (i) SOX2+ve stem cells are not the cell of origin of ACP; however, they are the origin of the typical cell clusters that characterize these neoplasms; (ii) mutated SOX2+ve cells expressing oncogenic Î²â\x80\x90catenin are not CSCs according to the classical definition of the CSC paradigm, since their descendants do not colonize the tumours, rather they induced tumours in a nonâ\x80\x90cell autonomous manner.']	(18866, 19314)
282	alternative_options_controversy	PMC4949713	[(19918, 19920)]	If	['A paracrine model for the involvement of pituitary stem cells in tumourigenesis\n\nIf murine ACP tumours are not derived from the mutated SOX2+ve stem cells in a cellâ\x80\x90autonomous manner, what is the mechanism underlying tumour formation?']	(19837, 20073)
283	alternative_options_controversy	PMC4949713	[(21844, 21853)]	different	['In this paracrine model of involvement of stem cells in tumourigenesis, the cell sustaining the oncogenic mutation and the cell of origin of the tumours are different [52] (Figureâ\x80\x896).']	(21687, 21872)
284	alternative_options_controversy	PMC4949713	[(23397, 23399)]	If	['If this was not the case, it would be difficult to explain why the tumour ends up killing all of the normal pituitary tissue, but sparing a limited population of nonâ\x80\x90dividing cells forming clusters.']	(23397, 23597)
285	alternative_options_controversy	PMC4949713	[(23523, 23526)]	but	['If this was not the case, it would be difficult to explain why the tumour ends up killing all of the normal pituitary tissue, but sparing a limited population of nonâ\x80\x90dividing cells forming clusters.']	(23397, 23597)
286	alternative_options_controversy	PMC4949713	[(23598, 23605)]	Whether	['Whether the paracrine signals of the clusters may also be required for the initial transformation of the cell of origin of the tumour is an important question that requires further research.']	(23598, 23788)
287	alternative_options_controversy	PMC4949713	[(23860, 23865)]	other	['Moreover, it is possible that the paracrine model may be applicable to other pituitary tumours and human cancers as published evidence suggests its broader implications in the oncology field [69, 70, 71, 72, 73, 74].']	(23789, 24005)
288	alternative_options_controversy	PMC4949713	[(24384, 24387)]	but	['It is established that mutations in CTNNB1 resulting in the overâ\x80\x90activation of the WNT/Î²â\x80\x90catenin pathway underlie the aetiology of ACP, but many questions remain unanswered.']	(24243, 24421)
289	alternative_options_controversy	PMC4949713	[(25267, 25274), (25293, 25295)]	Whether ... or	['Whether cluster cells may or may be not the origin of human ACP requires detailed molecular analyses.']	(25267, 25368)
290	alternative_options_controversy	PMC4949713	[(25303, 25306)]	...not	['Whether cluster cells may or may be not the origin of human ACP requires detailed molecular analyses.']	(25267, 25368)
291	alternative_options_controversy	PMC4949713	[(25743, 25747)]	nonâ	['Mouse and human studies have discovered several pathways that are dysregulated in ACP, but nonâ\x80\x90biased largeâ\x80\x90scale gene expression analyses of human ACP are needed to identify other targetable pathways and novel biomarkers capable of predicting tumour behaviour such as infiltrative potential and recurrence.']	(25652, 25963)
292	alternative_options_controversy	PMC4949713	[(25831, 25836)]	other	['Mouse and human studies have discovered several pathways that are dysregulated in ACP, but nonâ\x80\x90biased largeâ\x80\x90scale gene expression analyses of human ACP are needed to identify other targetable pathways and novel biomarkers capable of predicting tumour behaviour such as infiltrative potential and recurrence.']	(25652, 25963)
293	alternative_options_controversy	PMC4949713	[(26055, 26057)]	If	['If cancer is considered as the malignant progression of a preâ\x80\x90malignant lesion, then benign tumours offer a window of opportunity to better understand the early steps of cell transformation and tumour initiation.']	(26055, 26269)
294	alternative_options_controversy	PMC4949713	[(26295, 26297)]	if	['Such knowledge is needed if we aim to improve early diagnosis and to develop treatments, which eliminate tumour cells at more vulnerable stages of cancer progression.']	(26270, 26436)
462	alternative_options_controversy	PMC7547020	[(2902, 2909)]	However	['However, when such models are trained on more limited datasets, the results are often unreliable, as the models overfit the training data.']	(2902, 3040)
463	alternative_options_controversy	PMC7547020	[(3995, 4002)]	Another	['Another technique commonly applied to image classification problems is data augmentation.']	(3995, 4084)
464	alternative_options_controversy	PMC7547020	[(6044, 6049)]	While	['While ACP is a histologically benign lesion, it often recurs locally, which makes further treatment more perilous for the patient.']	(6044, 6174)
465	alternative_options_controversy	PMC7547020	[(6430, 6437)]	differs	['This differs considerably from the therapy for other tumors that present in the sellar/suprasellar region.']	(6425, 6531)
466	alternative_options_controversy	PMC7547020	[(6472, 6477)]	other	['This differs considerably from the therapy for other tumors that present in the sellar/suprasellar region.']	(6425, 6531)
467	alternative_options_controversy	PMC7547020	[(7420, 7425)]	While	['While ACP is the most common sellar/suprasellar pediatric tumor, it is an uncommon entity, representing 2 to 5% of all pediatric brain tumors, with an incidence of approximately 1.9 per million patient-years.']	(7420, 7628)
468	alternative_options_controversy	PMC7547020	[(8382, 8393)]	differences	['In summary, ACP is an ideal candidate for CNN inference due to its consistent anatomical location, radiographically recognizable features, and, most importantly, the substantial clinical management differences between ACP and the other brain masses that lie within the differential diagnosis.']	(8184, 8476)
469	alternative_options_controversy	PMC7547020	[(13182, 13192)]	difference	['The primary difference between these architectures is the use of batch normalization (BN) between every layer in V2 as opposed to V1.']	(13170, 13303)
470	alternative_options_controversy	PMC7547020	[(13286, 13299)]	as opposed to	['The primary difference between these architectures is the use of batch normalization (BN) between every layer in V2 as opposed to V1.']	(13170, 13303)
471	alternative_options_controversy	PMC7547020	[(14299, 14304)]	While	['While performance improved within both modalities compared to the pre-GA results, this method searched only 0.005% of the total number of solutions.']	(14299, 14447)
472	alternative_options_controversy	PMC7547020	[(14358, 14360)]	...to	['While performance improved within both modalities compared to the pre-GA results, this method searched only 0.005% of the total number of solutions.']	(14299, 14447)
473	alternative_options_controversy	PMC7547020	[(15420, 15427)]	however	['Interestingly, however, the solution networks for MRI classification did not attain the same level of accuracy as the initial GA iteration (T5NA = 78.5%; MP = 80.8%; Fig.Â\xa03B).']	(15405, 15581)
474	alternative_options_controversy	PMC7547020	[(15693, 15706)]	as opposed to	['This could be due to our optimization algorithm erroneously identifying a local minimum of the solution space, as opposed to the desired global minimum.']	(15582, 15734)
475	alternative_options_controversy	PMC7547020	[(16956, 16962)]	rather	['This finding could result from our use of TANDA with parameters given for the MNIST handwritten-image dataset context, rather than applying TANDA following optimization for our specific context.']	(16837, 17031)
476	alternative_options_controversy	PMC7547020	[(17032, 17037)]	While	['While this represents an area for additional investigation, current literature suggests that TANDA can be expected to realize improvements of 2â\x80\x934% in CNNs with architectures comparable to our own.']	(17032, 17230)
477	alternative_options_controversy	PMC7547020	[(18489, 18496)]	however	['Datasets in which the target object is more difficult to distinguish from the background (for example, identifying a person wearing black and white stripes among a group of zebras) may, however, better demonstrate the advantage of the more complex TANDA methodology.']	(18303, 18569)
478	alternative_options_controversy	PMC7547020	[(19657, 19664)]	however	['Interestingly, however, when the baseline networks were trained using obfuscated data, some networks reliably distinguished data classes (Fig.Â\xa05C,D).']	(19642, 19792)
479	alternative_options_controversy	PMC7547020	[(19812, 19817)]	while	['This suggests that while the GA-identified networks utilize image patterns within the sellar/suprasellar region, other non-optimized networks identify latent patterns outside of the sellar/suprasellar region, which is the anatomical location of ACP.']	(19793, 20042)
480	alternative_options_controversy	PMC7547020	[(19906, 19911)]	other	['This suggests that while the GA-identified networks utilize image patterns within the sellar/suprasellar region, other non-optimized networks identify latent patterns outside of the sellar/suprasellar region, which is the anatomical location of ACP.']	(19793, 20042)
481	alternative_options_controversy	PMC7547020	[(25228, 25242)]	in contrast to	['Furthermore, it is also interesting that we see the baseline performance of CT being very close to the optimized performance in contrast to the larger performance improvement seen in the context of MRI.']	(25103, 25305)
482	alternative_options_controversy	PMC7547020	[(25342, 25353)]	differences	['This is likely due to the intrinsic differences between each classification problem.']	(25306, 25390)
483	alternative_options_controversy	PMC7547020	[(25438, 25451)]	as opposed to	['Meaning, that the pre-trained network feature (as opposed to learning rate, batch size, regularization, etc.)']	(25391, 25500)
484	alternative_options_controversy	PMC7547020	[(26039, 26044)]	other	['This offers evidence that these techniques may be broadly applied to the development of other parameterized machine learning models in the context of limited training data.']	(25951, 26123)
485	alternative_options_controversy	PMC7547020	[(26323, 26328)]	other	['For example, it is possible that the TANDA algorithm could itself be optimized by a GA or other meta-heuristic algorithm, such as particle swarm optimization.']	(26233, 26391)
486	alternative_options_controversy	PMC7547020	[(26392, 26399)]	Another	['Another possible improvement could be to aggregate feature embeddings from all networks as input data for each real image, thus synthetically expanding the dataset in a manner that leverages pre-trained feature extraction.']	(26392, 26614)
487	alternative_options_controversy	PMC7547020	[(26664, 26669)]	Other	['Other classifiers, such as a Random Forest-based method or a deeper classifier, while possibly more prone to overfitting, may also improve performance.']	(26664, 26815)
488	alternative_options_controversy	PMC7547020	[(26744, 26749)]	while	['Other classifiers, such as a Random Forest-based method or a deeper classifier, while possibly more prone to overfitting, may also improve performance.']	(26664, 26815)
489	alternative_options_controversy	PMC7547020	[(31590, 31595)]	While	['While our original training dataset is indeed slightly imbalanced towards the NOTACP class, we use a balanced test dataset ubiquitously.']	(31590, 31726)
490	alternative_options_controversy	PMC7547020	[(35134, 35147)]	as opposed to	['We sought to extract the generated images as JPEG files for visualization, as opposed to direct import into an end-classifier.']	(35059, 35185)
980	alternative_options_controversy	PMC7074265	[(1376, 1381)]	shift	['If effective, such agents may result in a paradigm shift in treatment that ultimately reduces morbidity and results in better outcomes for our patients.']	(1325, 1477)
981	alternative_options_controversy	PMC7074265	[(2736, 2753)]	On the other hand	['On the other hand, recent case reports of the response of papillary craniopharyngioma, a different tumor of the suprasellar region, to BRAF inhibitors have elucidated the great potential of targeted therapies in treating these tumors.']	(2736, 2970)
982	alternative_options_controversy	PMC7074265	[(3576, 3585)]	different	['A number of studies have demonstrated various different mutations, most commonly involving serine or threonine phosphorylation sites encoded by exon 3.']	(3530, 3681)
983	alternative_options_controversy	PMC7074265	[(4999, 5007)]	Although	['Although this aberrant overactivation of the WNT pathway is thought to be crucial in the pathogenesis of ACPs, the resulting nuclear accumulation of beta-catenin is only observed in a minority of cells, specifically in whorl like epithelial cell clusters (Figure 1D).']	(4999, 5266)
984	alternative_options_controversy	PMC7074265	[(9120, 9127)]	Despite	['Despite all these efforts, no drug targeting the WNT pathway has been approved.']	(9120, 9199)
985	alternative_options_controversy	PMC7074265	[(10204, 10215)]	alternative	['As a result, much work has focused on identifying alternative targets with extant treatments, which may offer better results in the treatment of ACP.']	(10154, 10303)
986	alternative_options_controversy	PMC7074265	[(10899, 10906)]	whether	['Work is ongoing to investigate whether these pathways may present potential therapeutic targets and ultimately leads to better outcomes and reduced morbidity for patients.']	(10868, 11039)
987	alternative_options_controversy	PMC7074265	[(16081, 16086)]	other	['The mechanism of action of intracystic IFN-alpha in treating ACP has not been confirmed but, as in other cancers, is likely to involve an immunomodulatory effect.']	(15982, 16144)
988	alternative_options_controversy	PMC7074265	[(18226, 18232)]	rather	['This would suggest that this upregulated cytokine expression is mostly derived from the infiltrating immune cells rather than from the tumor cells that are over expressing beta-catenin.']	(18112, 18297)
989	alternative_options_controversy	PMC7074265	[(22195, 22200)]	other	['As mentioned above, numerous previous studies on other solid cancers have demonstrated that the expression of PD-L1 can be predictive of the response to the PD-1/PD-L1 inhibitors.']	(22146, 22325)
990	alternative_options_controversy	PMC7074265	[(22725, 22731)]	either	['nicely demonstrated, using T cell exhaustion testing of various types of ependymomas, that elevated PD-L1 expression in tumors can be indicative of either tumor adaptations to hide from the innate immune response or due to normal T-cell antigen-activation, a known function of PD-1.']	(22577, 22859)
991	alternative_options_controversy	PMC7074265	[(23473, 23481)]	contrary	['On the contrary, they found that in group B ependymomas (which also express high levels of PD-1), infiltrating T-cells were, in fact, capable of secreting IFN-gamma after stimulation with PMA/ionomycin.']	(23466, 23668)
992	alternative_options_controversy	PMC7074265	[(23925, 23936)]	alternative	['of elevated PD-1/PD-L1 expression in ACP are exciting and may result in an alternative treatment strategy in resistant and multiply recurrent cases, further investigation is necessary to fully elucidate the implications of this increased PD-1/PD-L1 expression in ACP before any widespread implementation.']	(23850, 24154)
993	alternative_options_controversy	PMC7074265	[(24230, 24235)]	other	['CTLA-4 Inhibition and Its Potential Use in the Treatment of ACP\n\nThe other major group of immune checkpoint inhibitors that have become increasingly utilized in cancer are the CTLA-4 inhibitors of which ipilimumab is the classic example.']	(24161, 24398)
