MODEL	NUM DISCONTINUITY ERRORS
GO_BP_biobert_model_local_PMC1626394.nxml.gz	1
GO_BP_biobert_model_local_PMC2885310.nxml.gz	1
GO_BP_biobert_model_local_PMC3279448.nxml.gz	2
GO_BP_biobert_model_local_PMC3342123.nxml.gz	2
GO_BP_biobert_model_local_PMC3659910.nxml.gz	3
GO_BP_biobert_model_local_PMC3828574.nxml.gz	4
GO_BP_biobert_model_local_PMC4037583.nxml.gz	1
GO_BP_biobert_model_local_PMC4327187.nxml.gz	1
GO_BP_biobert_model_local_PMC5187359.nxml.gz	1
GO_BP_biobert_model_local_PMC5405375.nxml.gz	1
GO_BP_biobert_model_local_PMC6039335.nxml.gz	1
GO_BP_biobert_model_local_PMC6056931.nxml.gz	2
