MODEL	NUM DISCONTINUITY ERRORS
GO_BP_EXT_biobert_model_local_PMC2999828.nxml.gz	2
GO_BP_EXT_biobert_model_local_PMC3279448.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC3342123.nxml.gz	4
GO_BP_EXT_biobert_model_local_PMC3828574.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC4500436.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC4954778.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC4992225.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC5187359.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC5273824.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC5524288.nxml.gz	1
GO_BP_EXT_biobert_model_local_PMC6039335.nxml.gz	3
GO_BP_EXT_biobert_model_local_PMC6056931.nxml.gz	1
