	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	Maternal	JJ	0	8	O	None	None	None
1	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	diet	NN	9	13	O	None	None	None
2	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	during	IN	14	20	O	None	None	None
3	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	pregnancy	NN	21	30	O	None	None	None
4	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	is	VBZ	31	33	O	None	None	None
5	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	related	VBN	34	41	O	None	None	None
6	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	with	IN	42	46	O	None	None	None
7	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	the	DT	47	50	O	None	None	None
8	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	infant	JJ	51	57	O	None	None	None
9	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	stool	NN	58	63	O	None	None	None
10	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	microbiome	NN	64	74	O	None	None	None
11	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	in	IN	75	77	O	None	None	None
12	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	a	DT	78	79	O	None	None	None
13	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	delivery	NN	80	88	O	None	None	None
14	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	mode	NN	89	93	O	None	None	None
15	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	-	:	93	94	O	None	None	None
16	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	dependent	JJ	94	103	O	None	None	None
17	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	manner	NN	104	110	O	None	None	None
18	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	Abstract	NNP	112	120	O	None	None	None
19	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	Background	NNP	122	132	O	None	None	None
20	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	The	DT	133	136	O	None	None	None
21	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	gut	NN	137	140	O	None	None	None
22	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	microbiome	NN	141	151	O	None	None	None
23	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	has	VBZ	152	155	O	None	None	None
24	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	an	DT	156	158	O	None	None	None
25	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	important	JJ	159	168	O	None	None	None
26	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	role	NN	169	173	O	None	None	None
27	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	in	IN	174	176	O	None	None	None
28	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	infant	JJ	177	183	O	None	None	None
29	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	health	NN	184	190	O	None	None	None
30	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	and	CC	191	194	O	None	None	None
31	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	immune	NN	195	201	O	None	None	None
32	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	development	NN	202	213	O	None	None	None
33	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	and	CC	214	217	O	None	None	None
34	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	may	MD	218	221	O	None	None	None
35	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	be	VB	222	224	O	None	None	None
36	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	affected	VBN	225	233	O	None	None	None
37	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	by	IN	234	236	O	None	None	None
38	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	early	JJ	237	242	O	None	None	None
39	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	-	:	242	243	O	None	None	None
40	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	life	NN	243	247	O	None	None	None
41	PMC6033232.nxml.gz	PMC6033232.nxml.gz_0	0	258	exposures	NNS	248	257	O	None	None	None
