	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	Early	JJ	0	5	O	None	None	None
1	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	life	NN	6	10	O	None	None	None
2	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	nutrition	NN	11	20	O	None	None	None
3	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	,	,	20	21	O	None	None	None
4	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	the	DT	22	25	O	None	None	None
5	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	developing	VBG	26	36	O	None	None	None
6	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	immune	JJ	37	43	O	None	None	None
7	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	system	NN	44	50	O	None	None	None
8	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	and	CC	51	54	O	None	None	None
9	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	subsequent	JJ	55	65	O	None	None	None
10	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	allergic	NN	66	74	O	None	None	None
11	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	manifestations	NNS	75	89	O	None	None	None
12	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	Over	IN	90	94	O	None	None	None
13	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	the	DT	95	98	O	None	None	None
14	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	last	JJ	99	103	O	None	None	None
15	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	half	NN	104	108	O	None	None	None
16	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	-	:	108	109	O	None	None	None
17	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	century	NN	109	116	O	None	None	None
18	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	,	,	116	117	O	None	None	None
19	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	chronic	JJ	118	125	O	None	None	None
20	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	disease	NN	126	133	O	None	None	None
21	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	incidence	NN	134	143	O	None	None	None
22	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	,	,	143	144	O	None	None	None
23	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	including	VBG	145	154	O	None	None	None
24	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	allergic	JJ	155	163	O	None	None	None
25	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	manifestations	NNS	164	178	O	None	None	None
26	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	(	(	179	180	O	None	None	None
27	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	AM	NNP	180	182	O	None	None	None
28	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	),	NNP	182	184	O	None	None	None
29	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	has	VBZ	185	188	O	None	None	None
30	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	increased	VBN	189	198	O	None	None	None
31	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	exponentially	RB	199	212	O	None	None	None
32	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	in	IN	213	215	O	None	None	None
33	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	developed	JJ	216	225	O	None	None	None
34	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	nations	NNS	226	233	O	None	None	None
35	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	and	CC	234	237	O	None	None	None
36	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	amongst	VB	238	245	O	None	None	None
37	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	the	DT	246	249	O	None	None	None
38	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	wealthy	NN	250	257	O	None	None	None
39	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	in	IN	258	260	O	None	None	None
40	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	developing	VBG	261	271	O	None	None	None
41	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	nations	NNS	272	279	O	None	None	None
42	PMC2874300.nxml.gz	PMC2874300.nxml.gz_0	0	280	.	.	279	280	O	None	None	None
43	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	Concurrently	RB	281	293	O	None	None	None
44	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	,	,	293	294	O	None	None	None
45	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	there	EX	295	300	O	None	None	None
46	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	has	VBZ	301	304	O	None	None	None
47	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	been	VBN	305	309	O	None	None	None
48	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	a	DT	310	311	O	None	None	None
49	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	“	JJ	312	313	O	None	None	None
50	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	nutrition	NN	313	322	O	None	None	None
51	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	transition	NN	323	333	O	None	None	None
52	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	”	NN	333	334	O	None	None	None
53	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	in	IN	335	337	O	None	None	None
54	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	the	DT	338	341	O	None	None	None
55	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	same	JJ	342	346	O	None	None	None
56	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	populations	NNS	347	358	O	None	None	None
57	PMC2874300.nxml.gz	PMC2874300.nxml.gz_1	281	359	.	.	358	359	O	None	None	None
58	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	Dietary	NNP	360	367	O	None	None	None
59	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	patterns	NNS	368	376	O	None	None	None
60	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	have	VBP	377	381	O	None	None	None
61	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	shifted	VBN	382	389	O	None	None	None
62	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	from	IN	390	394	O	None	None	None
63	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	a	DT	395	396	O	None	None	None
64	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	prudent	JJ	397	404	O	None	None	None
65	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	diet	NN	405	409	O	None	None	None
66	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	(	(	410	411	O	None	None	None
67	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	high	JJ	411	415	O	None	None	None
68	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	fruit	NN	416	421	O	None	None	None
69	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	and	CC	422	425	O	None	None	None
70	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	vegetable	JJ	426	435	O	None	None	None
71	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	-,	NN	435	437	O	None	None	None
72	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	and	CC	438	441	O	None	None	None
73	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	omega	JJ	442	447	O	None	None	None
74	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	-	:	447	448	O	None	None	None
75	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	3	CD	448	449	O	None	None	None
76	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	fatty	JJ	450	455	O	None	None	None
77	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	acid	JJ	456	460	O	None	None	None
78	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	intake	NN	461	467	O	None	None	None
79	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	;	:	467	468	O	None	None	None
80	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	low	JJ	469	472	O	None	None	None
81	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	omega	SYM	473	478	O	None	None	None
82	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	-	:	478	479	O	None	None	None
83	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	6	CD	479	480	O	None	None	None
84	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	fatty	JJ	481	486	O	None	None	None
85	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	acid	NNS	487	491	O	None	None	None
86	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	intake	VBP	492	498	O	None	None	None
87	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	)	)	498	499	O	None	None	None
88	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	to	TO	500	502	O	None	None	None
89	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	a	DT	503	504	O	None	None	None
90	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	western	JJ	505	512	O	None	None	None
91	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	-	:	512	513	O	None	None	None
92	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	style	NN	513	518	O	None	None	None
93	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	diet	NN	519	523	O	None	None	None
94	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	(	(	524	525	O	None	None	None
95	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	higher	JJR	525	531	O	None	None	None
96	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	levels	NNS	532	538	O	None	None	None
97	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	omega	VBP	539	544	O	None	None	None
98	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	-	:	544	545	O	None	None	None
99	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	6	CD	545	546	O	None	None	None
100	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	fats	NNS	547	551	O	None	None	None
101	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	,	,	551	552	O	None	None	None
102	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	lower	JJR	553	558	O	None	None	None
103	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	amounts	NNS	559	566	O	None	None	None
104	PMC2874300.nxml.gz	PMC2874300.nxml.gz_2	360	617	of	IN	567	569	O	None	None	None
