	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Circulating	VBG	0	11	O	None	None	None
1	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Cathelicidin	NNP	12	24	O	None	None	None
2	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Concentrations	NNP	25	39	O	None	None	None
3	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	in	IN	40	42	O	None	None	None
4	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	a	DT	43	44	O	None	None	None
5	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Cohort	NNP	45	51	O	None	None	None
6	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	of	IN	52	54	O	None	None	None
7	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Healthy	NNP	55	62	O	None	None	None
8	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Children	NNP	63	71	O	None	None	None
9	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	:	:	71	72	O	None	None	None
10	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Influence	NN	73	82	O	None	None	None
11	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	of	IN	83	85	O	None	None	None
12	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Age	NNP	86	89	O	None	None	None
13	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	,	,	89	90	O	None	None	None
14	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Body	NNP	91	95	O	None	None	None
15	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Composition	NNP	96	107	O	None	None	None
16	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	,	,	107	108	O	None	None	None
17	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Gender	NNP	109	115	O	None	None	None
18	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	and	CC	116	119	O	None	None	None
19	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Vitamin	NNP	120	127	O	None	None	None
20	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	D	NNP	128	129	O	None	None	None
21	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Status	NNP	130	136	O	None	None	None
22	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Abstract	NNP	138	146	O	None	None	None
23	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	Cathelicidin	NNP	147	159	O	None	None	None
24	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	is	VBZ	160	162	O	None	None	None
25	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	an	DT	163	165	O	None	None	None
26	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	antimicrobial	JJ	166	179	O	None	None	None
27	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	peptide	NN	180	187	O	None	None	None
28	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	whose	WP$	188	193	O	None	None	None
29	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	circulating	NN	194	205	O	None	None	None
30	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	levels	NNS	206	212	O	None	None	None
31	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	are	VBP	213	216	O	None	None	None
32	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	related	VBN	217	224	O	None	None	None
33	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	to	TO	225	227	O	None	None	None
34	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	vitamin	VB	228	235	O	None	None	None
35	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	D	NNP	236	237	O	None	None	None
36	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	status	NN	238	244	O	None	None	None
37	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	in	IN	245	247	O	None	None	None
38	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	adults	NNS	248	254	O	None	None	None
39	PMC4859539.nxml.gz	PMC4859539.nxml.gz_0	0	255	.	.	254	255	O	None	None	None
40	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	This	DT	256	260	O	None	None	None
41	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	study	NN	261	266	O	None	None	None
42	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	sought	VBD	267	273	O	None	None	None
43	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	to	TO	274	276	O	None	None	None
44	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	determine	VB	277	286	O	None	None	None
45	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	if	IN	287	289	O	None	None	None
46	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	circulating	VBG	290	301	O	None	None	None
47	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	cathelicidin	NN	302	314	O	None	None	None
48	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	concentrations	NNS	315	329	O	None	None	None
49	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	in	IN	330	332	O	None	None	None
50	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	healthy	JJ	333	340	O	None	None	None
51	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	children	NNS	341	349	O	None	None	None
52	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	are	VBP	350	353	O	None	None	None
53	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	related	VBN	354	361	O	None	None	None
54	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	to	TO	362	364	O	None	None	None
55	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	the	DT	365	368	O	None	None	None
56	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	age	NN	369	372	O	None	None	None
57	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	of	IN	373	375	O	None	None	None
58	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	the	DT	376	379	O	None	None	None
59	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	child	NN	380	385	O	None	None	None
60	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	,	,	385	386	O	None	None	None
61	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	body	NN	387	391	O	None	None	None
62	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	composition	NN	392	403	O	None	None	None
63	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	and	CC	404	407	O	None	None	None
64	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	vitamin	NN	408	415	O	None	None	None
65	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	D	NNP	416	417	O	None	None	None
66	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	status	NN	418	424	O	None	None	None
67	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	at	IN	425	427	O	None	None	None
68	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	birth	NN	428	433	O	None	None	None
69	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	and	CC	434	437	O	None	None	None
70	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	at	IN	438	440	O	None	None	None
71	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	the	DT	441	444	O	None	None	None
72	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	time	NN	445	449	O	None	None	None
73	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	of	IN	450	452	O	None	None	None
74	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	the	DT	453	456	O	None	None	None
75	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	study	NN	457	462	O	None	None	None
76	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	visit	NN	463	468	O	None	None	None
77	PMC4859539.nxml.gz	PMC4859539.nxml.gz_1	256	469	.	.	468	469	O	None	None	None
78	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	Blood	NN	470	475	O	None	None	None
79	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	samples	NNS	476	483	O	None	None	None
80	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	were	VBD	484	488	O	None	None	None
81	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	obtained	VBN	489	497	O	None	None	None
82	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	during	IN	498	504	O	None	None	None
83	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	yearly	JJ	505	511	O	None	None	None
84	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	visits	NNS	512	518	O	None	None	None
85	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	from	IN	519	523	O	None	None	None
86	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	133	CD	524	527	O	None	None	None
87	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	children	NNS	528	536	O	None	None	None
88	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	,	,	536	537	O	None	None	None
89	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	ages	VBZ	538	542	O	None	None	None
90	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	2	CD	543	544	O	None	None	None
91	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	–	NN	544	545	O	None	None	None
92	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	7	CD	545	546	O	None	None	None
93	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	,	,	546	547	O	None	None	None
94	PMC4859539.nxml.gz	PMC4859539.nxml.gz_2	470	624	whose	WP$	548	553	O	None	None	None
