	FULL_UNKNOWN	EXPLICIT_QUESTION	INCOMPLETE_EVIDENCE	PROBABLE_UNDERSTANDING	SUPERFICIAL_RELATIONSHIP	FUTURE_WORK	FUTURE_PREDICTION	IMPORTANT_CONSIDERATION	ANOMALY_CURIOUS_FINDING	ALTERNATIVE_OPTIONS_CONTROVERSY	DIFFICULT_TASK	PROBLEM_COMPLICATION	QUESTION_ANSWERED_BY_THIS_WORK	OBO_IGNORANCE_SUMS
CHEBI	251.0	83.0	2921.0	1154.0	2383.0	531.0	170.0	1002.0	708.0	1069.0	177.0	304.0	421.0	11174.0
CL	14.0	5.0	148.0	56.0	114.0	11.0	16.0	40.0	40.0	43.0	7.0	8.0	7.0	509.0
GO_BP	212.0	90.0	3001.0	1002.0	2648.0	519.0	212.0	1059.0	677.0	971.0	167.0	356.0	471.0	11385.0
GO_CC	3.0	0.0	79.0	25.0	62.0	2.0	2.0	18.0	26.0	16.0	3.0	3.0	2.0	241.0
GO_MF	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
MOP	0.0	0.0	8.0	3.0	6.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	20.0
NCBITaxon	35.0	20.0	486.0	161.0	349.0	72.0	41.0	146.0	128.0	142.0	41.0	31.0	36.0	1688.0
PR	43.0	14.0	774.0	252.0	649.0	46.0	34.0	177.0	228.0	277.0	39.0	54.0	112.0	2699.0
SO	25.0	5.0	291.0	93.0	272.0	26.0	19.0	71.0	59.0	96.0	22.0	20.0	54.0	1053.0
UBERON	128.0	38.0	1828.0	662.0	1473.0	192.0	106.0	604.0	469.0	548.0	104.0	134.0	234.0	6520.0
IGNORANCE_OBO_SUM	711.0	255.0	9536.0	3409.0	7956.0	1399.0	600.0	3119.0	2336.0	3162.0	560.0	910.0	1337.0	35290.0
IGNORANCE_OBO_AVERAGE	129.27272727272728	46.36363636363637	1733.8181818181818	619.8181818181819	1446.5454545454545	254.36363636363637	109.0909090909091	567.0909090909091	424.72727272727275	574.9090909090909	101.81818181818181	165.45454545454547	243.0909090909091	6416.363636363636
IGNORANCE_OBO_MEDIAN	39.0	17.0	630.0	206.5	499.0	59.0	37.5	161.5	178.0	209.5	40.0	42.5	83.0	2193.5
