	FULL_UNKNOWN	EXPLICIT_QUESTION	INCOMPLETE_EVIDENCE	PROBABLE_UNDERSTANDING	SUPERFICIAL_RELATIONSHIP	FUTURE_WORK	FUTURE_PREDICTION	IMPORTANT_CONSIDERATION	ANOMALY_CURIOUS_FINDING	ALTERNATIVE_OPTIONS_CONTROVERSY	DIFFICULT_TASK	PROBLEM_COMPLICATION	QUESTION_ANSWERED_BY_THIS_WORK	UNIQUE_OBO_IGNORANCE_SUMS (SET)
CHEBI_EXT	124.0	49.0	585.0	361.0	475.0	190.0	79.0	265.0	237.0	300.0	87.0	133.0	137.0	756.0
CL_EXT	15.0	6.0	67.0	35.0	61.0	9.0	13.0	32.0	33.0	33.0	9.0	8.0	8.0	86.0
GO_BP_EXT	78.0	43.0	385.0	229.0	344.0	117.0	70.0	223.0	178.0	177.0	81.0	85.0	74.0	485.0
GO_CC_EXT	6.0	2.0	46.0	26.0	37.0	5.0	3.0	19.0	18.0	19.0	4.0	5.0	5.0	60.0
GO_MF_EXT	16.0	3.0	91.0	45.0	72.0	14.0	6.0	27.0	28.0	34.0	12.0	14.0	16.0	114.0
MOP_EXT	2.0	1.0	10.0	8.0	7.0	2.0	1.0	3.0	3.0	3.0	1.0	0.0	1.0	10.0
NCBITaxon_EXT	9.0	6.0	20.0	17.0	20.0	13.0	9.0	13.0	14.0	15.0	10.0	9.0	10.0	22.0
PR_EXT	42.0	15.0	227.0	123.0	226.0	33.0	28.0	87.0	104.0	109.0	33.0	37.0	57.0	299.0
SO_EXT	25.0	12.0	95.0	51.0	80.0	22.0	21.0	40.0	41.0	37.0	20.0	11.0	27.0	115.0
UBERON_EXT	79.0	35.0	342.0	209.0	303.0	126.0	75.0	216.0	174.0	169.0	71.0	87.0	76.0	446.0
UNIQUE_IGNORANCE_OBO_SUM	396.0	172.0	1868.0	1104.0	1625.0	531.0	305.0	925.0	830.0	896.0	328.0	389.0	411.0	2393.0
UNIQUE_IGNORANCE_OBO_AVERAGE	72.0	31.272727272727273	339.6363636363636	200.72727272727272	295.45454545454544	96.54545454545455	55.45454545454545	168.1818181818182	150.9090909090909	162.9090909090909	59.63636363636363	70.72727272727273	74.72727272727273	435.09090909090907
UNIQUE_IGNORANCE_OBO_MEDIAN	33.5	13.5	161.0	87.0	153.0	27.5	24.5	63.5	72.5	73.0	26.5	25.5	42.0	207.0
