	CHEBI	CL	GO_BP	GO_CC	GO_MF	MOP	NCBITaxon	PR	SO	UBERON	ARTICLE_SUMS
PMC6000839	43	0	68	0	0	0	3	0	2	28	144.0
PMC3800883	5	0	10	0	0	0	0	0	0	5	20.0
PMC2885310	65	0	115	0	0	0	7	9	0	22	218.0
PMC4311629	73	46	140	12	0	4	72	185	10	226	768.0
PMC3400371	106	3	86	0	0	2	1	3	0	33	234.0
PMC4897523	95	4	150	2	0	0	18	4	11	77	361.0
PMC3272870	113	19	138	4	0	0	9	14	12	187	496.0
PMC3313761	13	0	8	0	0	0	2	2	0	18	43.0
PMC3342123	91	5	321	20	3	1	29	361	94	101	1026.0
PMC3427250	193	0	111	0	0	0	3	10	0	42	359.0
PMC4653418	0	0	21	0	0	0	0	0	0	1	22.0
PMC3279448	22	0	106	17	0	0	16	72	96	55	384.0
PMC6011374	170	1	114	0	0	0	2	58	0	64	409.0
PMC5812027	123	1	167	1	0	0	3	2	0	33	330.0
PMC2396486	89	9	49	28	0	5	37	94	5	60	376.0
PMC3915248	33	3	21	1	0	0	16	1	1	30	106.0
PMC3933411	147	0	167	0	0	0	0	0	0	6	320.0
PMC5240907	4	0	86	1	0	0	3	2	1	104	201.0
PMC4231606	98	3	24	1	0	0	0	34	0	58	218.0
PMC5539754	176	2	170	0	0	0	9	41	2	26	426.0
PMC5226708	46	0	41	0	0	0	20	16	2	55	180.0
PMC5524288	119	0	65	0	0	0	0	68	0	15	267.0
PMC3789799	30	1	23	15	0	0	86	107	64	88	414.0
PMC5546866	180	0	72	0	0	0	8	92	91	35	478.0
PMC5405375	54	0	53	0	0	0	5	0	0	79	191.0
PMC2722583	49	11	42	2	0	0	3	6	0	35	148.0
PMC1247630	6	0	6	0	0	0	0	0	0	0	12.0
PMC1474522	3	0	3	0	0	0	2	0	0	7	15.0
PMC2009866	1	0	3	0	0	0	1	0	0	14	19.0
PMC4428817	8	0	3	0	0	0	0	8	0	3	22.0
PMC5501061	9	0	3	0	0	0	0	0	0	3	15.0
PMC6022422	76	13	93	10	0	1	7	37	3	82	322.0
PMC1533075	13	0	6	0	0	0	0	2	0	4	25.0
PMC1626394	15	1	18	2	0	0	1	0	1	7	45.0
PMC2265032	22	0	3	1	0	0	13	0	1	9	49.0
PMC2516588	5	2	8	0	0	0	1	0	0	6	22.0
PMC2672462	150	4	125	2	0	0	8	86	2	49	426.0
PMC2874300	11	0	5	0	0	0	1	1	0	7	25.0
PMC2889879	340	8	148	4	0	0	8	14	6	26	554.0
PMC2898025	105	6	81	4	0	0	37	8	3	95	339.0
PMC2999828	224	16	185	27	2	0	29	20	3	95	601.0
PMC3205727	42	0	160	0	0	0	4	0	1	9	216.0
PMC3348565	123	4	18	3	0	0	5	27	1	54	235.0
PMC3373750	9	0	10	0	0	0	0	0	0	0	19.0
PMC3513049	10	0	5	0	0	0	3	2	0	7	27.0
PMC3679768	5	0	22	1	0	0	1	1	0	73	103.0
PMC3914197	16	4	28	0	0	0	0	2	0	40	90.0
PMC4122855	3	0	3	0	0	0	0	1	0	0	7.0
PMC4304064	11	0	1	1	0	0	0	0	0	0	13.0
PMC4352710	28	4	14	1	0	0	9	2	2	12	72.0
PMC4377896	74	0	209	0	0	0	2	3	0	6	294.0
PMC4500436	0	0	3	0	0	0	0	0	0	4	7.0
PMC4564405	0	0	58	0	0	0	0	0	0	6	64.0
PMC4653409	3	0	29	0	0	0	0	0	0	0	32.0
PMC4683322	24	0	21	1	0	0	3	12	48	12	121.0
