	CHEBI_EXT	CL_EXT	GO_BP_EXT	GO_CC_EXT	GO_MF_EXT	MOP_EXT	NCBITaxon_EXT	PR_EXT	SO_EXT	UBERON_EXT	ARTICLE_SUMS
PMC6000839	59	0	92	0	0	0	25	1	3	95	275.0
PMC3800883	6	0	13	0	0	0	2	1	0	8	30.0
PMC2885310	73	0	180	0	4	0	66	10	0	70	403.0
PMC4311629	133	62	230	27	57	5	73	215	20	266	1088.0
PMC3400371	210	7	106	20	1	2	36	8	2	75	467.0
PMC4897523	130	4	218	2	21	0	69	13	17	164	638.0
PMC3272870	176	36	221	38	28	1	30	69	30	234	863.0
PMC3313761	22	0	12	1	0	0	11	6	0	43	95.0
PMC3342123	265	51	538	67	65	5	30	460	223	143	1847.0
PMC3427250	228	0	116	0	5	0	120	81	0	133	683.0
PMC4653418	1	0	23	0	0	0	6	0	0	11	41.0
PMC3279448	88	5	309	26	14	181	16	93	220	95	1047.0
PMC6011374	174	1	133	1	2	0	62	84	2	144	603.0
PMC5812027	144	1	229	0	0	0	36	18	1	82	511.0
PMC2396486	243	22	96	45	47	6	38	189	31	75	792.0
PMC3915248	107	5	23	6	2	0	27	4	10	49	233.0
PMC3933411	215	0	178	1	0	0	48	1	1	52	496.0
PMC5240907	13	0	107	1	0	0	37	11	0	169	338.0
PMC4231606	148	10	37	9	5	0	66	90	2	144	511.0
PMC5539754	237	2	242	2	6	0	26	66	18	55	654.0
PMC5226708	67	0	161	0	2	0	65	18	3	144	460.0
PMC5524288	127	0	89	0	6	0	65	84	0	74	445.0
PMC3789799	84	7	40	27	21	0	88	113	192	110	682.0
PMC5546866	213	0	109	0	29	1	38	163	122	71	746.0
PMC5405375	82	0	112	0	0	0	31	0	0	175	400.0
PMC2722583	108	15	68	32	0	0	48	6	1	89	367.0
PMC1247630	16	0	8	0	1	1	10	2	0	15	53.0
PMC1474522	3	1	2	0	0	0	2	0	0	9	17.0
PMC2009866	2	0	3	0	0	0	1	0	0	15	21.0
PMC4428817	19	0	4	0	0	0	1	11	1	12	48.0
PMC5501061	11	0	4	0	0	0	1	0	0	5	21.0
PMC6022422	112	17	149	19	12	0	18	74	13	140	554.0
PMC1533075	14	0	6	0	0	0	1	1	0	6	28.0
PMC1626394	34	2	22	7	0	0	8	1	2	13	89.0
PMC2265032	33	4	13	4	2	2	14	1	2	11	86.0
PMC2516588	8	2	10	0	0	0	1	0	2	6	29.0
PMC2672462	194	4	154	6	6	0	74	90	2	142	672.0
PMC2874300	12	0	8	0	0	1	1	1	0	9	32.0
PMC2889879	389	9	92	8	2	0	132	20	11	135	798.0
PMC2898025	131	10	108	10	15	0	47	15	10	143	489.0
PMC2999828	272	21	272	41	40	1	85	24	6	209	971.0
PMC3205727	65	0	191	0	0	0	37	12	1	74	380.0
PMC3348565	148	8	28	4	7	0	75	48	4	157	479.0
PMC3373750	17	0	12	0	0	0	7	0	0	5	41.0
PMC3513049	12	0	4	0	0	0	3	8	1	12	40.0
PMC3679768	11	0	21	4	1	0	1	2	0	87	127.0
PMC3914197	47	4	32	3	21	0	0	24	9	52	192.0
PMC4122855	6	0	9	0	0	0	10	1	0	11	37.0
PMC4304064	11	0	4	1	0	0	1	0	0	3	20.0
PMC4352710	37	4	22	1	3	2	10	2	11	24	116.0
PMC4377896	134	0	234	0	0	0	178	0	0	82	628.0
PMC4500436	6	0	21	0	0	0	25	0	0	35	87.0
PMC4564405	1	0	74	0	0	0	57	0	0	47	179.0
PMC4653409	4	0	28	0	0	0	9	0	0	11	52.0
PMC4683322	84	0	33	1	35	0	2	30	67	21	273.0
PMC4859539	206	8	41	6	3	1	81	158	9	145	658.0
PMC4954778	182	2	218	1	19	16	34	65	44	132	713.0
PMC4992225	220	5	194	3	14	5	44	101	3	130	719.0
PMC5030620	351	83	389	52	44	60	164	61	510	219	1933.0
PMC5143410	3	12	35	5	2	0	0	11	0	73	141.0
PMC5187359	323	7	498	30	99	7	53	259	99	590	1965.0
PMC5273824	223	1	69	0	2	1	28	148	1	71	544.0
PMC5540678	171	4	186	9	3	3	45	1	1	101	524.0
PMC5685050	67	0	20	0	0	0	20	33	0	33	173.0
PMC6029118	75	0	176	1	0	0	59	0	0	130	441.0
PMC6033232	89	2	181	1	0	0	64	4	49	290	680.0
PMC6039335	390	86	380	47	28	8	59	61	66	407	1532.0
PMC6054603	5	0	110	0	0	0	54	0	0	166	335.0
PMC6056931	149	3	239	7	5	2	59	21	15	246	746.0
PMC2722408	98	0	215	3	1	0	91	11	8	179	606.0
PMC2727050	131	5	320	3	0	0	57	12	5	212	745.0
PMC2913107	51	0	20	0	0	0	15	11	7	32	136.0
PMC3075531	125	4	26	2	1	1	29	46	12	72	318.0
PMC3169551	121	0	71	4	1	0	73	5	1	83	359.0
PMC3271033	183	1	59	0	2	0	11	95	0	197	548.0
PMC3424155	134	10	139	18	6	1	106	90	7	209	720.0
PMC3470091	154	5	44	6	8	2	13	54	4	86	376.0
PMC3659910	305	4	193	3	17	0	81	111	5	201	920.0
PMC3710985	173	0	202	0	5	0	73	1	3	141	598.0
PMC3828574	34	0	358	0	1	0	84	2	4	239	722.0
PMC4037583	106	31	168	40	127	3	25	165	126	90	881.0
PMC4275682	8	2	32	22	0	0	87	7	29	172	359.0
PMC4327187	48	0	137	1	1	0	21	1	2	46	257.0
PMC4380518	75	0	63	0	1	0	53	30	0	63	285.0
PMC4488777	167	38	119	22	26	1	35	93	16	160	677.0
PMC4715834	4	0	66	0	0	0	44	0	0	37	151.0
PMC4973215	141	0	104	0	0	0	8	45	0	124	422.0
PMC5340372	123	3	47	4	2	0	19	93	3	313	607.0
PMC5439533	58	0	223	1	0	0	46	4	1	112	445.0
PMC5658906	268	26	115	0	2	0	16	12	7	69	515.0
PMC5732505	177	0	157	0	1	0	12	97	2	84	530.0
OBO_SUM	10324.0	656.0	10864.0	705.0	881.0	319.0	3733.0	4079.0	2079.0	9915.0	43555.0
OBO_AVERAGE	224.43478260869566	14.26086956521739	236.17391304347825	15.326086956521738	19.152173913043477	6.934782608695652	81.15217391304348	88.67391304347827	45.19565217391305	215.54347826086956	946.8478260869565
OBO_MEDIAN	107.0	1.0	104.0	1.0	2.0	0.0	36.0	12.0	2.0	87.0	460.0
