	CHEBI	CL	GO_BP	GO_CC	GO_MF	MOP	NCBITaxon	PR	SO	UBERON	UNIQUE_ARTICLE_SUMS
PMC6000839	8	0	5	0	0	0	2	0	1	11	27.0
PMC3800883	5	0	1	0	0	0	0	0	0	4	10.0
PMC2885310	8	0	11	0	0	0	3	5	0	11	38.0
PMC4311629	29	10	37	8	0	3	10	44	6	59	206.0
PMC3400371	23	2	11	0	0	1	1	1	0	17	56.0
PMC4897523	42	3	28	2	0	0	6	3	2	33	119.0
PMC3272870	56	11	25	4	0	0	5	13	2	59	175.0
PMC3313761	7	0	5	0	0	0	1	2	0	16	31.0
PMC3342123	39	3	47	11	1	1	7	188	9	22	328.0
PMC3427250	24	0	10	0	0	0	2	7	0	17	60.0
PMC4653418	0	0	2	0	0	0	0	0	0	1	3.0
PMC3279448	12	0	16	8	0	0	5	23	18	11	93.0
PMC6011374	19	1	10	0	0	0	2	12	0	11	55.0
PMC5812027	10	1	9	1	0	0	1	2	0	14	38.0
PMC2396486	48	4	25	13	0	3	3	62	3	18	179.0
PMC3915248	13	2	9	1	0	0	4	1	1	11	42.0
PMC3933411	19	0	6	0	0	0	0	0	0	3	28.0
PMC5240907	4	0	9	1	0	0	1	2	1	34	52.0
PMC4231606	23	3	8	1	0	0	0	9	0	16	60.0
PMC5539754	18	1	17	0	0	0	4	6	2	9	57.0
PMC5226708	18	0	12	0	0	0	4	4	1	14	53.0
PMC5524288	13	0	5	0	0	0	0	7	0	4	29.0
PMC3789799	15	1	16	9	0	0	6	23	17	30	117.0
PMC5546866	22	0	11	0	0	0	3	12	7	10	65.0
PMC5405375	6	0	10	0	0	0	1	0	0	16	33.0
PMC2722583	21	4	7	2	0	0	3	5	0	13	55.0
PMC1247630	4	0	1	0	0	0	0	0	0	0	5.0
PMC1474522	2	0	2	0	0	0	1	0	0	5	10.0
PMC2009866	1	0	2	0	0	0	1	0	0	10	14.0
PMC4428817	6	0	3	0	0	0	0	6	0	3	18.0
PMC5501061	1	0	2	0	0	0	0	0	0	3	6.0
PMC6022422	14	10	17	6	0	1	5	9	2	29	93.0
PMC1533075	8	0	2	0	0	0	0	2	0	2	14.0
PMC1626394	9	1	4	2	0	0	1	0	1	6	24.0
PMC2265032	15	0	3	1	0	0	7	0	1	6	33.0
PMC2516588	5	1	2	0	0	0	1	0	0	3	12.0
PMC2672462	25	2	15	1	0	0	3	5	1	19	71.0
PMC2874300	9	0	3	0	0	0	1	1	0	6	20.0
PMC2889879	70	4	22	3	0	0	6	6	1	10	122.0
PMC2898025	61	4	17	4	0	0	8	6	1	28	129.0
PMC2999828	92	9	17	8	2	0	10	14	1	38	191.0
PMC3205727	13	0	9	0	0	0	3	0	1	6	32.0
PMC3348565	29	2	8	1	0	0	4	11	1	18	74.0
PMC3373750	6	0	2	0	0	0	0	0	0	0	8.0
PMC3513049	4	0	2	0	0	0	2	2	0	4	14.0
PMC3679768	5	0	6	1	0	0	1	1	0	34	48.0
PMC3914197	10	3	6	0	0	0	0	2	0	20	41.0
PMC4122855	3	0	2	0	0	0	0	1	0	0	6.0
PMC4304064	2	0	1	1	0	0	0	0	0	0	4.0
PMC4352710	13	2	7	1	0	0	1	2	2	8	36.0
PMC4377896	20	0	13	0	0	0	2	3	0	6	44.0
PMC4500436	0	0	2	0	0	0	0	0	0	1	3.0
PMC4564405	0	0	5	0	0	0	0	0	0	5	10.0
PMC4653409	2	0	2	0	0	0	0	0	0	0	4.0
PMC4683322	14	0	9	1	0	0	3	7	14	1	49.0
PMC4859539	21	5	10	1	0	1	3	11	1	14	67.0
PMC4954778	32	1	19	1	0	1	3	16	2	27	102.0
PMC4992225	37	5	12	1	0	0	2	8	1	15	81.0
PMC5030620	78	17	45	9	0	3	14	7	28	45	246.0
PMC5143410	2	8	6	0	0	0	0	4	0	23	43.0
PMC5187359	38	4	33	4	0	1	4	33	3	37	157.0
PMC5273824	28	2	8	0	0	1	3	7	0	8	57.0
PMC5540678	36	2	10	1	0	0	2	1	1	15	68.0
PMC5685050	17	0	5	0	0	0	2	9	0	7	40.0
PMC6029118	7	0	11	0	0	0	2	0	0	8	28.0
PMC6033232	20	0	5	0	0	0	12	1	14	15	67.0
PMC6039335	55	14	32	4	0	4	9	14	3	57	192.0
PMC6054603	0	0	8	0	0	0	3	0	3	22	36.0
PMC6056931	41	2	22	2	0	0	2	11	2	56	138.0
PMC2722408	15	0	19	0	0	0	4	2	1	15	56.0
PMC2727050	14	2	22	0	0	0	8	1	1	20	68.0
PMC2913107	16	0	5	0	0	0	2	2	2	8	35.0
PMC3075531	27	3	9	1	0	1	5	9	1	13	69.0
PMC3169551	16	0	9	0	0	0	1	4	0	12	42.0
PMC3271033	18	1	6	0	0	0	2	11	0	18	56.0
PMC3424155	29	1	21	4	0	0	5	18	2	36	116.0
PMC3470091	20	4	9	4	0	0	3	10	1	16	67.0
PMC3659910	47	2	23	0	0	0	8	14	1	41	136.0
PMC3710985	58	0	11	0	0	0	0	0	1	18	88.0
PMC3828574	12	0	15	0	0	0	3	1	1	19	51.0
PMC4037583	34	3	14	5	1	1	3	19	11	15	106.0
PMC4275682	3	1	7	5	0	0	2	2	3	8	31.0
PMC4327187	8	0	9	0	0	0	3	1	1	3	25.0
PMC4380518	12	0	5	0	0	0	1	6	0	4	28.0
PMC4488777	45	13	26	6	0	0	5	21	2	35	153.0
PMC4715834	2	0	3	0	0	0	1	0	0	1	7.0
PMC4973215	8	0	7	0	0	0	1	5	0	10	31.0
PMC5340372	17	2	10	1	0	0	6	12	0	34	82.0
PMC5439533	12	0	5	1	0	0	2	1	0	10	31.0
PMC5658906	58	1	8	0	0	0	3	6	0	8	84.0
PMC5732505	13	0	8	0	0	0	0	10	1	17	49.0
UNIQUE_OBO_SUMS (SET)	844	104	304	67	3	10	29	501	86	522	2470.0
UNIQUE_OBO_AVERAGE	29.184782608695652	3.0543478260869565	14.33695652173913	2.260869565217391	0.07608695652173914	0.34782608695652173	3.1739130434782608	13.98913043478261	2.9239130434782608	21.380434782608695	90.72826086956522
UNIQUE_OBO_MEDIAN	15.0	0.0	9.0	0.0	0.0	0.0	2.0	4.0	1.0	13.0	51.0
