	CHEBI_EXT	CL_EXT	GO_BP_EXT	GO_CC_EXT	GO_MF_EXT	MOP_EXT	NCBITaxon_EXT	PR_EXT	SO_EXT	UBERON_EXT	UNIQUE_ARTICLE_SUMS
PMC6000839	17	0	13	0	0	0	3	1	2	22	58.0
PMC3800883	6	0	4	0	0	0	1	1	0	5	17.0
PMC2885310	14	0	30	0	3	0	5	7	0	14	73.0
PMC4311629	50	18	81	10	27	4	8	50	15	69	332.0
PMC3400371	28	3	24	3	1	1	2	3	2	28	95.0
PMC4897523	60	3	48	2	8	0	10	7	7	47	192.0
PMC3272870	67	10	76	6	13	1	6	33	13	74	299.0
PMC3313761	12	0	9	1	0	0	3	4	0	22	51.0
PMC3342123	62	5	141	12	25	1	8	179	31	34	498.0
PMC3427250	35	0	15	0	4	0	6	15	0	30	105.0
PMC4653418	1	0	4	0	0	0	1	0	0	5	11.0
PMC3279448	27	1	46	12	6	3	5	23	34	18	175.0
PMC6011374	20	1	21	1	2	0	2	13	2	17	79.0
PMC5812027	15	1	25	0	0	0	2	6	1	22	72.0
PMC2396486	78	6	46	13	22	4	4	74	15	26	288.0
PMC3915248	30	3	17	3	2	0	8	2	7	18	90.0
PMC3933411	25	0	14	1	0	0	3	1	1	10	55.0
PMC5240907	9	0	27	1	0	0	4	8	0	52	101.0
PMC4231606	31	4	19	4	2	0	3	15	2	23	103.0
PMC5539754	30	1	41	1	6	0	6	13	5	14	117.0
PMC5226708	26	0	40	0	1	0	7	5	2	22	103.0
PMC5524288	18	0	11	0	3	0	2	11	0	11	56.0
PMC3789799	38	4	27	17	7	0	8	18	52	34	205.0
PMC5546866	36	0	22	0	8	1	4	24	18	16	129.0
PMC5405375	10	0	28	0	0	0	3	0	0	25	66.0
PMC2722583	36	6	25	5	0	0	6	3	1	22	104.0
PMC1247630	11	0	3	0	1	1	2	1	0	3	22.0
PMC1474522	2	1	2	0	0	0	1	0	0	6	12.0
PMC2009866	2	0	3	0	0	0	1	0	0	10	16.0
PMC4428817	10	0	4	0	0	0	1	5	1	5	26.0
PMC5501061	3	0	3	0	0	0	1	0	0	5	12.0
PMC6022422	24	11	42	9	9	0	7	16	9	39	166.0
PMC1533075	10	0	3	0	0	0	1	1	0	4	19.0
PMC1626394	12	2	9	4	0	0	2	1	2	8	40.0
PMC2265032	23	2	10	2	2	2	6	1	2	8	58.0
PMC2516588	8	1	4	0	0	0	1	0	2	3	19.0
PMC2672462	31	2	29	2	4	0	6	7	1	31	113.0
PMC2874300	8	0	4	0	0	1	1	1	0	5	20.0
PMC2889879	76	6	25	5	2	0	7	8	5	20	154.0
PMC2898025	70	5	36	4	8	0	11	8	4	41	187.0
PMC2999828	122	11	57	11	21	1	10	15	4	56	308.0
PMC3205727	16	0	28	0	0	0	8	1	1	13	67.0
PMC3348565	29	4	20	2	4	0	6	14	2	28	109.0
PMC3373750	7	0	5	0	0	0	1	0	0	1	14.0
PMC3513049	6	0	3	0	0	0	2	4	1	5	21.0
PMC3679768	11	0	7	3	1	0	1	2	0	40	65.0
PMC3914197	25	3	9	2	8	0	0	11	5	25	88.0
PMC4122855	5	0	4	0	0	0	1	1	0	2	13.0
PMC4304064	2	0	4	1	0	0	1	0	0	3	11.0
PMC4352710	18	2	14	1	3	2	3	2	7	19	71.0
PMC4377896	24	0	29	0	0	0	6	0	0	11	70.0
PMC4500436	2	0	14	0	0	0	4	0	0	9	29.0
PMC4564405	1	0	19	0	0	0	2	0	0	13	35.0
PMC4653409	3	0	5	0	0	0	2	0	0	3	13.0
PMC4683322	31	0	15	1	16	0	2	13	21	4	103.0
PMC4859539	30	6	11	2	1	1	6	16	7	24	104.0
PMC4954778	42	2	36	1	10	2	4	23	11	36	167.0
PMC4992225	41	5	29	2	7	1	3	19	2	30	139.0
PMC5030620	111	21	114	13	25	8	12	14	59	67	444.0
PMC5143410	3	8	12	1	2	0	0	4	0	35	65.0
PMC5187359	56	5	72	8	26	1	5	42	10	48	273.0
PMC5273824	33	1	12	0	2	1	5	14	1	17	86.0
PMC5540678	37	3	18	2	1	2	5	1	1	20	90.0
