PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES
PMC2913107.nxml.gz	0	['On the aetiology of autism\nI have suggested that the primary environmental trigger for autism is not vaccinations, toxins or infections, but gestational and early childhood vitamin D deficiency (1,2).']	(0, 200)
PMC2913107.nxml.gz	1	['Subsequently, the title of an article in Scientific American recently asked, ‘What if vitamin D deficiency is a cause of autism?’ (3) Since then, an article on vitamin D and autism in Acta Paediatrica (4) and the accompanying commentary (5) have added to the accelerating suspicion that vitamin D deficiency – either during pregnancy or early childhood – may be an environmental trigger for the genetic disease of autism.']	(201, 622)
PMC2913107.nxml.gz	2	['I will not repeat the evidence from my original 2007 paper and I am well aware that evidence consistent with a theory is not proof of that theory.']	(623, 769)
PMC2913107.nxml.gz	3	['Instead, I concentrate on papers either published since my paper, or on evidence I overlooked when researching the original paper.']	(770, 900)
PMC2913107.nxml.gz	4	['Finally, I explain my reasons why this theory deserves immediate attempts to disprove it.']	(901, 990)
PMC2913107.nxml.gz	5	['Simultaneous with the above two Acta Paediatrica publications, a paper elsewhere reported that among 117 adult psychiatric outpatients is Sweden with various diagnoses, the 10 patients with autism had the lowest vitamin D levels of any of the groups studied, a mean of 12 ng/mL (31 nM), approaching the osteomalacic range for adults and the rachitic range for children (6).']	(991, 1364)
PMC2913107.nxml.gz	6	['Even more interesting, some of the patients seemed to improve when treated with an average dose of about 4000 IU of vitamin D/day.']	(1365, 1495)
PMC2913107.nxml.gz	7	['The authors did not say if the improvement occurred in the autism group.']	(1496, 1568)
PMC2913107.nxml.gz	8	['A 2008 review detailed the devastating effect gestational vitamin D deficiency has on developing mammalian brains (7).']	(1569, 1687)
PMC2913107.nxml.gz	9	['Unfortunately, the tiny 10 μg (400 IU) dose in prenatal vitamins is virtually irrelevant in preventing the current epidemic of gestational vitamin D deficiency (8).']	(1688, 1852)
PMC2913107.nxml.gz	10	['For this reason, in 2007, the Canadian Paediatric Society cautioned pregnant women they may require not 400 IU/day but 2000 IU/day, or more, to prevent gestational vitamin D deficiency (9).']	(1853, 2042)
PMC2913107.nxml.gz	11	['If adequate amounts of vitamin D prevent autism, one would expect children with rickets to have an increased risk of autism.']	(2043, 2167)
PMC2913107.nxml.gz	12	['To my knowledge, the neuropsychiatric symptoms of rickets have not been studied in the modern era.']	(2168, 2266)
PMC2913107.nxml.gz	13	['However, at least two old papers have addressed it (10,11), both published before Kanner described autism in 1943.']	(2267, 2381)
PMC2913107.nxml.gz	14	['Both papers describe ‘weak mindedness,’‘feeble minds,’‘mental dullness,’ unresponsiveness and developmental delays.']	(2382, 2497)
