PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	Effect	NN	0	6	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	on	IN	7	9	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	the	DT	10	13	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	incidence	NN	14	23	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	of	IN	24	26	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	pneumonia	NN	27	36	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	of	IN	37	39	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	vitamin	NN	40	47	B	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	D	NNP	48	49	I	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	supplementation	NN	50	65	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	by	IN	66	68	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	quarterly	JJ	69	78	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	bolus	NN	79	84	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	dose	NN	85	89	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	to	TO	90	92	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	infants	NNS	93	100	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	in	IN	101	103	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	Kabul	NNP	104	109	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	:	:	109	110	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	a	DT	111	112	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	randomised	JJ	113	123	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	controlled	VBN	124	134	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	superiority	NN	135	146	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	trial	NN	147	152	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	AbstractSummary	NNP	154	169	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	Background	NNP	171	181	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	Vitamin	NNP	182	189	B	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	D	NNP	190	191	I	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	has	VBZ	192	195	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	a	DT	196	197	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	role	NN	198	202	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	in	IN	203	205	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	regulating	VBG	206	216	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	immune	JJ	217	223	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	function	NN	224	232	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	,	,	232	233	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	and	CC	234	237	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	its	PRP$	238	241	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	deficiency	NN	242	252	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	is	VBZ	253	255	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	a	DT	256	257	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	suggested	JJ	258	267	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	risk	NN	268	272	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	factor	NN	273	279	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	for	IN	280	283	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	childhood	NN	284	293	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	pneumonia	NN	294	303	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_0	0	304	.	.	303	304	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	Our	PRP$	305	308	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	aim	NN	309	312	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	was	VBD	313	316	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	to	TO	317	319	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	assess	VB	320	326	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	whether	IN	327	334	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	oral	JJ	335	339	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	supplementation	NN	340	355	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	of	IN	356	358	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	vitamin	NN	359	366	B	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	D3	NNP	367	369	I	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	(	(	369	370	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	cholecalciferol	NN	370	385	B	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	)	)	385	386	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	will	MD	387	391	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	reduce	VB	392	398	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	the	DT	399	402	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	incidence	NN	403	412	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	and	CC	413	416	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	severity	NN	417	425	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	of	IN	426	428	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	pneumonia	NN	429	438	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	in	IN	439	441	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	a	DT	442	443	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	high	JJ	444	448	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	-	:	448	449	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	risk	NN	449	453	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	infant	JJ	454	460	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	population	NN	461	471	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_1	305	472	.	.	471	472	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	Methods	NNS	474	481	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	We	PRP	482	484	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	did	VBD	485	488	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	a	DT	489	490	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	randomised	VBN	491	501	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	placebo	NN	502	509	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	-	:	509	510	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	controlled	VBN	510	520	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	trial	NN	521	526	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	to	TO	527	529	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	compare	VB	530	537	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	oral	JJ	538	542	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	100	CD	543	546	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	000	CD	547	550	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	IU	NNP	551	553	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	(	(	554	555	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	2	CD	555	556	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	·	RB	556	557	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	5	CD	557	558	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	mg	NN	559	561	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	)	)	561	562	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	vitamin	NN	563	570	B	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	D3with	NNP	571	577	I	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	placebo	NN	578	585	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	given	VBN	586	591	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	to	TO	592	594	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	children	NNS	595	603	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	aged	VBN	604	608	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	1	CD	609	610	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	–	JJ	610	611	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	11	CD	611	613	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	months	NNS	614	620	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	in	IN	621	623	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	Kabul	NNP	624	629	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	,	,	629	630	O	None	None	None
PMC3348565.nxml.gz	PMC3348565.nxml.gz_2	474	643	Afghanistan	NNP	631	642	O	None	None	None
