PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC2516588.nxml.gz	0	['Defective Spermatogenesis: Martin et al.']	(0, 40)	FALSE
PMC2516588.nxml.gz	1	['Respond\nIn response to Prasad’s constructive comments on our quantitative meta-analysis of the estrogen hypothesis and testicular dysgenesis syndrome (Martin et al.']	(41, 205)	TRUE
PMC2516588.nxml.gz	2	['2008), we offer the following observations regarding the scope of our study and limitations of the methodology applied.']	(206, 325)	FALSE
PMC2516588.nxml.gz	3	['The primary objective of a quantitative meta-analysis is to combine the results of previous studies examining a specific research question to arrive at a summary conclusion about a body of research.']	(326, 524)	FALSE
PMC2516588.nxml.gz	4	['This statistical pooling of several studies, taking into account the size of individual studies, confers more power to detect a potential association, and quantitative meta-analyses are often put at the top of evidence hierarchies.']	(525, 756)	FALSE
PMC2516588.nxml.gz	5	['It cannot, however, correct for potential bias and confounding of the studies included; we addressed this issue in our review (Martin et al.']	(757, 897)	FALSE
PMC2516588.nxml.gz	6	['2008) by rating the quality of individual studies and carrying out a sensitivity analysis by excluding studies for which the quality score was below a chosen value.']	(898, 1062)	FALSE
PMC2516588.nxml.gz	7	['The method also requires that included studies report a measure of association such as a risk ratio or odds ratio.']	(1063, 1177)	FALSE
PMC2516588.nxml.gz	8	['For this reason—although we did mention impaired spermatogenesis as one of the end points encompassed by the testicular dysgenesis syndrome—it was necessary to exclude this end point from our analysis.']	(1178, 1379)	FALSE
PMC2516588.nxml.gz	9	['In previous work and a scoping study, we found that most of the research carried out in relation to impaired spermatogenesis had investigated time trends rather than association with specific risk factors (Martin et al.']	(1380, 1599)	FALSE
PMC2516588.nxml.gz	10	['2007).']	(1600, 1606)	FALSE
PMC2516588.nxml.gz	11	['Further, our analysis was limited to prenatal exposure to estrogenic agents.']	(1607, 1683)	FALSE
PMC2516588.nxml.gz	12	['A number of studies have found associations between sperm motility or sperm DNA damage with levels of estrogenic chemicals measured either in urine or serum (Duty et al.']	(1684, 1853)	FALSE
PMC2516588.nxml.gz	13	['2003;Spanò et al.']	(1854, 1871)	FALSE
PMC2516588.nxml.gz	14	['2005).']	(1872, 1878)	FALSE
PMC2516588.nxml.gz	15	['It would not be possible however to relate such levels to prenatal exposure.']	(1879, 1955)	FALSE
PMC2516588.nxml.gz	16	['This also illustrates the difficulty of selecting a suitable marker of impaired spermatotogenesis.']	(1956, 2054)	FALSE
PMC2516588.nxml.gz	17	['Our study was implicitly limited to congenital cryptorchidism because the literature search did not yield any case–control or cohort studies that addressed the question of prenatal exposure to estrogenic compounds and acquired cryptorchidism in humans.']	(2055, 2307)	TRUE
PMC2516588.nxml.gz	18	['In retrospect, this should have been explicitly stated in our article (Martin et al.']	(2308, 2392)	FALSE
PMC2516588.nxml.gz	19	['2008).']	(2393, 2399)	FALSE
PMC2516588.nxml.gz	20	['We concluded that the significant association between prenatal diethylstilbestrol exposure and all three end points considered conferred weight to the hypothesis of a common etiology for these disorders, and therefore to the existence of a testicular dysgenesis syndrome (Martin et al.']	(2400, 2685)	TRUE
PMC2516588.nxml.gz	21	['2008).']	(2686, 2692)	FALSE
PMC2516588.nxml.gz	22	['Separate analyses were carried out for the three end points but the methodology applied did not allow us to explore the specific nature of causal relationships between congenital cryptorchidism, hypospadias, and testicular cancer.']	(2693, 2923)	FALSE
PMC2516588.nxml.gz	23	['We are therefore grateful for Prasad’s insights.']	(2924, 2972)	FALSE
PMC2516588.nxml.gz	24	['PubMed Central:']	(2974, 2989)	FALSE
