PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	110	CD	0	3	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	Is	VBZ	4	6	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	Pet	NNP	7	10	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	Ownership	NNP	11	20	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	Associated	NNP	21	31	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	with	IN	32	36	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	Higher	NNP	37	43	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	Vitamin	NNP	44	51	B	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	D	NNP	52	53	I	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_0	0	54	?	.	53	54	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	Abstract	NNP	56	64	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	Background	NNP	66	76	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	Pet	NNP	77	80	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	keeping	VBG	81	88	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	has	VBZ	89	92	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	been	VBN	93	97	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	linked	VBN	98	104	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	with	IN	105	109	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	decreased	JJ	110	119	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	risk	NN	120	124	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	of	IN	125	127	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	allergic	JJ	128	136	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	sensitization	NN	137	150	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	,	,	150	151	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	which	WDT	152	157	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	has	VBZ	158	161	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	been	VBN	162	166	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	associated	VBN	167	177	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	with	IN	178	182	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	the	DT	183	186	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	Hygiene	NNP	187	194	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	Hypothesis	NNP	195	205	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	;	:	205	206	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	and	CC	207	210	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	more	RBR	211	215	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	recently	RB	216	224	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	,	,	224	225	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	by	IN	226	228	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	ourselves	NNS	229	238	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	and	CC	239	242	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	others	NNS	243	249	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	,	,	249	250	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	to	TO	251	253	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	particular	VB	254	264	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	home	NN	265	269	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	microbiome	NN	270	280	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	patterns	NNS	281	289	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_1	56	290	.	.	289	290	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	Another	DT	291	298	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	factor	NN	299	305	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	possibly	RB	306	314	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	associated	VBN	315	325	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	with	IN	326	330	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	pet	JJ	331	334	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	ownership	NN	335	344	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	is	VBZ	345	347	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	increased	VBN	348	357	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	Vitamin	NNP	358	365	B	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	D	NNP	366	367	I	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	among	IN	368	373	O	None	None	None
PMC3513049.nxml.gz	PMC3513049.nxml.gz_2	291	496	family	NN	374	380	O	None	None	None
