PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC5439533.nxml.gz	0	['Association of influenza vaccination during pregnancy with birth outcomes in Nicaragua\n\nAbstract\nBackground: Studies have shown that influenza vaccination during pregnancy reduces the risk of influenza disease in pregnant women and their offspring.']	(0, 248)	FALSE
PMC5439533.nxml.gz	1	['Some have proposed that maternal vaccination may also have beneficial effects on birth outcomes.']	(249, 345)	FALSE
PMC5439533.nxml.gz	2	['In 2014, we conducted an observational study to test this hypothesis using data from two large hospitals in Managua, Nicaragua.']	(346, 473)	FALSE
PMC5439533.nxml.gz	3	['Methods: We conducted a retrospective cohort study to evaluate associations between influenza vaccination and birth outcomes.']	(474, 599)	FALSE
PMC5439533.nxml.gz	4	['We carried out interviews and reviewed medical records post-partum to collect data on demographics, influenza vaccination during pregnancy, birth outcomes and other risk factors associated with adverse neonatal outcomes.']	(600, 820)	FALSE
PMC5439533.nxml.gz	5	['We used influenza surveillance data to adjust for timing of influenza circulation.']	(821, 903)	FALSE
PMC5439533.nxml.gz	6	['We assessed self-reports of influenza vaccination status by further reviewing medical records of those who self-reported but did not have readily available evidence of vaccination status.']	(904, 1091)	FALSE
PMC5439533.nxml.gz	7	['We performed multiple logistic regression (MLR) and propensity score matching (PSM).']	(1092, 1176)	FALSE
PMC5439533.nxml.gz	8	['Results: A total of 3268 women were included in the final analysis.']	(1177, 1244)	FALSE
PMC5439533.nxml.gz	9	['Of these, 55% had received influenza vaccination in 2014.']	(1245, 1302)	FALSE
PMC5439533.nxml.gz	10	['Overall, we did not observe statistically significant associations between influenza vaccination and birth outcomes after adjusting for risk factors, with either MLR or PSM.']	(1303, 1476)	FALSE
PMC5439533.nxml.gz	11	['With PSM, after adjusting for risk factors, we observed protective associations between influenza vaccination in the second and third trimester and preterm birth (aOR: 0.87; 95% confidence interval (CI): 0.75–0.99 and aOR: 0.66; 95% CI: 0.45–0.96, respectively) and between influenza vaccination in the second trimester and low birth weight (aOR: 0.80; 95% CI: 0.64–0.97).']	(1477, 1849)	FALSE
PMC5439533.nxml.gz	12	['Conclusions: We found evidence to support an association between influenza vaccination and birth outcomes by trimester of receipt with data from an urban population in Nicaragua.']	(1850, 2028)	FALSE
PMC5439533.nxml.gz	13	['The study had significant selection and recall biases.']	(2029, 2083)	FALSE
PMC5439533.nxml.gz	14	['Prospective studies are needed to minimize these biases.']	(2084, 2140)	FALSE
PMC5439533.nxml.gz	15	['Introduction\nInfection with influenza during pregnancy and its association with adverse birth outcomes has been documented since the early 1900s[1],[2].']	(2142, 2294)	FALSE
PMC5439533.nxml.gz	16	['For instance, infection with influenza virus during pregnancy may prompt an inflammatory [cascade] response that is associated with preterm birth[3],[4].']	(2295, 2448)	FALSE
PMC5439533.nxml.gz	17	['Influenza vaccination has been shown to reduce the risk of influenza virus disease and its complications among pregnant women and their infants[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15].']	(2449, 2642)	FALSE
PMC5439533.nxml.gz	18	['Furthermore, some studies have found a beneficial effect of influenza vaccination on birth outcomes, specifically a decreased likelihood of delivering a baby preterm or small for gestational age[16],[17],[18],[19],[20],[21],[22].']	(2643, 2872)	FALSE
PMC5439533.nxml.gz	19	['Other studies, however, have found no evidence to support this hypothesis[23],[24],[25],[26],[27],[28],[29],[30].']	(2873, 2986)	FALSE
PMC5439533.nxml.gz	20	['Published studies have differed substantially from one another in design and in ability to account for variations in circulating influenza viruses, vaccine components, target population, and place of study, making cross-study comparisons difficult[31].']	(2987, 3239)	FALSE
