PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4275682.nxml.gz	0	['Body mass index is associated with the maternal lines but height is heritable across family lines in the Lifeways Cross-Generation Cohort Study\n\nAbstract\n\nObjectives\nOverweight and obesity is a problem in children in particular and determining pathways of transmission is important in prevention.']	(0, 296)	FALSE
PMC4275682.nxml.gz	1	['We aimed to examine associations for body mass index (BMI) across three generations of the same families.']	(297, 402)	FALSE
PMC4275682.nxml.gz	2	['Participants\nMembers of 556 families in the Lifeways Cross-Generation Cohort Study 2001–2014.']	(404, 497)	FALSE
PMC4275682.nxml.gz	3	['Setting\nCommunity-based study with linkage to health records in the Republic of Ireland.']	(499, 587)	FALSE
PMC4275682.nxml.gz	4	['Methods\nEmploying a novel mixed-method approach which adjusts for age and familial group, BMI correlations were estimated at three ages of the index child, that is, at birth and at ages 5 and 9.']	(589, 783)	FALSE
PMC4275682.nxml.gz	5	['Height was also examined for comparative purposes.']	(784, 834)	FALSE
PMC4275682.nxml.gz	6	["Results\nCorrelation of offspring's BMI with that of the mother increased with age (correlation coefficient 0.15 increasing to 0.28, p value <0.001 in all cases) while no consistent pattern was seen with offspring and fathers."]	(836, 1061)	FALSE
PMC4275682.nxml.gz	7	['There was an association also with each parent and their own mother.']	(1062, 1130)	FALSE
PMC4275682.nxml.gz	8	["Offspring's BMI was correlated to a lesser extent with that of the maternal grandmother while for girls only there was an association with that of the paternal grandmother at ages 0 and 5 (correlation coefficients 0.25, 0.28, p values 0.02, 0.01, respectively)."]	(1131, 1392)	FALSE
PMC4275682.nxml.gz	9	['In contrast, height of the child was strongly associated with those of all family members at age 5, but at birth and at age 9 only there was an association with those of the parents and the paternal grandfather.']	(1393, 1604)	FALSE
PMC4275682.nxml.gz	10	["Correlation of offspring's height with those of the mother and father increased with age."]	(1605, 1694)	FALSE
PMC4275682.nxml.gz	11	['Conclusions\nThe results suggest that BMI is predominantly associated with the maternal line, possibly either with intrauterine development, or inherited through the X chromosome, or both, while height is a more complex trait with genetic influences of the parents and that of the paternal grandfather predominating.']	(1696, 2011)	TRUE
PMC4275682.nxml.gz	12	["Caption (BOXED-TEXT)\nStrengths and limitations of this study\nThis is one of the few studies to examine association between grandparents’ characteristics and grandchildren's growth across seven lineages and at three time points."]	(2013, 2240)	FALSE
PMC4275682.nxml.gz	13	['The results of this study are novel, suggesting that body mass index is predominantly associated with maternal pathways, whether through intrauterine development or inherited through the X chromosome or both.']	(2241, 2449)	TRUE
PMC4275682.nxml.gz	14	['The statistical analysis is novel, using mixed-model techniques that enable all the data to be utilised including incomplete families.']	(2450, 2584)	FALSE
PMC4275682.nxml.gz	15	['A limitation is the relatively small numbers of respondents with differential response rates at each sweep, particularly when children averaged 9\u2005years of age.']	(2585, 2744)	FALSE
PMC4275682.nxml.gz	16	['A further limitation is the possibility that deceased grandparents would have different patterns of association with their grandchildren than those living.']	(2745, 2900)	FALSE
PMC4275682.nxml.gz	17	['Introduction\nIncreasing body mass index (BMI) and obesity levels in current populations are a source of concern for public health policy in many countries.']	(2902, 3057)	FALSE
PMC4275682.nxml.gz	18	['There is significant interest in what influences weight gain over the life course and the degree to which risk of overweight or obesity is transmitted across generations of families.1–3From studies that have examined the heritability of BMI,45it is clear that BMI does have a heritable component.']	(3058, 3354)	FALSE
PMC4275682.nxml.gz	19	['However, the majority of family studies of BMI examine relationships between two generations only and are not adjusted for cohort effects.']	(3355, 3493)	FALSE
PMC4275682.nxml.gz	20	['Studies in which BMI of children is documented at repeated times show strong tracking patterns with age,6–9but this has not been reported in relation to family lineages including grandparents.']	(3494, 3686)	FALSE
PMC4275682.nxml.gz	21	['There are very few human studies which include three generations of family members and which also collect anthropometric data or study heritability patterns.']	(3687, 3844)	FALSE
PMC4275682.nxml.gz	22	["The Genetics of Pre-eclampsia (GOPEC) consortium studied patterns of inheritance across three generations in relation to risk of pre-eclampsia.10A US study, employing self-reported grandparental data, looked at familial associations for childhood overweight.11In Hong Kong, an economy in epidemiological transition, grandparental and parental education in relation to childhood weight was studied, the parental influence being stronger.12A small number of studies have been reported which examine grandparental morbidity and mortality data in relation to infant birth weight and growth patterns.13–16Most recently, data from the Overkalix study in Sweden, which relates famine experience decades ago with current grandchildren's cardiovascular disease outcomes, suggest that the paternal grandmother's (PGM) exposure to famine-like conditions in childhood was associated with an increased likelihood of cardiovascular disease in her adult granddaughter, whereas the mortality association was limited to grandsons for the paternal grandfather (PGF).1718The maternal grandmother (MGM) may be particularly significant, because she supplies the ovum through the mother to her grandchild, as well as her nurturing role to the mother and grandchild.119Both grandmothers provide an intrauterine environment for the respective parents of any index grandchild."]	(3845, 5196)	FALSE
PMC4275682.nxml.gz	23	["Anthropological studies also suggest the particular importance of the MGM for children's development.20\nThe Lifeways Cross-Generation Cohort Study was established in 2001 with the a priori purpose of assessing associations across generations and between family members.21–25We have shown in several previous analyses that there is a stronger association with children's outcomes along the maternal than the paternal line.23–25In the present study, we analyse patterns in BMI and height at three ages of the index child, employing primarily examination rather than self-reported data for adults."]	(5197, 5791)	FALSE
PMC4275682.nxml.gz	24	['Our purpose was to assess if there are any similarities in BMI patterns within families and whether similarities are constant over the three time points and across generations.']	(5792, 5968)	FALSE
PMC4275682.nxml.gz	25	['Height is also examined for comparative purposes.']	(5969, 6018)	FALSE
PMC4275682.nxml.gz	26	['Methods\nThe data form part of the Lifeways Cross-Generation Cohort Study, established in 2001 and followed up through to 2013.']	(6020, 6146)	FALSE
PMC4275682.nxml.gz	27	['The methodology has been described elsewhere and a number of reports with this data set have been published previously.212226Briefly, mothers were recruited at the antenatal booking visit initially and, in addition to their infant, were asked to recruit if possible their partner and at least one living grandparent.']	(6147, 6463)	FALSE
PMC4275682.nxml.gz	28	['Only biological (grand)parents were included in the sample.']	(6464, 6523)	FALSE
PMC4275682.nxml.gz	29	['Height and weight were collected in participants either through self-report or measurement at various sweeps (seetable 1).']	(6524, 6646)	FALSE
PMC4275682.nxml.gz	30	['For this analysis, we employ only measured data in the child, for example, weight and length at birth, weight and height at ages 5 and 9, measured weight and height of mother (when the child was aged 5) and grandparents (at baseline) and a mixture of measured and self-reported data for the fathers.']	(6647, 6946)	FALSE
PMC4275682.nxml.gz	31	['The most complete data were available for the latter at these time points.']	(6947, 7021)	FALSE
