PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC3424155.nxml.gz	0	['Maternal Vitamin D Deficiency Delays Glomerular Maturity in F1 and F2 Offspring\n\nAbstract\n\nBackground\nThere is a high prevalence of vitamin D insufficiency in women of reproductive age.']	(0, 185)	FALSE
PMC3424155.nxml.gz	1	['Methods\nThis work studied the first two generations of offspring (F1 and F2) of Swiss mice from mothers fed one of two diets: SC (standard chow) or VitD- (vitamin D-deficient).']	(187, 363)	TRUE
PMC3424155.nxml.gz	2	['Functional and developmental kidney measurements were taken.']	(364, 424)	FALSE
PMC3424155.nxml.gz	3	['Results\nThe first two generations of the VitD- group had higher blood pressure at 6 months of age than the offspring of the SC group as well as an increase in renin and AT1r expression.']	(426, 611)	FALSE
PMC3424155.nxml.gz	4	['However, at all ages, both F1 and F2 VitD- mice had shorter glomerular diameters, and diet played a significant role in the total variation.']	(612, 752)	TRUE
PMC3424155.nxml.gz	5	['Both the F1 and F2 generations of the VitD- group had more immature glomeruli than offspring from the SC group.']	(753, 864)	FALSE
PMC3424155.nxml.gz	6	['Immature glomeruli begin to disappear at 10 days, but at this age, F1-VitD- mice had more immature and mature glomeruli than F1-SC mice.']	(865, 1001)	TRUE
PMC3424155.nxml.gz	7	['At 6 months of age, F1-VitD- mice exhibited more glomeruli, while F2-VitD- mice exhibited the same number of glomeruli as F2-SC mice, but fewer glomeruli compared to the F1-VitD group.']	(1002, 1186)	TRUE
PMC3424155.nxml.gz	8	['Both diet and generation account for the total variation in the number of glomeruli.']	(1187, 1271)	FALSE
PMC3424155.nxml.gz	9	['Decreases in urine output and podocin expression and increases in urea and creatinine in the urine were observed in F1 offspring.']	(1272, 1401)	FALSE
PMC3424155.nxml.gz	10	['Conclusion\nThese findings demonstrate that maternal vitamin D deficiency accompanies changes in the renal expression of important factors that may retard the maturation of glomeruli by extending the period of nephrogenesis.']	(1403, 1626)	FALSE
PMC3424155.nxml.gz	11	['Introduction\nAdolescent and adult women of childbearing age in the United States of America have a high prevalence of vitamin D insufficiency[1],[2].']	(1628, 1777)	FALSE
PMC3424155.nxml.gz	12	['This insufficiency is likely related to diet[3]and is gaining recognition as a public health problem.']	(1778, 1879)	FALSE
PMC3424155.nxml.gz	13	["The prevalence of vitamin D insufficiency is high even in sunny climates, such as Brazil's, principally in adolescents[4]."]	(1880, 2002)	FALSE
PMC3424155.nxml.gz	14	['Vitamin D is critical for the development of the nervous system[5],[6]and immunological functions[7]during fetal development.']	(2003, 2128)	FALSE
PMC3424155.nxml.gz	15	['Vitamin D during the pregnancy is important to both maternal skeletal preservation and fetal skeletal formation.']	(2129, 2241)	FALSE
PMC3424155.nxml.gz	16	['However, new evidence suggests that vitamin D could be vital to normal fetal development and that vitamin D restriction in this period may affect chronic disease susceptibility post-natal life[8].']	(2242, 2438)	FALSE
PMC3424155.nxml.gz	17	['Furthermore, recent studies have shown that this restriction can generate “genomic imprinting” in the fetus, which is related to the genesis of chronic diseases in adulthood[9].']	(2439, 2616)	FALSE
PMC3424155.nxml.gz	18	['Moreover, vitamin D is associated with premature births, obesity and renal dysfunction in adulthood, making it more than an essential fat-soluble vitamin responsible for calcium metabolism[9],[10].']	(2617, 2814)	FALSE
PMC3424155.nxml.gz	19	['Normal development of the kidney is a highly complex process that requires precise cellular proliferation, differentiation and apoptosis[11].']	(2815, 2956)	FALSE
PMC3424155.nxml.gz	20	["Among the essential regulators of kidney development are components of the renin-angiotensin system (RAS), podocin (a critical component of the glomerular slit diaphragm) and the Wilms' tumor suppressor gene WT1[12]."]	(2957, 3173)	FALSE
PMC3424155.nxml.gz	21	['Vitamin D restriction during pregnancy and throughout lactation in rats is associated with an increased number of glomeruli and decreased renal corpuscle size among offspring, although the causes and consequences of this abnormal kidney phenotype remain unknown[13].']	(3174, 3440)	TRUE
PMC3424155.nxml.gz	22	['Therefore, the adverse effects of vitamin D restriction during kidney development need further exploration.']	(3441, 3548)	FALSE
PMC3424155.nxml.gz	23	['This study investigates the effects of maternal vitamin D deficiency on glomerular development in early postnatal life and its effects on renal structure at maturity.']	(3549, 3715)	FALSE
PMC3424155.nxml.gz	24	['This study focuses on the F1 and F2 generations after F0 maternal vitamin D restriction.']	(3716, 3804)	FALSE
PMC3424155.nxml.gz	25	['Materials and Methods\nAnimal protocols were approved by the Animal Ethics Committee of the State University of Rio de Janeiro (Protocol Number CEA/242/2008), and the procedures were conducted in accordance with the guidelines for experimentation with animals (NIH Publication N°.']	(3806, 4085)	TRUE
PMC3424155.nxml.gz	26	['85-23, revised 1996).']	(4086, 4107)	FALSE
PMC3424155.nxml.gz	27	['Animals were housed at a controlled temperature (21±1°C) and humidity (60±10%), with a 12 h light/dark cycle and free access to food and water.']	(4108, 4251)	TRUE
PMC3424155.nxml.gz	28	['Experimental design\nSix-week-old, female, virgin Swiss Webster mice (n\u200a=\u200a20, obtained from Oswaldo Cruz Institute Foundation, Rio de Janeiro, RJ, Brazil) were allocated to one of two groups for six weeks: SC (standard chow, fed a diet made according to the AIN93G protocol, including 1,000.0 IU/kg of vitamin D3)[14]or VitD- (vitamin D restricted, fed the same AIN93G diet but without vitamin D3).']	(4253, 4650)	TRUE
PMC3424155.nxml.gz	29	['The vitamin D was added separately only to the SC diet, and the vitamin mixture added to both the SC and VitD- diets did not contain vitamin D.Table 1shows the nutritional components in each diet, including the dietary composition of vitamin D. The recommended minimum dietary requirement of pregnant mice for vitamin D, according to the AIN93G, is 1,000.0 IU/kg of diet.']	(4651, 5022)	TRUE
