PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC2889879.nxml.gz	0	['Dietary intake of fish, omega-3, omega-6 polyunsaturated fatty acids and vitamin D and the prevalence of psychotic-like symptoms in a cohort of 33 000 women from the general population\n\nAbstract\n\nBackground\nLow intake of fish, polyunsaturated fatty acids (PUFA) and vitamin D deficiency has been suggested to play a role in the development of schizophrenia.']	(0, 357)	TRUE
PMC2889879.nxml.gz	1	['Our aim was to evaluate the association between the intake of different fish species, PUFA and vitamin D and the prevalence of psychotic-like symptoms in a population-based study among Swedish women.']	(358, 557)	FALSE
PMC2889879.nxml.gz	2	['Methods\nDietary intake was estimated using a food frequency questionnaire among 33 623 women aged 30-49 years at enrolment (1991/92).']	(559, 692)	FALSE
PMC2889879.nxml.gz	3	['Information on psychotic-like symptoms was derived from a follow-up questionnaire in the years 2002/03.']	(693, 796)	FALSE
PMC2889879.nxml.gz	4	['Participants were classified into three predefined levels: low, middle and high frequency of symptoms.']	(797, 899)	FALSE
PMC2889879.nxml.gz	5	['The association between diet and psychotic-like symptoms was summarized in terms of relative risks (RR) and corresponding 95% confidence intervals and was evaluated by energy-adjusted multinomial logistic regression.']	(900, 1116)	FALSE
PMC2889879.nxml.gz	6	['Results\n18 411 women were classified as having a low level of psychotic-like symptoms, 14 395 as middle and 817 as having a high level.']	(1118, 1253)	FALSE
PMC2889879.nxml.gz	7	['The risk of high level symptoms was 53% (95% CI, 30-69%) lower among women who ate fish 3-4 times per week compared to women who never ate fish.']	(1254, 1398)	FALSE
PMC2889879.nxml.gz	8	['The risk was also lower for women with a high intake of omega-3 and omega-6 PUFA compared to women with a lower intake of these fatty acids.']	(1399, 1539)	TRUE
PMC2889879.nxml.gz	9	['The effect was most pronounced for omega-6 PUFAs.']	(1540, 1589)	FALSE
PMC2889879.nxml.gz	10	['The RR comparing the highest to the lowest quartile of omega-6 PUFAs intake was 0.78 (95% CI, 0.64-0.97).']	(1590, 1695)	FALSE
PMC2889879.nxml.gz	11	['The associations were J-shaped with the strongest reduced risk for an intermediate intake of fish or PUFA.']	(1696, 1802)	FALSE
PMC2889879.nxml.gz	12	['For fatty fish (herring/mackerel, salmon-type fish), the strongest inverse association was found for an intermediate intake (RR: 0.81, 95% CI, 0.66-0.98), whereas a high intake of fatty fish was associated with an increased risk of psychotic-like symptoms (RR: 1.90, 95% CI, 1.34-2.70).']	(1803, 2089)	FALSE
PMC2889879.nxml.gz	13	['Women in the highest compared with the lowest quartile of vitamin D consumption experienced a 37% (95% CI, 22-50%) lower risk of psychotic-like symptoms.']	(2090, 2243)	FALSE
PMC2889879.nxml.gz	14	['Conclusion\nOur findings raise a possibility that adult women with a high intake of fish, omega-3 or omega-6 PUFA and vitamin D have a lower rate of psychotic-like symptoms.']	(2245, 2417)	TRUE
PMC2889879.nxml.gz	15	['Background\nEven though psychoses are relatively rare, between 5-15% of the general population has been estimated to report single schizophrenia-like symptoms like delusions, magical thinking, and hearing internal voices at some point in their lifetime [1-3].']	(2419, 2677)	FALSE
PMC2889879.nxml.gz	16	['The biological mechanisms underlying the etiology of schizophrenia and psychotic symptoms are largely unknown.']	(2678, 2788)	FALSE
PMC2889879.nxml.gz	17	['Genetic constitution is important [4], but environmental factors like an unhealthy lifestyle with a poor diet may be involved [5,6].']	(2789, 2921)	FALSE
PMC2889879.nxml.gz	18	['Schizophrenia in adulthood is often preceded by milder symptoms and delusions during adolescence.']	(2922, 3019)	FALSE
