PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	Reproductive	JJ	0	12	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	Toxicity	NN	13	21	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	:	:	21	22	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	Too	RB	23	26	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	Much	JJ	27	31	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	of	IN	32	34	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	a	DT	35	36	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	Good	JJ	37	41	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	Thing	NN	42	47	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_0	0	48	?	.	47	48	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	Pregnant	JJ	49	57	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	women	NNS	58	63	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	are	VBP	64	67	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	famously	RB	68	76	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	exhorted	VBN	77	85	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	to	TO	86	88	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	faithfully	RB	89	99	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	take	VB	100	104	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	their	PRP$	105	110	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	daily	JJ	111	116	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	prenatal	NN	117	125	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	vitamins	NNS	126	134	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	,	,	134	135	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	which	WDT	136	141	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	often	RB	142	147	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	contain	VBP	148	155	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	iron	NNS	156	160	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	and	CC	161	164	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	other	JJ	165	170	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	minerals	NNS	171	179	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_1	49	180	.	.	179	180	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	But	CC	181	184	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	new	JJ	185	188	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	research	NN	189	197	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	suggests	VBZ	198	206	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	that	IN	207	211	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	a	DT	212	213	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	weekly	JJ	214	220	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	iron	NN	221	225	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	supplement	NN	226	236	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	coinciding	VBG	237	247	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	with	IN	248	252	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	the	DT	253	256	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	renewal	NN	257	264	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	of	IN	265	267	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	the	DT	268	271	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	small	JJ	272	277	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	intestine	NN	278	287	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	’	NNP	287	288	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	s	NN	288	289	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	mucosal	NN	290	297	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	lining	VBG	298	304	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	cells	NNS	305	310	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	(	(	311	312	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	where	WRB	312	317	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	nutrient	NN	318	326	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	absorption	NN	327	337	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	occurs	VBZ	338	344	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	)	)	344	345	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	works	VBZ	346	351	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	better	RBR	352	358	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	than	IN	359	363	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	a	DT	364	365	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	daily	JJ	366	371	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	supplement	NN	372	382	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	and	CC	383	386	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	prevents	NNS	387	395	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	problems	NNS	396	404	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	resulting	VBG	405	414	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	from	IN	415	419	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	too	RB	420	423	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	much	JJ	424	428	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	iron	NN	429	433	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	at	IN	434	436	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	the	DT	437	440	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	wrong	JJ	441	446	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	times	NNS	447	452	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_2	181	453	.	.	452	453	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	Maternal	NNP	454	462	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	iron	NN	463	467	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	deficiency	NN	468	478	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	and	CC	479	482	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	anemia	NN	483	489	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	early	RB	490	495	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	in	IN	496	498	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	gestation	NN	499	508	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	can	MD	509	512	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	result	VB	513	519	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	in	IN	520	522	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	premature	NN	523	532	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	birth	NN	533	538	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	and	CC	539	542	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	low	JJ	543	546	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	birth	NN	547	552	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	weight	NN	553	559	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_3	454	560	.	.	559	560	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	These	DT	561	566	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	,	,	566	567	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	in	IN	568	570	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	turn	NN	571	575	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	,	,	575	576	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	can	MD	577	580	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	trigger	VB	581	588	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	further	JJ	589	596	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	problems	NNS	597	605	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	ranging	VBG	606	613	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	from	IN	614	618	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	slow	JJ	619	623	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	physical	JJ	624	632	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	growth	NN	633	639	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	and	CC	640	643	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	motor	NN	644	649	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	development	NN	650	661	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	to	TO	662	664	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	impaired	JJ	665	673	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	emotional	JJ	674	683	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	control	NN	684	691	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_4	561	692	.	.	691	692	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	In	IN	693	695	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	severe	JJ	696	702	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	cases	NNS	703	708	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	,	,	708	709	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	both	DT	710	714	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	maternal	JJ	715	723	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	and	CC	724	727	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	fetal	JJ	728	733	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	survival	NN	734	742	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	can	MD	743	746	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	be	VB	747	749	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	threatened	VBN	750	760	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	at	IN	761	763	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	or	CC	764	766	O	None	None	None
PMC1626394.nxml.gz	PMC1626394.nxml.gz_5	693	778	near	IN	767	771	O	None	None	None
