PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC3933411.nxml.gz	0	['Nutritional knowledge as a determinant of vitamin and mineral supplementation during pregnancy\n\nAbstract\n\nBackground\nPregnancy is a critical period for both woman and baby from a nutritional perspective.']	(0, 203)	FALSE
PMC3933411.nxml.gz	1	['Nutritional education is considered an important tool for promoting a healthy lifestyle, but has not been studied as a determinant for maternal use of supplements during pregnancy, especially in Romania, where evidence about pregnancy and nutrition is scarce.']	(204, 463)	FALSE
PMC3933411.nxml.gz	2	['This study aimed to evaluate the relationship between nutritional knowledge and the use of folic acid, iron and multivitamin supplements during pregnancy and to assess the influence of socio-demographic factors and prenatal care.']	(464, 693)	FALSE
PMC3933411.nxml.gz	3	['Methods\nWe conducted a cross-sectional study on a sample of 400 pregnant women admitted to the Cuza-Vodă Obstetrics and Gynaecology Clinical Hospital in Iaşi, Romania, during August-September 2010.']	(695, 892)	FALSE
PMC3933411.nxml.gz	4	['We collected self-reported data regarding socio-demographic characteristics, number of prenatal check-ups and the use of folic acid, iron and multivitamin supplements during pregnancy.']	(893, 1077)	FALSE
PMC3933411.nxml.gz	5	['We assessed nutritional knowledge using a standardized questionnaire divided into three sections: general nutritional recommendations for pregnant women; the roles of nutrients; and sources of nutrients.']	(1078, 1281)	FALSE
PMC3933411.nxml.gz	6	['We used logistic regression to analyse the associations between these factors.']	(1282, 1360)	FALSE
PMC3933411.nxml.gz	7	['Results\nThe prevalence of the use of supplements during pregnancy was 48% for folic acid, 45.3% for iron and 68% for multivitamins.']	(1362, 1493)	FALSE
PMC3933411.nxml.gz	8	['Above-average nutritional knowledge was independently associated with the use of folic acid (aOR, 4.7; 95% CI, 1.6-13.8), iron (aOR, 2.6; 95% CI, 1.2-5.7) and multivitamins (aOR, 2.8; 95% CI, 1.2-6.8).']	(1494, 1695)	FALSE
PMC3933411.nxml.gz	9	['The use of folic acid was independently associated with a higher level of formal education (aOR, 5.2; 95% CI, 2.1-12.8) and an early start in prenatal care (aOR, 3.4; 95% CI, 1.0-11.1).']	(1696, 1881)	FALSE
PMC3933411.nxml.gz	10	['Women with a higher education (aOR, 2.3; 95% CI, 1.1-4.9), more than 10 prenatal visits (aOR, 7.2; 95% CI, 3.4-15.0) and those who received advice on breastfeeding (aOR, 2.0; 95% CI, 1.1-3.5) were more likely to use iron during pregnancy.']	(1882, 2120)	FALSE
PMC3933411.nxml.gz	11	['Similar results were found when analysing the contributing factors for the use of multivitamins: more than 12\xa0years of schooling (aOR, 3.4; 95% CI, 1.4-7.9) and appropriate prenatal care (aOR, 9.4; 95% CI, 4.5-19.5).']	(2121, 2337)	FALSE
PMC3933411.nxml.gz	12	['Conclusions\nLevel of nutritional knowledge has a strong independent association with the use of supplements during pregnancy.']	(2339, 2464)	FALSE
PMC3933411.nxml.gz	13	['Background\nAdequate nutrition during pregnancy is associated with optimal foetal growth [1,2], normal pregnancy duration [3] and a decrease in the risk of congenital abnormalities [4].']	(2466, 2650)	FALSE
PMC3933411.nxml.gz	14	['A lack of vitamins and minerals can adversely influence the newborn’s weight, even if the dietary intake of proteins and energy is adequate [5,6].']	(2651, 2797)	TRUE
PMC3933411.nxml.gz	15	['The results of several meta-analyses reinforce the beneficial role of iron and folic acid supplements during pregnancy in reducing the prevalence of neural tube defects, low-birth weight babies, small for gestational age newborns and maternal anaemia [7-9].']	(2798, 3055)	FALSE
PMC3933411.nxml.gz	16	['Some cross-sectional studies show the same positive results for the use of multivitamins [10], but there is still debate as to whether these are superior to iron and folic acid [11].']	(3056, 3238)	FALSE
PMC3933411.nxml.gz	17	['Anaemia during pregnancy is a public health problem that affects both developed and developing countries and has an impact not only on health providers, but also on the socio-economic environment [12].']	(3239, 3440)	FALSE
PMC3933411.nxml.gz	18	['Prevention strategies for iron deficiency and maternal anaemia include nutritional education, promoting the intake of iron and folic acid supplements, and food fortification [13].']	(3441, 3620)	FALSE
PMC3933411.nxml.gz	19	['Daily use of iron supplements is effective when administered under supervision in clinical interventional trials, but is less so in public health programmes because of difficulty engaging with the target population.']	(3621, 3836)	FALSE
PMC3933411.nxml.gz	20	['Lack of engagement may be a consequence of insufficient involvement of policy makers, issues regarding distribution and costs and difficulties in training the educators, or the beliefs and cultural practices of the target population and the characteristics and side effects of supplements [11,14].']	(3837, 4134)	FALSE
PMC3933411.nxml.gz	21	['In Romania, a study conducted by the Alfred Rusescu Institute of Mother’s and Child’s Care (IOMC), found that the use of iron supplements during pregnancy in Romania only reduced the incidence of anaemia at birth by 5% even when iron supplements were provided free of charge under reimbursement arrangements from 16\xa0weeks of gestation, and treatment was supervised by primary care physicians [14].']	(4135, 4532)	FALSE
PMC3933411.nxml.gz	22	['Several studies emphasize the importance of the relationship between iron, folic acid or multivitamin intake and socio-demographic factors such as age, level of education, area of residence, marital status, parity, economical status and characteristics of prenatal care (including gestational age at the beginning of prenatal care and the number of prenatal consultations) [15-19].']	(4533, 4914)	FALSE
PMC3933411.nxml.gz	23	['More frequent use of supplements during pregnancy was found to be associated with a higher socio-economic status, higher level of education and use of prenatal medical services in studies conducted in Finland [15], the United Kingdom [16], the United States of America [17], Denmark [18] and Tanzania [19].']	(4915, 5221)	FALSE
PMC3933411.nxml.gz	24	['One study conducted in Poland concluded that the level of nutritional knowledge of pregnant women regarding mineral and vitamins was insufficient, without focusing on the relationship with their intake [20].']	(5222, 5429)	FALSE
PMC3933411.nxml.gz	25	['Another study showed that a higher level of nutritional knowledge was associated with vitamin/mineral supplementation use [21].']	(5430, 5557)	FALSE
PMC3933411.nxml.gz	26	['In Romania it is not clear whether there is a relationship between socio-demographic factors or the level of nutritional knowledge and the use of iron, folic acid and multivitamins in pregnancy.']	(5558, 5752)	FALSE
PMC3933411.nxml.gz	27	['The aim of this study was to assess the determinants of the use of folic acid, iron and multivitamins supplements by expectant mothers in Romania, in terms of nutritional knowledge evaluated by a structured questionnaire, socio-demographic factors and engagement with prenatal care.']	(5753, 6035)	FALSE
PMC3933411.nxml.gz	28	['Methods\n\nDesign and study population\nWe conducted a cross-sectional study during August and September 2010 on a sample of 400 consecutive women who had given birth in a regional specialist obstetric centre, the Cuza-Vodă Clinical Hospital in Iaşi, Romania.']	(6037, 6293)	FALSE
PMC3933411.nxml.gz	29	['We invited women aged between 15 and 49\xa0years, resident in Iaşi county, with singleton pregnancies to participate in the study within 48–72\xa0hours of giving birth.']	(6294, 6456)	FALSE
PMC3933411.nxml.gz	30	['We excluded stillbirths, those who declined to participate, those with obstetric pathology, or psychiatric, cognitive or other disease that might adversely affect understanding of the study objectives or the ability to provide accurate information.']	(6457, 6705)	FALSE
PMC3933411.nxml.gz	31	['Those who did not complete the interview were recorded as having refused to participate and were taken into account when calculating the refusal rate, but excluded from the final analysis.']	(6706, 6894)	FALSE
PMC3933411.nxml.gz	32	['Sample size calculation was undertaken using the single proportion formula [22].']	(6895, 6975)	FALSE
