PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	ONTOLOGY_CONCEPT_IDS_LIST
PMC5240907.nxml.gz	0	['Birth Weight and Its Relationship with the Cardiac Autonomic Balance in Healthy Children\n\nAbstract\nSeveral studies indicate that the fetal environment plays a significant role in the development of cardiometabolic disease later in life.']	(0, 236)	['several_studies', 'several_studies', 'indicate', 'relationship', 'role']
PMC5240907.nxml.gz	1	['However, a few studies present conflicting data about the correlation between birth weight and the impairment of cardiac autonomic modulation.']	(237, 379)	['few_studies', 'few_studies', 'correlation', 'however', 'conflicting']
PMC5240907.nxml.gz	2	['The purpose of the present study was to provide further knowledge to elucidate this contradictory relationship.']	(380, 491)	['further', 'relationship', 'contradictory', 'purpose', 'present_study', 'present_study']
PMC5240907.nxml.gz	3	['One hundred children aged 5 and 14 years had anthropometric parameters, body composition and blood pressure levels determined.']	(492, 618)	[]
PMC5240907.nxml.gz	4	['Heart rate variability (HRV) was evaluated by heart rate monitoring, including measurements of both the time and frequency domains.']	(619, 750)	[]
PMC5240907.nxml.gz	5	['The results showed inverse correlation between the HRV parameters with BMI (RMSSD: P = 0.047; PNN50: P = 0.021; HF: P = 0.041), systolic (RMSSD: P = 0.023; PNN50: P = 0.032) and diastolic (PNN50: P = 0.030) blood pressure levels.']	(751, 980)	['showed', 'correlation']
PMC5240907.nxml.gz	6	['On the other hand, there were consistent positive correlations between the HRV parameters and birth weight (RMSSD: P = 0.001; PNN50: P = 0.001; HF: P = 0.002).']	(981, 1140)	['superficial_relationship', 'correlations', 'anomaly_curious_finding', 'anomaly_curious_finding', 'anomaly_curious_finding', 'anomaly_curious_finding']
PMC5240907.nxml.gz	7	['To determine the effect of birth weight on HRV parameters, we perform multivariate linear regression analysis adjusted for potentially confounding factors (prematurity, gender, age, BMI, physical activity index and SBP levels).']	(1141, 1368)	['potentially', 'effect', 'confounding_factors', 'confounding_factors', 'to_determine', 'to_determine']
PMC5240907.nxml.gz	8	['These findings were preserved even after adjusting for these confounders.']	(1369, 1442)	['these_findings', 'these_findings', 'superficial_relationship', 'even', 'confounders']
PMC5240907.nxml.gz	9	['Our results suggested that impaired cardiac autonomic modulation characterized by a reduction in the parasympathetic activity occurs in children with low birth weight.']	(1443, 1610)	['suggested']
PMC5240907.nxml.gz	10	['One possible interpretation for these data is that a vagal withdrawal, rather than a sympathetic overactivity, could precede the development of hypertension and other cardiometabolic diseases in children with low birth weight.']	(1611, 1837)	['possible', 'probable_understanding', 'future_prediction', 'rather']
PMC5240907.nxml.gz	11	['However, long-term studies should be performed to investigate this possibility.']	(1838, 1917)	['this_possibility', 'this_possibility', 'long-term_studies', 'long-term_studies', 'long-term_studies', 'long-term_studies', 'should_be', 'should_be', 'however']
PMC5240907.nxml.gz	12	['Introduction\nBirth weight has been considered an important measure for assessing fetal growth and is an indicator of neonatal morbidity, survival, and development in children [1–3].']	(1919, 2100)	['has...been', 'has...been', 'incomplete_evidence', 'indicator', 'important']
PMC5240907.nxml.gz	13	['It is clear that the processes arising during fetal development can influence health later in life.']	(2101, 2200)	['can', 'it_is_clear', 'it_is_clear', 'it_is_clear', 'influence']
PMC5240907.nxml.gz	14	['In fact, adaptations of the fetus to the inadequate intrauterine environment promote alterations in tissue development and function and can result in increased susceptibility to chronic diseases in adulthood [4,5].']	(2201, 2415)	['can', 'important_consideration', 'increased_susceptibility', 'increased_susceptibility', 'in_fact', 'in_fact']
PMC5240907.nxml.gz	15	['It is known that the two ends of the birth weight spectrum, low and high birth weight, are associated with an increased risk of cardiovascular events in childhood [6–8] and adult life [9,10].']	(2416, 2607)	['it_is_known', 'it_is_known', 'it_is_known', 'associated', 'increased_risk', 'increased_risk']
PMC5240907.nxml.gz	16	['Previous studies have demonstrated that those born with low or high birth weight have impairment of the arterial vascular system with modifications in both functional (e.g., endothelium dysfunction, reduction in nitric oxide production) and structural/mechanical (e.g., higher arterial intima-media thickness, elastin synthesis deficiency, increased arterial stiffness) properties [8,9,11–14].']	(2608, 3001)	['previous...studies', 'previous...studies', 'demonstrated']
PMC5240907.nxml.gz	17	['However, it should also be considered that the high incidence of cardiovascular disorders could be due to alterations in autonomic control.']	(3002, 3141)	['probable_understanding', 'probable_understanding', 'future_work', 'future_work', 'future_prediction', 'future_prediction', 'important_consideration', 'however']
PMC5240907.nxml.gz	18	['Exposure to an adverse intrauterine environment during sensitive periods of fetal development produces long-term alterations in the autonomic nervous system (ANS) [15,16,17].']	(3142, 3316)	[]
PMC5240907.nxml.gz	19	['An increasing body of evidence suggests that low birth weight is correlated with alterations in autonomic responses [15–20].']	(3317, 3441)	['increasing...evidence', 'increasing...evidence', 'suggests', 'correlated']
PMC5240907.nxml.gz	20	['Weitz et al.']	(3442, 3454)	[]
PMC5240907.nxml.gz	21	['[19] found that individuals born with very low birth weight have lower sympathetic nerve activity under resting conditions.']	(3455, 3578)	['found']
PMC5240907.nxml.gz	22	['Meanwhile, Jones et al.']	(3579, 3602)	[]
PMC5240907.nxml.gz	23	['[20] report autonomic dysfunction in adults with low birth weight, characterized by increased sympathetic activity and reduced parasympathetic activity and baroreflex sensitivity.']	(3603, 3782)	['incomplete_evidence']
PMC5240907.nxml.gz	24	['Although some studies have found evidence of a correlation between low birth weight and autonomic dysfunction, the results remain inconclusive.']	(3783, 3926)	['some_studies', 'some_studies', 'found_evidence', 'found_evidence', 'remain', 'correlation', 'alternative_options_controversy', 'inconclusive']
PMC5240907.nxml.gz	25	['Thus, the purpose of this study was to conduct a cross-sectional study of children stratified by birth weight quartiles to identify alterations in autonomic function through the analysis of heart rate variability (HRV).']	(3927, 4146)	['thus', 'purpose', 'this_study', 'this_study', 'to...identify', 'to...identify']
PMC5240907.nxml.gz	26	['Materials and Methods\nThis study was a cross-sectional survey conducted in a representative group of children identified in the Youth Healthcare Centre located near the Federal University of São Paulo (UNIFESP, São Paulo, SP, Brazil).']	(4148, 4382)	[]
PMC5240907.nxml.gz	27	['A total of 100 children were identified during the study period.']	(4383, 4447)	[]
PMC5240907.nxml.gz	28	['No child had any clinical signs of endocrine, renal or cardiovascular disease.']	(4448, 4526)	[]
PMC5240907.nxml.gz	29	['Personal and family medical histories were obtained using a questionnaire completed during an interview with the parents.']	(4527, 4648)	[]
PMC5240907.nxml.gz	30	['The prenatal data from the mother’s recall was confirmed with medical records.']	(4649, 4727)	[]
PMC5240907.nxml.gz	31	['The Ethics Committee of the Federal University of São Paulo approved the study protocol (Number: 214.956).']	(4728, 4834)	[]
PMC5240907.nxml.gz	32	['All parents and children signed written informed consent/assent forms.']	(4835, 4905)	[]
PMC5240907.nxml.gz	33	['All children were evaluated twice on different days.']	(4906, 4958)	[]
PMC5240907.nxml.gz	34	['On the first day, the Baecke questionnaire was administered and body composition was assessed.']	(4959, 5053)	[]
PMC5240907.nxml.gz	35	['On the second day, anthropometric measures, blood pressure, and HRV were evaluated.']	(5054, 5137)	[]
PMC5240907.nxml.gz	36	['All procedures were conducted in a quiet room with minimum disturbance between 9:00 and 11:00 am.']	(5138, 5235)	[]
PMC5240907.nxml.gz	37	['All participants sat still for at least 5 minutes to assess blood pressure and heart rate at rest.']	(5236, 5334)	[]
PMC5240907.nxml.gz	38	['All measurements were made by the same trained researcher who was blinded to the clinical data.']	(5335, 5430)	[]
PMC5240907.nxml.gz	39	['Physical Activity Level\nThe physical activity level was evaluated by the total score obtained with the Habitual Physical Activity Questionnaire proposed by Baecke et al.']	(5432, 5601)	[]
PMC5240907.nxml.gz	40	['[21] and validated in a young adolescent population [22].']	(5602, 5659)	[]
PMC5240907.nxml.gz	41	['Anthropometry\nBody weight and height were measured in light clothing without shoes using a standard balance beam scale.']	(5661, 5780)	[]
PMC5240907.nxml.gz	42	['Waist and hip circumferences were measured using inextensible tape.']	(5781, 5848)	[]
PMC5240907.nxml.gz	43	['Waist circumference (WC) was recorded at a level midway between the lower rib margin and the iliac crest at the end of normal expiration.']	(5849, 5986)	[]
PMC5240907.nxml.gz	44	['Hip circumference (HP) was measured at the maximum circumference of the buttocks.']	(5987, 6068)	[]
PMC5240907.nxml.gz	45	['For both measurements, the tape was positioned at a level parallel to the floor, and the waist-to-hip ratio was calculated.']	(6069, 6192)	[]
PMC5240907.nxml.gz	46	['Body mass index (BMI) was computed using the formula weight (kg)/height (m2).']	(6193, 6270)	[]
PMC5240907.nxml.gz	47	['Children were classified as overweight (+1 SDS) or obese (+2 SDS) according to BMI-for-age following the cut-off parameters of the WHO growth standards [23].']	(6271, 6428)	['probable_understanding', 'probable_understanding']
PMC5240907.nxml.gz	48	['Body Composition\nBody composition was evaluated using bioelectrical impedance (BIA) with a single-frequency hand-to-foot (ImpediMed DF50 monitor, Impedimed, Australia) [24].']	(6430, 6603)	[]
PMC5240907.nxml.gz	49	['Children were asked to avoid physical activity and to consume liquids 2 hours before evaluation to prevent errors in measurement due to fluid imbalances.']	(6604, 6757)	[]
PMC5240907.nxml.gz	50	['This evaluation was performed after 5 minutes of rest in the supine position, and the electrodes were applied to the hand, wrist, ankle and foot of the right-hand side of the body.']	(6758, 6938)	[]
PMC5240907.nxml.gz	51	['Body fat (%BF) was calculated from BIA data with prediction equations [25].']	(6939, 7014)	[]
PMC5240907.nxml.gz	52	['Hemodynamic Variables and Heart Rate Variability (HRV)\nBlood pressure (BP) levels were measured twice in the right arm with the child in a seated position using an automated oscillometric device (Omron HEM907XL; Omron Healthcare; USA) with an appropriate cuff size.']	(7016, 7281)	[]
PMC5240907.nxml.gz	53	['The blood pressure value was the average of three measurements made at 2-min intervals [26].']	(7282, 7374)	[]
PMC5240907.nxml.gz	54	['After this procedure, children were asked to lay silently in a supine position on a bed with minimal body movement and to maintain spontaneous breathing for 10 minutes to record both resting heart rate and short-term HRV using a Polar S810i monitor (Polar Electro OY, Finland; sampling rate = 100Hz) [27,28].']	(7375, 7683)	[]
PMC5240907.nxml.gz	55	['The same researcher blinded to the clinical data conducted the assessment of all children.']	(7684, 7774)	[]
PMC5240907.nxml.gz	56	['To minimize the effect of stress during HRV assessment, we conducted a pilot project two months prior to begin the current study.']	(7775, 7904)	[]
PMC5240907.nxml.gz	57	['Processing of the HRV Data\nThe HRV indices were calculated as previously described [27,28].']	(7906, 7997)	[]
PMC5240907.nxml.gz	58	['Briefly, normal beat to beat intervals (RR) were transferred from Polar S810i to Precision Performance Software by an infrared interface device.']	(7998, 8142)	[]
PMC5240907.nxml.gz	59	['These data were processed in a specific previous routine designed in MatLab (Math Works, 6.0 version, USA) for the automatic selection of 5 minutes RR with the smallest variance [29].']	(8143, 8326)	[]
PMC5240907.nxml.gz	60	['Afterwards, these time series lasting 5 minutes were analyzed in Kubios software (Biosignal Analysis and Medical Image Group, University of Kuopio, Finland).']	(8327, 8484)	[]
PMC5240907.nxml.gz	61	['In this software, the artifacts were corrected with a moderated filter, and the time-domain components were calculated.']	(8485, 8604)	[]
PMC5240907.nxml.gz	62	['The following time-domain indices were analyzed: heart rate (HR), MNN (average of all normal RR interval), SDNN (standard deviation of RR intervals), RMSSD (root mean square of successive differences RR intervals), and pNN50 (percent RR intervals with a difference in duration higher than 50 ms).']	(8605, 8901)	[]
PMC5240907.nxml.gz	63	['The frequency-domain components were also evaluated by a 2 power spectrum.']	(8902, 8976)	[]
PMC5240907.nxml.gz	64	['The classical frequency low frequency (LF = 0.041–0.15 Hz) and high frequency (HF = 0.15–0.40 Hz) bands were expressed in normalized units (n.u.).']	(8977, 9123)	[]
PMC5240907.nxml.gz	65	['Moreover, the ratio of LF/HF was also calculated.']	(9124, 9173)	[]
PMC5240907.nxml.gz	66	['Spectral analysis was estimated as recommended using the non-parametric method of fast Fourier Transform Algorithms [28,29].']	(9174, 9298)	[]
PMC5240907.nxml.gz	67	['Statistical Analysis\nStatistical analyses were conducted using SPSS version 21.0 for Windows (IBM Corporation, USA).']	(9300, 9416)	[]
PMC5240907.nxml.gz	68	['All continuous variables were examined for normality with the Shapiro-Wilk test and expressed as the mean ± Standard Deviation (SD).']	(9417, 9549)	[]
PMC5240907.nxml.gz	69	['Categorical variables were expressed as percentage.']	(9550, 9601)	[]
PMC5240907.nxml.gz	70	['Pearson’s correlation and multiple linear regression analyses were performed to verify the relationship between HRV parameters and independent factors.']	(9602, 9753)	[]
PMC5240907.nxml.gz	71	['Multicollinearity was evaluated using variance inflation factor (VIF) and significance level was set at P<0.05.']	(9754, 9865)	[]
PMC5240907.nxml.gz	72	['Results\nThe present study was conducted on 100 children (63 boys and 37 girls) with a mean age of 8.85 years (Range: 6–14; SD = 1.82 years).']	(9867, 10007)	[]
PMC5240907.nxml.gz	73	['The mean BW was 3008 g (Range: 1400 to 4590; SD = 605 g) with birth length 47.1 cm (Range: 39.0–53.0; SD = 3.28 cm).']	(10008, 10124)	[]
PMC5240907.nxml.gz	74	['For entire cohort, we found a positive correlation between BW and birth length ( r = 0.603, P< 0.001).']	(10125, 10227)	['found', 'correlation']
PMC5240907.nxml.gz	75	['Preterm delivery occurred in ten pregnancies.']	(10228, 10273)	[]
PMC5240907.nxml.gz	76	['We also found that 33% of children have excess weight and 16% of them were already obese.']	(10274, 10363)	['found']
PMC5240907.nxml.gz	77	['General characteristics of the children are listed inTable 1.10.1371/journal.pone.0167328.t001\n\nCaption (TABLE-WRAP): TABLE 1\nGeneral Characteristics and Linear Index Values of Heart Rate Variability (Time and Frequency Domain) in the Study Population (n = 100).General CharacteristicsBirth Weight (g)3008 ± 605Birth Length (cm)47.3 ± 3.29Prematurity (%)Yes10No90Age (Years)8.85 ± 1.82Gender (%)Female37Male63Weight (kg)34.83 ± 13.52Height (cm)135.83 ± 11.93BMI (kg/m2)18.59 ± 4.60WC (cm)60.55 ± 9.55HC (cm)71.99 ± 12.43BF (%)25.78 ± 6.77Nutritional Status (%)Normal67Overweight17Obesity16Physical Activity Index8.18 ± 1.14SBP (mmHg)100 ± 7.50DBP (mmHg)66 ± 4.20 Time Domain HR (bpm)83.89 ± 8.12MNN (ms)708.65 ± 85.60SDNN (ms)48.98 ± 20.00RMSSD (ms)51.45 ±20.64PNN50 (%)39.88 ± 12.95 Frequency Domain LF (n.u.']	(10364, 11173)	[]
PMC5240907.nxml.gz	78	[')52.50 ± 14.25HF (n.u.']	(11173, 11195)	[]
PMC5240907.nxml.gz	79	[')45.02 ± 13.32LF/HF Ratio1.37 ± 0.87\nValues expressed as percentage or mean ± SD.']	(11195, 11276)	[]
PMC5240907.nxml.gz	80	['BMI—Body Mass Index; WC—Waist Circumference; HP—Hip Circumference; BF—Body Fat; SBP—Systolic Blood Pressure; DBP—Diastolic Blood; HR—Heart Rate; SDNN—Standard Deviation Normal-to-Normal Intervals; RMSSD—Root Mean Square of Successive Differences; pNN50—Percentage of Differences Between Adjacent Normal-to-Normal Intervals that is Greater than 50 Milliseconds; LF (n.u.']	(11277, 11646)	[]
PMC5240907.nxml.gz	81	[')—Low Frequency in Normalized Units; HF (n.u.']	(11646, 11691)	[]
