ONTOLOGY	TOTAL_SENTENCE_COUNT	TOTAL_SENTENCE_DISCONTINUOUS_COUNT	TOTAL_DISCONTINUOUS_WORDS	PERCENT_DISCONTINUOUS_SENTENCES	TOTAL_OTHER_DISCONTINUOUS_COUNT	TOTAL_OVERLAP_COUNT	TOTAL_WORD_COUNT	TOTAL_WORD_CONCEPT_COUNT
full_unknown	12055	35	69	0.00	41	3	416866	607
explicit_question	12055	0	0	0.00	0	0	416866	183
incomplete_evidence	12055	143	257	0.01	165	18	416866	8783
probable_understanding	12055	6	21	0.00	7	2	416866	2002
superficial_relationship	12055	4	77	0.00	5	6	416866	4050
future_work	12055	31	67	0.00	51	17	416866	1471
future_prediction	12055	0	0	0.00	0	0	416866	451
important_consideration	12055	6	8	0.00	7	7	416866	2157
anomaly_curious_finding	12055	19	125	0.00	35	0	416866	1250
alternative_options_controversy	12055	60	420	0.00	74	0	416866	1884
difficult_task	12055	12	13	0.00	17	0	416866	430
problem_complication	12055	5	9	0.00	5	0	416866	677
question_answered_by_this_work	12055	15	36	0.00	17	6	416866	1017
