	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Pre	NNP	0	3	['O']	[None]	[None]	[None]
1	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	-	:	3	4	['O']	[None]	[None]	[None]
2	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	and	CC	5	8	['O']	[None]	[None]	[None]
3	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Postnatal	NNP	9	18	['O']	[None]	[None]	[None]
4	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Nutritional	NNP	19	30	['O']	[None]	[None]	[None]
5	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Histories	NNP	31	40	['O']	[None]	[None]	[None]
6	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Influence	NNP	41	50	['O']	[None]	[None]	[None]
7	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Reproductive	NNP	51	63	['O']	[None]	[None]	[None]
8	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Maturation	NNP	64	74	['O']	[None]	[None]	[None]
9	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	and	CC	75	78	['O']	[None]	[None]	[None]
10	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Ovarian	JJ	79	86	['O']	[None]	[None]	[None]
11	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Function	NNP	87	95	['O']	[None]	[None]	[None]
12	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	in	IN	96	98	['O']	[None]	[None]	[None]
13	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	the	DT	99	102	['O']	[None]	[None]	[None]
14	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Rat	NNP	103	106	['O']	[None]	[None]	[None]
15	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Abstract	NNP	108	116	['O']	[None]	[None]	[None]
16	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	Background	NNP	118	128	['O']	[None]	[None]	[None]
17	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	While	IN	129	134	['O']	[None]	[None]	[None]
18	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	prepubertal	JJ	135	146	['O']	[None]	[None]	[None]
19	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	nutritional	JJ	147	158	['O']	[None]	[None]	[None]
20	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	influences	NNS	159	169	['O']	[None]	[None]	[None]
21	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	appear	VBP	170	176	['O']	[None]	[None]	[None]
22	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	to	TO	177	179	['O']	[None]	[None]	[None]
23	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	play	VB	180	184	['O']	[None]	[None]	[None]
24	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	a	DT	185	186	['O']	[None]	[None]	[None]
25	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	role	NN	187	191	['O']	[None]	[None]	[None]
26	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	in	IN	192	194	['O']	[None]	[None]	[None]
27	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	sexual	JJ	195	201	['O']	[None]	[None]	[None]
28	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	maturation	NN	202	212	['O']	[None]	[None]	[None]
29	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	,	,	212	213	['O']	[None]	[None]	[None]
30	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	there	EX	214	219	['O']	[None]	[None]	[None]
31	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	is	VBZ	220	222	['O']	[None]	[None]	[None]
32	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	a	DT	223	224	['O']	[None]	[None]	[None]
33	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	need	NN	225	229	['O']	[None]	[None]	[None]
34	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	to	TO	230	232	['O']	[None]	[None]	[None]
35	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	clarify	VB	233	240	['O']	[None]	[None]	[None]
36	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	the	DT	241	244	['O']	[None]	[None]	[None]
37	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	potential	JJ	245	254	['O']	[None]	[None]	[None]
38	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	contributions	NNS	255	268	['O']	[None]	[None]	[None]
39	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	of	IN	269	271	['O']	[None]	[None]	[None]
40	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	maternal	JJ	272	280	['O']	[None]	[None]	[None]
41	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	and	CC	281	284	['O']	[None]	[None]	[None]
42	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	childhood	JJ	285	294	['O']	[None]	[None]	[None]
43	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	influences	NNS	295	305	['O']	[None]	[None]	[None]
44	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	in	IN	306	308	['O']	[None]	[None]	[None]
45	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	setting	VBG	309	316	['O']	[None]	[None]	[None]
46	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	the	DT	317	320	['O']	[None]	[None]	[None]
47	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	tempo	NN	321	326	['O']	[None]	[None]	[None]
48	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	of	IN	327	329	['O']	[None]	[None]	[None]
49	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	reproductive	JJ	330	342	['O']	[None]	[None]	[None]
50	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	maturation	NN	343	353	['O']	[None]	[None]	[None]
51	PMC2727050.nxml.gz	PMC2727050.nxml.gz_0	0	354	.	.	353	354	['O']	[None]	[None]	[None]
52	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	In	IN	355	357	['O']	[None]	[None]	[None]
53	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	the	DT	358	361	['O']	[None]	[None]	[None]
54	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	present	JJ	362	369	['O']	[None]	[None]	[None]
55	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	study	NN	370	375	['O']	[None]	[None]	[None]
56	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	we	PRP	376	378	['O']	[None]	[None]	[None]
57	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	employed	VBD	379	387	['O']	[None]	[None]	[None]
58	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	an	DT	388	390	['O']	[None]	[None]	[None]
59	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	established	VBN	391	402	['O']	[None]	[None]	[None]
60	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	model	NN	403	408	['O']	[None]	[None]	[None]
61	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	of	IN	409	411	['O']	[None]	[None]	[None]
62	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	nutritional	JJ	412	423	['O']	[None]	[None]	[None]
63	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	programming	NN	424	435	['O']	[None]	[None]	[None]
64	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	to	TO	436	438	['O']	[None]	[None]	[None]
65	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	evaluate	VB	439	447	['O']	[None]	[None]	[None]
66	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	the	DT	448	451	['O']	[None]	[None]	[None]
67	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	relative	JJ	452	460	['O']	[None]	[None]	[None]
68	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	influences	NNS	461	471	['O']	[None]	[None]	[None]
69	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	of	IN	472	474	['O']	[None]	[None]	[None]
70	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	prenatal	NN	475	483	['O']	[None]	[None]	[None]
71	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	and	CC	484	487	['O']	[None]	[None]	[None]
72	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	postnatal	JJ	488	497	['O']	[None]	[None]	[None]
73	PMC2727050.nxml.gz	PMC2727050.nxml.gz_1	355	559	nutrition	NN	498	507	['O']	[None]	[None]	[None]
