	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	The	DT	0	3	['O']	[None]	[None]	[None]
1	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	management	NN	4	14	['O']	[None]	[None]	[None]
2	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	of	IN	15	17	['O']	[None]	[None]	[None]
3	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	gestational	JJ	18	29	['O']	[None]	[None]	[None]
4	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	diabetes	NNS	30	38	['O']	[None]	[None]	[None]
5	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	Abstract	VBP	40	48	['O']	[None]	[None]	[None]
6	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	The	DT	49	52	['O']	[None]	[None]	[None]
7	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	incidence	NN	53	62	['O']	[None]	[None]	[None]
8	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	of	IN	63	65	['O']	[None]	[None]	[None]
9	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	gestational	JJ	66	77	['O']	[None]	[None]	[None]
10	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	diabetes	NNS	78	86	['O']	[None]	[None]	[None]
11	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	is	VBZ	87	89	['O']	[None]	[None]	[None]
12	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	increasing	VBG	90	100	['O']	[None]	[None]	[None]
13	PMC2672462.nxml.gz	PMC2672462.nxml.gz_0	0	101	.	.	100	101	['O']	[None]	[None]	[None]
14	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	As	IN	102	104	['O']	[None]	[None]	[None]
15	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	gestational	JJ	105	116	['O']	[None]	[None]	[None]
16	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	diabetes	NNS	117	125	['O']	[None]	[None]	[None]
17	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	is	VBZ	126	128	['O']	[None]	[None]	[None]
18	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	associated	VBN	129	139	['O']	[None]	[None]	[None]
19	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	with	IN	140	144	['O']	[None]	[None]	[None]
20	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	adverse	JJ	145	152	['O']	[None]	[None]	[None]
21	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	pregnancy	NN	153	162	['O']	[None]	[None]	[None]
22	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	outcomes	NNS	163	171	['O']	[None]	[None]	[None]
23	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	,	,	171	172	['O']	[None]	[None]	[None]
24	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	and	CC	173	176	['O']	[None]	[None]	[None]
25	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	has	VBZ	177	180	['O']	[None]	[None]	[None]
26	PMC2672462.nxml.gz	PMC2672462.nxml.gz_1	102	295	long	RB	181	185	['O']	[None]	[None]	[None]
