ANN										
	train+teat					evaluation				
	acc	f1 score	recall	pression	count	acc	f1 score	recall	pression	count
SUPERFICIAL RELATIONSHIP	0.86	0.86	0.87	0.86	1965	0.77	0.78	0.78	0.77	1072
QUESTION ANSWERED BY THIS WORK	0.99	0.66	0.52	0.9	479	0.49	0.34	0.26	0.48	168
PROBLEM COMPLICATION	0.53	0.68	1	0.51	324	0.5	0.66	0.99	0.5	202
PROBABLE UNDERSTANDING	0.85	0.86	0.92	0.81	523	0.5	0.5	0.5	0.5	312
INCOMPLETE EVIDENCE	0.89	0.9	0.99	0.82	1582	0.71	0.83	0.92	0.75	225
IMPORTANT CONSIDERATION	0.79	0.75	0.63	0.93	735	0.49	0.61	0.8	0.5	491
FUTURE WORK	0.85	0.85	0.87	0.83	869	0.55	0.59	0.65	0.54	195
FUTURE PREDICTION	0.94	0.93	0.9	0.97	178	0.55	0.48	0.42	0.56	55
FULL UNKNOWN	0.77	0.87	0.77	1	347	0.68	0.73	0.87	0.63	63
EXPLICIT QUESTION	0.95	0.95	0.9	0.99	524	0.08	0.15	0.08	1	92
DIFFICULT TASK	0.99	0.88	0.78	0.99	342	0.5	0	0	0	93
ANOMALY CURIOUS FINDING	0.99	0.92	0.87	0.98	479	0.5	0.02	0.01	0.4	149
ALTERNATIVE OPTIONS CONTROVERSY	0.98	0.97	0.98	0.97	942	0.52	0.47	0.43	0.52	441
ALL CATEGORIES BINARY	0.99	0.99	0.99	0.98	3354	0.82	0.85	0.88	0.82	2005
