BioBERT										
	train+teat					evaluation				
	acc	f1 score	recall	pression	count	acc	f1 score	recall	pression	count
SUPERFICIAL RELATIONSHIP	0.79	0.88	0.79	1	1965	0.7	0.82	0.7	1	1072
QUESTION ANSWERED BY THIS WORK	0.86	0.93	0.86	1	479	0.43	0.61	0.43	1	168
PROBLEM COMPLICATION	0.69	0.82	0.69	1	324	0.82	0.9	0.8	1	202
PROBABLE UNDERSTANDING	0.75	0.86	0.75	1	523	0.57	0.73	0.57	1	312
INCOMPLETE EVIDENCE	0.94	0.97	0.94	1	1582	0.49	0.66	0.49	1	225
IMPORTANT CONSIDERATION	0.99	1	0.99	1	735	1	1	1	1	491
FUTURE WORK	0.71	0.83	0.71	1	869	0.74	0.85	0.74	1	195
FUTURE PREDICTION	0.97	0.88	0.97	1	178	0.6	0.75	0.6	1	55
FULL UNKNOWN	0.97	0.88	0.97	1	347	0.78	0.88	0.78	1	63
EXPLICIT QUESTION	0.99	0.99	0.99	1	524	0.83	0.9	0.83	1	92
DIFFICULT TASK	0.83	0.91	0.83	1	342	0.87	0.93	0.87	1	93
ANOMALY CURIOUS FINDING	0.74	0.85	0.74	1	479	0.72	0.84	0.72	1	149
ALTERNATIVE OPTIONS CONTROVERSY	0.85	0.92	0.85	1	942	0.65	0.79	0.65	1	441
ALL CATEGORIES BINARY	0.98	0.99	0.98	1	3354	0.91	0.95	0.91	1	2005
