Another	O
key	O
factor	O
may	O
be	O
the	O
use	O
of	O
any	O
prenatal	O
,	O
prescription	O
medication	O
[	O
4	O
–	O
6	O
].	O

Maternal	O
25	O
(	O
OH	O
)	O
D	O
throughout	O
pregnancy	O
was	O
calculated	O
using	O
the	O
area	O
under	O
the	O
curve	O
of	O
25	O
(	O
OH	O
)	O
D	O
concentration	O
values	O
from	O
pregnancy	O
visits	O
3	O
–	O
7	O
.	O

As	O
was	O
recently	O
pointed	O
out	O
in	O
a	O
Cochrane	O
review	O
,	O
the	O
topic	O
of	O
maternal	O
vitamin	O
D	O
requirements	O
during	O
pregnancy	O
has	O
been	O
poorly	O
studied	O
.	O

Caption	O
(	O
TABLE	O
-	O
WRAP	O
):	O
TABLE	O
2	O
25	O
(	O
OH	O
)	O
D	O
,	O
Calcium	O
,	O
Albumin	O
,	O
and	O
PTH	O
status	O
by	O
S	O
-	O
ECC	O
and	O
caries	O
-	O
free	O
groupVariableOverall	O
valueCaries	O
statusP	O
valueS	O
-	O
ECCCaries	O
-	O
FreeN	O
(%)	O
95	O
%	O
CIN	O
(%)	O
95	O
%	O
CI25	O
(	O
OH	O
)	O
D	O
status	O
Mean	O
(	O
nmol	O
/	O
L	O
)†	O
75	O
.	O
4	O
±	O
30	O
.	O
268	O
.	O
9	O
±	O
27	O
.	O
9	O
/	O
82	O
.	O
9	O
±	O
31	O
.	O
1	O
/	O
<	O
0	O
.	O
001Optimal	O
*	O
(≥	O
75	O
nmol	O
/	O
L	O
)	O
Yes12556	O
(	O
44	O
.	O
8	O
)	O
36	O
.	O
1	O
,	O
53	O
.	O
569	O
(	O
55	O
.	O
2	O
)	O
46	O
.	O
0	O
,	O
64	O
.	O
00	O
.	O
006No13684	O
(	O
61	O
.	O
8	O
)	O
53	O
.	O
6	O
,	O
69	O
.	O
952	O
(	O
38	O
.	O
2	O
)	O
30	O
.	O
1	O
,	O
46	O
.	O
4	O
Adequate	O
*	O
(≥	O
50	O
nmol	O
/	O
L	O
)	O
Yes218111	O
(	O
50	O
.	O
9	O
)	O
44	O
.	O
3	O
,	O
57	O
.	O
6107	O
(	O
49	O
.	O
1	O
)	O
42	O
.	O
4	O
,	O
55	O
.	O
70	O
.	O
05No4329	O
(	O
67	O
.	O
4	O
)	O
53	O
.	O
4	O
,	O
81	O
.	O
414	O
(	O
32	O
.	O
6	O
)	O
18	O
.	O
6	O
,	O
46	O
.	O
6	O
Deficient	O
*	O
(<	O
35	O
nmol	O
/	O
L	O
)	O
Yes1612	O
(	O
75	O
.	O
0	O
)	O
53	O
.	O
8	O
,	O
96	O
.	O
24	O
(	O
25	O
.	O
0	O
)	O
3	O
.	O
8	O
,	O
46	O
.	O
20	O
.	O
12aNo245128	O
(	O
52	O
.	O
2	O
)	O
46	O
.	O
0	O
,	O
58	O
.	O
5117	O
(	O
47	O
.	O
8	O
)	O
41	O
.	O
5	O
,	O
54	O
.	O
0	O
Calcium	O
status	O
Mean	O
(	O
mmol	O
/	O
L	O
)†	O
2	O
.	O
3	O
±	O
0	O
.	O
12	O
.	O
2	O
±	O
0	O
.	O
1	O
/	O
2	O
.	O
4	O
±	O
0	O
.	O
1	O
/<	O
0	O
.	O
001Low	O
calcium	O
*	O
Yes1010	O
(	O
100	O
.	O
0	O
)	O
100	O
,	O
1000	O
(	O
0	O
.	O
0	O
)	O
0	O
,	O
00	O
.	O
002aNo248130	O
(	O
52	O
.	O
4	O
)	O
46	O
.	O
2	O
,	O
58	O
.	O
6118	O
(	O
47	O
.	O
6	O
)	O
41	O
.	O
4	O
,	O
53	O
.	O
8	O
Low	O
calcium	O
(	O
Corrected	O
)*	O
Yes66	O
(	O
100	O
)	O
100	O
,	O
1000	O
(	O
0	O
.	O
0	O
)	O
0	O
,	O
0	O
No252134	O
(	O
53	O
.	O
2	O
)	O
47	O
.	O
0	O
,	O
59	O
.	O
3118	O
(	O
46	O
.	O
8	O
)	O
41	O
.	O
0	O
,	O
53	O
.	O
00	O
.	O
03aPTH	O
status	O
Mean	O
(	O
ng	O
/	O
L	O
)†	O
47	O
.	O
3	O
±	O
22	O
.	O
059	O
.	O
1	O
±	O
21	O
.	O
8	O
/	O
32	O
.	O
9	O
±	O
10	O
.	O
8	O
/<	O
0	O
.	O
001Elevated	O
PTH	O
*	O
Yes9285	O
(	O
92	O
.	O
4	O
)	O
87	O
.	O
0	O
,	O
97	O
.	O
87	O
(	O
7	O
.	O
6	O
)	O
2	O
.	O
2	O
,	O
13	O
.	O
0	O
<	O
0	O
.	O
001No16255	O
(	O
34	O
.	O
0	O
)	O
26	O
.	O
7	O
,	O
41	O
.	O
2107	O
(	O
66	O
.	O
0	O
)	O
58	O
.	O
7	O
,	O
73	O
.	O
3	O
Albumin	O
status	O
Mean	O
(	O
g	O
/	O
L	O
)†	O
38	O
.	O
4	O
±	O
3	O
.	O
736	O
.	O
8	O
±	O
3	O
.	O
1	O
/	O
40	O
.	O
3	O
±	O
3	O
.	O
5	O
/<	O
0	O
.	O
001Low	O
albumin	O
*	O
Yes3326	O
(	O
78	O
.	O
8	O
)	O
64	O
.	O
8	O
,	O
92	O
.	O
77	O
(	O
21	O
.	O
2	O
)	O
7	O
.	O
3	O
,	O
35	O
.	O
20	O
.	O
002No225114	O
(	O
50	O
.	O
7	O
)	O
44	O
.	O
1	O
,	O
57	O
.	O
2111	O
(	O
49	O
.	O
3	O
)	O
43	O
.	O
0	O
,	O
56	O
.	O
0	O
S	O
-	O
ECC	O
=	O
Severe	O
Early	O
Childhood	O
Caries	O
.	O

The	O
distinction	O
is	O
important	O
because	O
adjustment	O
for	O
covariates	O
along	O
the	O
causal	O
pathway	O
may	O
spuriously	O
attenuate	O
estimates	O
of	O
association	O
.	O

†	O
t	O
-	O
test	O
,	O
*	O
chi	O
-	O
square	O
,	O
aFisher	O
’	O
s	O
Exact	O
Test	O
.	O

Formula	O
-	O
fed	O
infants	O
typically	O
consume	O
300	O
-	O
500	O
IU	O
/	O
day	O
from	O
their	O
formula	O
and	O
therefore	O
generally	O
meet	O
the	O
current	O
recommendations	O
without	O
an	O
additional	O
oral	O
supplement	O
of	O
vitamin	O
D	O
drops	O
especially	O
after	O
the	O
first	O
6	O
to	O
8	O
weeks	O
of	O
life	O
.	O

Glucose	O
intolerance	O
and	O
gestational	O
diabetes	O
risk	O
in	O
relation	O
to	O
sleep	O
duration	O
and	O
snoring	O
during	O
pregnancy	O
:	O
a	O
pilot	O
study	O
Abstract	O
Background	O
Insufficient	O
sleep	O
and	O
poor	O
sleep	O
quality	O
,	O
considered	O
endemic	O
in	O
modern	O
society	O
,	O
are	O
associated	O
with	O
obesity	O
,	O
impaired	O
glucose	O
tolerance	O
and	O
diabetes	O
.	O

This	O
experiment	O
would	O
provide	O
a	O
better	O
insight	O
into	O
the	O
regulation	O
of	O
GAS5	O
by	O
cortisol	O
.	O

Conversely	O
,	O
vitamin	O
D	O
deficiency	O
results	O
in	O
proximal	O
muscle	O
weakness	O
and	O
decreased	O
lower	O
extremity	O
muscle	O
function	O
perhaps	O
contributing	O
to	O
the	O
risk	O
for	O
cesarean	O
section	O
.	O

RMMCH	O
is	O
a	O
provincial	O
hospital	O
focusing	O
on	O
maternal	O
and	O
paediatric	O
healthcare	O
,	O
delivering	O
more	O
than	O
10	O
,	O
000	O
babies	O
annually	O
.	O

For	O
patients	O
who	O
were	O
already	O
on	O
immunotherapy	O
before	O
the	O
pregnancy	O
,	O
maintenance	O
treatment	O
may	O
be	O
continued	O
safely	O
during	O
pregnancy	O
.	O

These	O
conditions	O
were	O
maintained	O
for	O
six	O
weeks	O
prior	O
to	O
mating	O
and	O
throughout	O
gestation	O
.	O

The	O
authors	O
suggested	O
that	O
feeding	O
concentrate	O
plus	O
roughage	O
or	O
starch	O
after	O
early	O
weaning	O
at	O
a	O
young	O
age	O
could	O
alter	O
adipogenic	O
and	O
lipogenic	O
potential	O
in	O
loin	O
