	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	In	IN	0	2	O	None	None	None
1	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Utero	NNP	3	8	O	None	None	None
2	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Exposures	NNP	9	18	O	None	None	None
3	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	,	,	18	19	O	None	None	None
4	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Infant	NNP	20	26	O	None	None	None
5	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Growth	NNP	27	33	O	None	None	None
6	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	,	,	33	34	O	None	None	None
7	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	and	CC	35	38	O	None	None	None
8	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	DNA	NNP	39	42	O	None	None	None
9	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Methylation	NNP	43	54	O	None	None	None
10	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	of	IN	55	57	O	None	None	None
11	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Repetitive	NNP	58	68	O	None	None	None
12	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Elements	NNP	69	77	O	None	None	None
13	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	and	CC	78	81	O	None	None	None
14	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Developmentally	NNP	82	97	O	None	None	None
15	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Related	NNP	98	105	O	None	None	None
16	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Genes	NNP	106	111	O	None	None	None
17	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	in	IN	112	114	O	None	None	None
18	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Human	NNP	115	120	O	None	None	None
19	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Placenta	NNP	121	129	O	None	None	None
20	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Abstract	NNP	131	139	O	None	None	None
21	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Background	NNP	140	150	O	None	None	None
22	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	:	:	150	151	O	None	None	None
23	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	Fetal	JJ	152	157	O	None	None	None
24	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	programming	NN	158	169	O	None	None	None
25	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	describes	VBZ	170	179	O	None	None	None
26	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	the	DT	180	183	O	None	None	None
27	PMC3279448.nxml.gz	PMC3279448.nxml.gz_0	0	299	theory	NN	184	190	O	None	None	None
