TOKEN	TRUE	PREDICTED
Protein	O	O
Expression	O	O
in	O	O
the	O	O
Nucleus	O	O
Accumbens	O	O
of	O	O
Rats	O	O
Exposed	O	O
to	O	O
Developmental	O	O
Vitamin	O	O
D	O	O
Deficiency	O	O
Abstract	O	O
Introduction	O	O
Developmental	O	O
vitamin	O	O
D	O	O
(	O	O
DVD	O	O
)	O	O
deficiency	O	O
is	O	O
a	O	O
candidate	O	O
risk	O	O
factor	O	O
for	O	O
schizophrenia	O	O
.	O	O

Animal	O	O
models	O	O
have	O	O
confirmed	O	O
that	O	O
DVD	O	O
deficiency	O	O
is	O	O
associated	O	O
with	O	O
a	O	O
range	O	O
of	O	O
altered	O	O
genomic	O	O
,	O	O
proteomic	O	O
,	O	O
structural	O	O
and	O	O
behavioural	O	O
outcomes	O	O
in	O	O
the	O	O
rat	O	O
.	O	O

Because	O	O
the	O	O
nucleus	O	O
accumbens	O	O
has	O	O
been	O	O
implicated	O	O
in	O	O
neuropsychiatric	O	O
disorders	O	O
,	O	O
in	O	O
the	O	O
current	O	O
study	O	O
we	O	O
examined	O	O
protein	O	O
expression	O	O
in	O	O
this	O	O
region	O	O
in	O	O
adult	O	O
rats	O	O
exposed	O	O
to	O	O
DVD	O	O
deficiency	O	O
Methods	O	O
Female	O	O
Sprague	O	O
Dawley	O	O
rats	O	O
were	O	O
maintained	O	O
on	O	O
a	O	O
vitamin	O	O
D	O	O
deficient	O	O
diet	O	O
for	O	O
6	O	O
weeks	O	O
,	O	O
mated	O	O
and	O	O
allowed	O	O
to	O	O
give	O	O
birth	O	O
,	O	O
after	O	O
which	O	O
a	O	O
diet	O	O
containing	O	O
vitamin	O	O
D	O	O
was	O	O
reintroduced	O	O
.	O	O

Male	O	O
adult	O	O
offspring	O	O
(	O	O
n	O	O
=	O	O
8	O	O
)	O	O
were	O	O
compared	O	O
to	O	O
control	O	O
male	O	O
(	O	O
n	O	O
=	O	O
8	O	O
).	O	O

2	O	O
-	O	O
D	O	O
gel	O	O
electrophoresis	O	O
-	O	O
based	O	O
proteomics	O	O
and	O	O
mass	O	O
spectroscopy	O	O
were	O	O
used	O	O
to	O	O
investigate	O	O
differential	O	O
protein	O	O
expression	O	O
.	O	O

Results	O	O
There	O	O
were	O	O
35	O	O
spots	O	O
,	O	O
mapped	O	O
