	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Maternal	JJ	0	8	O	None	None	None
1	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	25	CD	9	11	O	None	None	None
2	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	(	(	11	12	O	None	None	None
3	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	OH	NNP	12	14	O	None	None	None
4	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	)	)	14	15	O	None	None	None
5	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	D	NNP	15	16	O	None	None	None
6	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	concentrations	NNS	17	31	O	None	None	None
7	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	≥	VBP	32	33	O	None	None	None
8	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	40	CD	33	35	O	None	None	None
9	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	ng	JJ	36	38	O	None	None	None
10	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	/	NNP	38	39	O	None	None	None
11	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	mL	NN	39	41	O	None	None	None
12	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	associated	VBN	42	52	O	None	None	None
13	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	with	IN	53	57	O	None	None	None
14	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	60	CD	58	60	O	None	None	None
15	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	%	NN	60	61	O	None	None	None
16	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	lower	JJR	62	67	O	None	None	None
17	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	preterm	NN	68	75	O	None	None	None
18	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	birth	NN	76	81	O	None	None	None
19	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	risk	NN	82	86	O	None	None	None
20	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	among	IN	87	92	O	None	None	None
21	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	general	JJ	93	100	O	None	None	None
22	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	obstetrical	JJ	101	112	O	None	None	None
23	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	patients	NNS	113	121	O	None	None	None
24	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	at	IN	122	124	O	None	None	None
25	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	an	DT	125	127	O	None	None	None
26	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	urban	JJ	128	133	O	None	None	None
27	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	medical	JJ	134	141	O	None	None	None
28	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	center	NN	142	148	O	None	None	None
29	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Abstract	NNP	150	158	O	None	None	None
30	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Background	NNP	160	170	O	None	None	None
31	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	Given	NNP	171	176	O	None	None	None
32	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	the	DT	177	180	O	None	None	None
33	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	high	JJ	181	185	O	None	None	None
34	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	rate	NN	186	190	O	None	None	None
35	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	of	IN	191	193	O	None	None	None
36	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	preterm	JJ	194	201	O	None	None	None
37	PMC5524288.nxml.gz	PMC5524288.nxml.gz_0	0	456	birth	NN	202	207	O	None	None	None
