PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	High	JJ	0	4	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Prevalence	NN	5	15	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	of	IN	16	18	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Vitamin	NNP	19	26	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	D	NNP	27	28	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Deficiency	NNP	29	39	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	in	IN	40	42	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Pregnant	NNP	43	51	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Women	NNP	52	57	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	:	:	57	58	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	A	DT	59	60	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	National	NNP	61	69	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Cross	NNP	70	75	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	-	:	75	76	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Sectional	NNP	76	85	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Survey	NNP	86	92	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	Abstract	NNP	94	102	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	An	DT	103	105	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	increasing	VBG	106	116	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	number	NN	117	123	B	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	of	IN	124	126	I	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	studies	NNS	127	134	I	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	suggest	VBP	135	142	B	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	that	IN	143	147	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	vitamin	NN	148	155	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	D	NNP	156	157	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	deficiency	NN	158	168	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	during	IN	169	175	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	pregnancy	NN	176	185	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	is	VBZ	186	188	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	associated	VBN	189	199	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	with	IN	200	204	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	multiple	JJ	205	213	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	adverse	JJ	214	221	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	health	NN	222	228	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	outcomes	NNS	229	237	O	None	None	None
PMC3427250.nxml.gz	PMC3427250.nxml.gz_0	0	272	in	IN	238	240	O	None	None	None
