PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Response	NN	0	8	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	to	TO	9	11	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Antenatal	NNP	12	21	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Cholecalciferol	NNP	22	37	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Supplementation	NNP	38	53	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Is	NNP	54	56	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Associated	VBN	57	67	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	With	IN	68	72	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Common	NNP	73	79	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Vitamin	NNP	80	87	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	D	NNP	88	89	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	–	NNP	89	90	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Related	NNP	90	97	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Genetic	NNP	98	105	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Variants	NNP	106	114	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Abstract	NNP	116	124	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Context	NNP	126	133	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	:	:	133	134	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	Single	NNP	135	141	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	-	:	141	142	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	nucleotide	JJ	142	152	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	polymorphisms	NN	153	166	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	(	(	167	168	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	SNPs	NNP	168	172	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	)	)	172	173	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	in	IN	174	176	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	genes	NNS	177	182	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	related	VBN	183	190	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	to	TO	191	193	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	vitamin	VB	194	201	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	D	NNP	202	203	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	metabolism	NN	204	214	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	have	VBP	215	219	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	been	VBN	220	224	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	associated	VBN	225	235	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	with	IN	236	240	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	serum	NN	241	246	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	25	CD	247	249	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	-	:	249	250	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	hydroxyvitamin	NN	250	264	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	D	NNP	265	266	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	[	VBZ	267	268	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	25	CD	268	270	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	(	(	270	271	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	OH	NNP	271	273	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	)	)	273	274	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	D	NNP	274	275	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	]	NNP	275	276	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	concentration	NN	277	290	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	,	,	290	291	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	but	CC	292	295	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	these	DT	296	301	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	relationships	NNS	302	315	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	have	VBP	316	320	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	not	RB	321	324	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	been	VBN	325	329	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	examined	VBN	330	338	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	following	VBG	339	348	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	antenatal	JJ	349	358	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	cholecalciferol	NN	359	374	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	supplementation	NN	375	390	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_0	0	391	.	.	390	391	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	Objective	NN	393	402	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	:	:	402	403	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	To	TO	404	406	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	determine	VB	407	416	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	whether	IN	417	424	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	SNPs	NNP	425	429	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	in	IN	430	432	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	DHCR7	NNP	433	438	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	,	,	439	440	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	CYP2R1	NNP	441	447	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	,	,	448	449	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	CYP24A1	NNP	450	457	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	,	,	458	459	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	and	CC	460	463	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	GC	NNP	464	466	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	are	VBP	467	470	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	associated	VBN	471	481	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	with	IN	482	486	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	the	DT	487	490	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	response	NN	491	499	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	to	TO	500	502	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	gestational	JJ	503	514	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	cholecalciferol	NN	515	530	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	supplementation	NN	531	546	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_1	393	547	.	.	546	547	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	Design	NN	549	555	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	:	:	555	556	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	Within	NNP	557	563	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	-	:	563	564	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	randomization	NN	564	577	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	group	NN	578	583	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	analysis	NN	584	592	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	of	IN	593	595	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	the	DT	596	599	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	Maternal	NNP	600	608	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	Vitamin	NNP	609	616	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	D	NNP	617	618	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	Osteoporosis	NNP	619	631	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	Study	NNP	632	637	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	trial	NN	638	643	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	of	IN	644	646	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	antenatal	JJ	647	656	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	cholecalciferol	NN	657	672	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	supplementation	NN	673	688	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_2	549	689	.	.	688	689	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_3	691	727	Setting	VBG	691	698	O	None	None	None
PMC5546866.nxml.gz	PMC5546866.nxml.gz_3	691	727	:	:	698	699	O	None	None	None
