MODEL	NUM DISCONTINUITY ERRORS
1_binary_combined_biobert_model_local_PMC2727050.nxml.gz	1
1_binary_combined_biobert_model_local_PMC2889879.nxml.gz	2
1_binary_combined_biobert_model_local_PMC2999828.nxml.gz	2
1_binary_combined_biobert_model_local_PMC3205727.nxml.gz	2
1_binary_combined_biobert_model_local_PMC3424155.nxml.gz	1
1_binary_combined_biobert_model_local_PMC3659910.nxml.gz	2
1_binary_combined_biobert_model_local_PMC3710985.nxml.gz	3
1_binary_combined_biobert_model_local_PMC3828574.nxml.gz	2
1_binary_combined_biobert_model_local_PMC4037583.nxml.gz	2
1_binary_combined_biobert_model_local_PMC4275682.nxml.gz	3
1_binary_combined_biobert_model_local_PMC4327187.nxml.gz	1
1_binary_combined_biobert_model_local_PMC4352710.nxml.gz	1
1_binary_combined_biobert_model_local_PMC4488777.nxml.gz	2
1_binary_combined_biobert_model_local_PMC5030620.nxml.gz	5
1_binary_combined_biobert_model_local_PMC5187359.nxml.gz	5
1_binary_combined_biobert_model_local_PMC5540678.nxml.gz	1
1_binary_combined_biobert_model_local_PMC5732505.nxml.gz	1
1_binary_combined_biobert_model_local_PMC6054603.nxml.gz	3
