PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Headliners	NNS	0	10	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	:	:	10	11	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Maternal	NNP	12	20	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Nutrition	NNP	21	30	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	and	CC	31	34	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Child	NNP	35	40	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Cancer	NNP	41	47	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	:	:	47	48	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Mother	NNP	49	55	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	’	NNP	55	56	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	s	NN	56	57	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Pre	NNP	58	61	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	-	:	61	62	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	pregnancy	NN	62	71	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Diet	NNP	72	76	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	May	NNP	77	80	B	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Influence	NNP	81	90	B	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Child	NNP	91	96	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Cancer	NNP	97	103	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Risk	NNP	104	108	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Jensen	NNP	109	115	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	CD	NNP	116	118	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	118	119	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Block	NNP	120	125	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	G	NNP	126	127	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	127	128	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Buffler	NNP	129	136	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	P	NNP	137	138	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	138	139	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Ma	NNP	140	142	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	X	NNP	143	144	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	144	145	O	None	None	None
PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Selvin	NNP	146	152	O	None	None	None
