	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	Defective	JJ	0	9	O	None	None	None
1	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	Spermatogenesis	NN	10	25	O	None	None	None
2	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	:	:	25	26	O	None	None	None
3	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	Martin	NNP	27	33	O	None	None	None
4	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	et	CC	34	36	O	None	None	None
5	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	al	NN	37	39	O	None	None	None
6	PMC2516588.nxml.gz	PMC2516588.nxml.gz_0	0	40	.	.	39	40	O	None	None	None
7	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	Respond	NN	41	48	O	None	None	None
8	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	In	IN	49	51	O	None	None	None
9	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	response	NN	52	60	O	None	None	None
10	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	to	TO	61	63	O	None	None	None
11	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	Prasad	NNP	64	70	O	None	None	None
12	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	’	NNP	70	71	O	None	None	None
13	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	s	VBD	71	72	O	None	None	None
14	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	constructive	JJ	73	85	O	None	None	None
15	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	comments	NNS	86	94	O	None	None	None
16	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	on	IN	95	97	O	None	None	None
17	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	our	PRP$	98	101	O	None	None	None
18	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	quantitative	JJ	102	114	O	None	None	None
19	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	meta	NN	115	119	O	None	None	None
20	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	-	:	119	120	O	None	None	None
21	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	analysis	NN	120	128	O	None	None	None
22	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	of	IN	129	131	O	None	None	None
23	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	the	DT	132	135	O	None	None	None
24	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	estrogen	NN	136	144	O	None	None	None
25	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	hypothesis	NN	145	155	O	None	None	None
26	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	and	CC	156	159	O	None	None	None
27	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	testicular	JJ	160	170	O	None	None	None
28	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	dysgenesis	NN	171	181	O	None	None	None
29	PMC2516588.nxml.gz	PMC2516588.nxml.gz_1	41	205	syndrome	NN	182	190	O	None	None	None
