PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	Lesions	NNS	0	7	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	of	IN	8	10	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	testis	NN	11	17	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	and	CC	18	21	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	epididymis	NN	22	32	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	associated	VBN	33	43	B	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	with	IN	44	48	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	prenatal	JJ	49	57	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	diethylstilbestrol	NN	58	76	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	exposure	NN	77	85	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	.	.	85	86	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	Abstract	JJ	88	96	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	Cryptorchidism	NNP	97	111	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	and	CC	112	115	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	retention	NN	116	125	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	of	IN	126	128	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	Müllerian	JJ	129	138	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	duct	NN	139	143	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	structures	NNS	144	154	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	occur	VBP	155	160	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	with	IN	161	165	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	high	JJ	166	170	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	frequency	NN	171	180	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	among	IN	181	186	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	the	DT	187	190	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	male	NN	191	195	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	offspring	NN	196	205	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	of	IN	206	208	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	CD	NNP	209	211	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	-	:	211	212	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	1	CD	212	213	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	mice	NNS	214	218	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	treated	VBN	219	226	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	with	IN	227	231	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	100	CD	232	235	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	micrograms	NNS	236	246	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	diethylstilbestrol	VBP	247	265	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	/	JJ	265	266	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	kg	NN	266	268	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	body	NN	269	273	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	weight	VBD	274	280	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	on	IN	281	283	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	days	NNS	284	288	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	9	CD	289	290	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	through	IN	291	298	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	16	CD	299	301	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	of	IN	302	304	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	pregnancy	NN	305	314	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	.	.	314	315	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	Hyperplasia	NNP	316	327	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	of	IN	328	330	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	the	DT	331	334	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	rete	JJ	335	339	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	testis	NN	340	346	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	and	CC	347	350	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	Müllerian	JJ	351	360	O	None	None	None
PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	duct	NN	361	365	O	None	None	None
