	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	Effects	NNS	0	7	O	None	None	None
1	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	of	IN	8	10	O	None	None	None
2	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	an	DT	11	13	O	None	None	None
3	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	antenatal	JJ	14	23	O	None	None	None
4	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	dietary	JJ	24	31	O	None	None	None
5	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	intervention	NN	32	44	O	None	None	None
6	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	in	IN	45	47	O	None	None	None
7	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	overweight	JJ	48	58	O	None	None	None
8	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	and	CC	59	62	O	None	None	None
9	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	obese	JJ	63	68	O	None	None	None
10	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	women	NNS	69	74	O	None	None	None
11	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	on	IN	75	77	O	None	None	None
12	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	6	CD	78	79	O	None	None	None
13	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	month	NN	80	85	O	None	None	None
14	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	infant	JJ	86	92	O	None	None	None
15	PMC6054603.nxml.gz	PMC6054603.nxml.gz_0	0	344	outcomes	NNS	93	101	O	None	None	None
