	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	Recurrent	JJ	0	9	O	None	None	None
1	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	acral	JJ	10	15	O	None	None	None
2	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	angioosteoma	NN	16	28	O	None	None	None
3	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	cutis	NN	29	34	O	None	None	None
4	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	in	IN	35	37	O	None	None	None
5	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	a	DT	38	39	O	None	None	None
6	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	pregnant	JJ	40	48	O	None	None	None
7	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	patient	NN	49	56	O	None	None	None
8	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	Introduction	NNP	58	70	O	None	None	None
9	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	Googe	NNP	71	76	O	None	None	None
10	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	et	FW	77	79	O	None	None	None
11	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	al	NN	80	82	O	None	None	None
12	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	in	IN	83	85	O	None	None	None
13	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	2006	CD	86	90	O	None	None	None
14	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	first	JJ	91	96	O	None	None	None
15	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	described	VBD	97	106	O	None	None	None
16	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	11	CD	107	109	O	None	None	None
17	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	cases	NNS	110	115	O	None	None	None
18	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	of	IN	116	118	O	None	None	None
19	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	acral	JJ	119	124	O	None	None	None
20	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	angioosteoma	NN	125	137	O	None	None	None
21	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	cutis	NN	138	143	O	None	None	None
22	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	(	(	144	145	O	None	None	None
23	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	AAOC	NNP	145	149	O	None	None	None
24	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	),	NNP	149	151	O	None	None	None
25	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	characterized	VBN	152	165	O	None	None	None
26	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	by	IN	166	168	O	None	None	None
27	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	benign	JJ	169	175	O	None	None	None
28	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	vascular	JJ	176	184	O	None	None	None
29	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	and	CC	185	188	O	None	None	None
30	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	osseous	JJ	189	196	O	None	None	None
31	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	lesions	NNS	197	204	O	None	None	None
32	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	on	IN	205	207	O	None	None	None
33	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	acral	JJ	208	213	O	None	None	None
34	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	skin	NN	214	218	O	None	None	None
35	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	.	.	218	219	O	None	None	None
36	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	1Since	CD	219	225	O	None	None	None
37	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	then	RB	226	230	O	None	None	None
38	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	,	,	230	231	O	None	None	None
39	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	there	EX	232	237	O	None	None	None
40	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	have	VBP	238	242	O	None	None	None
41	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	been	VBN	243	247	O	None	None	None
42	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	only	RB	248	252	O	None	None	None
43	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	3	CD	253	254	O	None	None	None
44	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	additional	JJ	255	265	O	None	None	None
45	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	cases	NNS	266	271	O	None	None	None
46	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	reported	VBD	272	280	O	None	None	None
47	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	.	.	280	281	O	None	None	None
48	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	2	CD	281	282	O	None	None	None
49	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	,	,	282	283	O	None	None	None
50	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	3	CD	283	284	O	None	None	None
51	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	,	,	284	285	O	None	None	None
52	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	4This	CD	285	290	O	None	None	None
53	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	friable	JJ	291	298	O	None	None	None
54	PMC5143410.nxml.gz	PMC5143410.nxml.gz_0	0	418	erythematous	JJ	299	311	O	None	None	None
