PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Season	NNP	0	6	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	of	IN	7	9	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Birth	NNP	10	15	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	and	CC	16	19	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Risk	NNP	20	24	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	for	IN	25	28	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Adult	NNP	29	34	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Onset	NNP	35	40	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Glioma	NNP	41	47	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Abstract	NNP	49	57	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Adult	NNP	58	63	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	onset	MD	64	69	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	glioma	VB	70	76	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	is	VBZ	77	79	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	a	DT	80	81	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	rare	JJ	82	86	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	cancer	NN	87	93	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	which	WDT	94	99	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	occurs	VBZ	100	106	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	more	RBR	107	111	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	frequently	RB	112	122	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	in	IN	123	125	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Caucasians	NNPS	126	136	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	than	IN	137	141	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	African	JJ	142	149	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	Americans	NNPS	150	159	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	,	,	159	160	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	and	CC	161	164	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	in	IN	165	167	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	men	NNS	168	171	O	None	None	None
PMC2898025.nxml.gz	PMC2898025.nxml.gz_0	0	183	than	IN	172	176	O	None	None	None
