	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Evaluating	VBG	0	10	O	None	None	None
1	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Provider	NNP	11	19	O	None	None	None
2	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Advice	NNP	20	26	O	None	None	None
3	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	and	CC	27	30	O	None	None	None
4	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Women	NNP	31	36	O	None	None	None
5	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	’	NNP	36	37	O	None	None	None
6	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	s	VBD	37	38	O	None	None	None
7	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Beliefs	NNP	39	46	O	None	None	None
8	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	on	IN	47	49	O	None	None	None
9	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Total	NNP	50	55	O	None	None	None
10	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Weight	NNP	56	62	O	None	None	None
11	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Gain	NNP	63	67	O	None	None	None
12	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	During	IN	68	74	O	None	None	None
13	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Pregnancy	NNP	75	84	O	None	None	None
14	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Abstract	NNP	86	94	O	None	None	None
15	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	Excessive	NNP	95	104	O	None	None	None
16	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	gestational	JJ	105	116	O	None	None	None
17	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	weight	NN	117	123	O	None	None	None
18	PMC4715834.nxml.gz	PMC4715834.nxml.gz_0	0	194	gain	NN	124	128	O	None	None	None
