PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	Racial	JJ	0	6	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	disparities	NNS	7	18	B	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	in	IN	19	21	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	cord	NN	22	26	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	blood	NN	27	32	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	vitamin	NN	33	40	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	D	NNP	41	42	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	levels	NNS	43	49	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	and	CC	50	53	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	its	PRP$	54	57	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	association	NN	58	69	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	with	IN	70	74	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	small	JJ	75	80	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	-	:	80	81	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	for	IN	81	84	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	-	:	84	85	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	gestational	JJ	85	96	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	-	:	96	97	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	age	NN	97	100	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	infants	NNS	101	108	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	Abstract	JJ	110	118	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	Objective	NNP	120	129	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	:	:	129	130	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	To	TO	131	133	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	examine	VB	134	141	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	the	DT	142	145	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	relationship	NN	146	158	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	of	IN	159	161	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	race	NN	162	166	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	and	CC	167	170	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	maternal	JJ	171	179	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	characteristics	NNS	180	195	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	and	CC	196	199	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	their	PRP$	200	205	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	association	NN	206	217	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	with	IN	218	222	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	cord	NN	223	227	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	blood	NN	228	233	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	vitamin	NN	234	241	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	D	NNP	242	243	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	levels	NNS	244	250	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	and	CC	251	254	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	small	JJ	255	260	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	-	:	260	261	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	for	IN	261	264	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	-	:	264	265	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	gestational	JJ	265	276	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	-	:	276	277	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	age	NN	277	280	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	(	(	281	282	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	SGA	NNP	282	285	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	)	)	285	286	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	status	NN	287	293	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_0	0	294	.	.	293	294	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	Study	NNP	296	301	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	Design	NNP	302	308	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	:	:	308	309	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	Cord	NNP	310	314	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	blood	NN	315	320	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	vitamin	NN	321	328	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	D	NNP	329	330	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	levels	NNS	331	337	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	were	VBD	338	342	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	measured	VBN	343	351	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	in	IN	352	354	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	438	CD	355	358	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	infants	NNS	359	366	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	(	(	367	368	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	276	CD	368	371	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	black	JJ	372	377	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	and	CC	378	381	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	162	CD	382	385	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	white	JJ	386	391	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_1	296	393	).	NN	391	393	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	Multivariable	JJ	394	407	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	logistic	JJ	408	416	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	regression	NN	417	427	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	models	NNS	428	434	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	were	VBD	435	439	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	used	VBN	440	444	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	to	TO	445	447	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	evaluate	VB	448	456	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	associations	NNS	457	469	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	between	IN	470	477	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	maternal	JJ	478	486	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	characteristics	NNS	487	502	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	,	,	502	503	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	vitamin	FW	504	511	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	D	NNP	512	513	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	status	NN	514	520	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	and	CC	521	524	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	SGA	NNP	525	528	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_2	394	529	.	.	528	529	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	Results	NNS	531	538	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	:	:	538	539	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	Black	NNP	540	545	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	race	NN	546	550	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	,	,	550	551	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	Medicaid	NNP	552	560	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	status	NN	561	567	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	,	,	567	568	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	mean	VB	569	573	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	body	NN	574	578	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	mass	NN	579	583	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	index	NN	584	589	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	at	IN	590	592	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	delivery	NN	593	601	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	and	CC	602	605	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	lack	NN	606	610	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	of	IN	611	613	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	prenatal	JJ	614	622	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	vitamin	NN	623	630	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	use	NN	631	634	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	were	VBD	635	639	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	associated	VBN	640	650	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	with	IN	651	655	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	vitamin	NN	656	663	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	D	NNP	664	665	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	deficiency	NN	666	676	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_3	531	677	.	.	676	677	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_4	678	820	Black	NNP	678	683	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_4	678	820	infants	NNS	684	691	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_4	678	820	had	VBD	692	695	O	None	None	None
PMC4973215.nxml.gz	PMC4973215.nxml.gz_4	678	820	3	CD	696	697	O	None	None	None
