	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Headliners	NNS	0	10	O	None	None	None
1	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	:	:	10	11	O	None	None	None
2	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Maternal	NNP	12	20	O	None	None	None
3	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Nutrition	NNP	21	30	O	None	None	None
4	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	and	CC	31	34	O	None	None	None
5	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Child	NNP	35	40	O	None	None	None
6	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Cancer	NNP	41	47	O	None	None	None
7	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	:	:	47	48	O	None	None	None
8	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Mother	NNP	49	55	O	None	None	None
9	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	’	NNP	55	56	O	None	None	None
10	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	s	NN	56	57	O	None	None	None
11	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Pre	NNP	58	61	O	None	None	None
12	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	-	:	61	62	O	None	None	None
13	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	pregnancy	NN	62	71	O	None	None	None
14	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Diet	NNP	72	76	O	None	None	None
15	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	May	NNP	77	80	B	incomplete_evidence_2021_10_14_Instance_1	None	None
16	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Influence	NNP	81	90	O	None	None	None
17	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Child	NNP	91	96	O	None	None	None
18	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Cancer	NNP	97	103	O	None	None	None
19	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Risk	NNP	104	108	O	None	None	None
20	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Jensen	NNP	109	115	O	None	None	None
21	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	CD	NNP	116	118	O	None	None	None
22	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	118	119	O	None	None	None
23	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Block	NNP	120	125	O	None	None	None
24	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	G	NNP	126	127	O	None	None	None
25	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	127	128	O	None	None	None
26	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Buffler	NNP	129	136	O	None	None	None
27	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	P	NNP	137	138	O	None	None	None
28	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	138	139	O	None	None	None
29	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Ma	NNP	140	142	O	None	None	None
30	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	X	NNP	143	144	O	None	None	None
31	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	144	145	O	None	None	None
32	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Selvin	NNP	146	152	O	None	None	None
33	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	S	NNP	153	154	O	None	None	None
34	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	,	,	154	155	O	None	None	None
35	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	Month	NNP	156	161	O	None	None	None
36	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	S	NNP	162	163	O	None	None	None
37	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	.	.	163	164	O	None	None	None
38	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	2004	CD	165	169	O	None	None	None
39	PMC1247630.nxml.gz	PMC1247630.nxml.gz_0	0	170	.	.	169	170	O	None	None	None
40	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	Maternal	NNP	171	179	O	None	None	None
41	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	dietary	JJ	180	187	O	None	None	None
42	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	risk	NN	188	192	O	None	None	None
43	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	factors	NNS	193	200	O	None	None	None
44	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	in	IN	201	203	O	None	None	None
45	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	childhood	NN	204	213	O	None	None	None
46	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	acute	NN	214	219	O	None	None	None
47	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	lymphoblastic	JJ	220	233	O	None	None	None
48	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	leukemia	NN	234	242	O	None	None	None
49	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	(	(	243	244	O	None	None	None
50	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	United	NNP	244	250	O	None	None	None
51	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	States	NNPS	251	257	O	None	None	None
52	PMC1247630.nxml.gz	PMC1247630.nxml.gz_1	171	259	).	VBP	257	259	O	None	None	None
53	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	Cancer	NNP	260	266	O	None	None	None
54	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	Causes	NNP	267	273	O	None	None	None
55	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	Control	NNP	274	281	O	None	None	None
56	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	15	CD	282	284	O	None	None	None
57	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	(	(	284	285	O	None	None	None
58	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	6	CD	285	286	O	None	None	None
59	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	):	RB	286	288	O	None	None	None
60	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	559	CD	288	291	O	None	None	None
61	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	–	JJ	291	292	O	None	None	None
62	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	570	CD	292	295	O	None	None	None
63	PMC1247630.nxml.gz	PMC1247630.nxml.gz_2	260	296	.	.	295	296	O	None	None	None
64	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	Acute	NNP	297	302	O	None	None	None
65	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	lymphoblastic	JJ	303	316	O	None	None	None
66	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	leukemia	NN	317	325	O	None	None	None
67	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	(	(	326	327	O	None	None	None
68	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	ALL	DT	327	330	O	None	None	None
69	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	)	)	330	331	O	None	None	None
70	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	is	VBZ	332	334	O	None	None	None
71	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	the	DT	335	338	O	None	None	None
72	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	most	RBS	339	343	O	None	None	None
73	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	common	JJ	344	350	O	None	None	None
74	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	childhood	NN	351	360	O	None	None	None
75	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	cancer	NN	361	367	O	None	None	None
76	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	(	(	368	369	O	None	None	None
77	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	with	IN	369	373	O	None	None	None
78	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	2	CD	374	375	O	None	None	None
79	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	,	,	375	376	O	None	None	None
80	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	400	CD	376	379	O	None	None	None
81	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	cases	NNS	380	385	O	None	None	None
82	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	diagnosed	VBN	386	395	O	None	None	None
83	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	each	DT	396	400	O	None	None	None
84	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	year	NN	401	405	O	None	None	None
85	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	in	IN	406	408	O	None	None	None
86	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	those	DT	409	414	O	None	None	None
87	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	under	IN	415	420	O	None	None	None
88	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	age	NN	421	424	O	None	None	None
89	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	20	CD	425	427	O	None	None	None
90	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	)	)	427	428	O	None	None	None
91	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	and	CC	429	432	O	None	None	None
92	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	the	DT	433	436	O	None	None	None
93	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	second	JJ	437	443	O	None	None	None
94	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	most	RBS	444	448	O	None	None	None
95	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	common	JJ	449	455	O	None	None	None
96	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	cause	NN	456	461	O	None	None	None
97	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	of	IN	462	464	O	None	None	None
98	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	mortality	NN	465	474	O	None	None	None
99	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	in	IN	475	477	O	None	None	None
100	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	children	NNS	478	486	O	None	None	None
101	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	aged	VBN	487	491	O	None	None	None
102	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	1	CD	492	493	O	None	None	None
103	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	–	JJ	493	494	O	None	None	None
104	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	14	CD	494	496	O	None	None	None
105	PMC1247630.nxml.gz	PMC1247630.nxml.gz_3	297	497	.	.	496	497	O	None	None	None
106	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	Recent	JJ	498	504	B	incomplete_evidence_2021_10_14_Instance_2	None	None
107	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	research	NN	505	513	I	incomplete_evidence_2021_10_14_Instance_2	None	None
108	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	has	VBZ	514	517	O	None	None	None
109	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	confirmed	VBN	518	527	B	incomplete_evidence_2021_10_14_Instance_3	None	None
110	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	that	IN	528	532	O	None	None	None
111	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	ALL	NNP	533	536	O	None	None	None
112	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	can	MD	537	540	B	incomplete_evidence_2021_10_14_Instance_4	None	None
113	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	originate	VB	541	550	O	None	None	None
114	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	in	IN	551	553	O	None	None	None
115	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	utero	NN	554	559	O	None	None	None
116	PMC1247630.nxml.gz	PMC1247630.nxml.gz_4	498	561	.	.	560	561	O	None	None	None
117	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	New	NNP	562	565	B	incomplete_evidence_2021_10_14_Instance_5	None	None
118	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	findings	NNS	566	574	I	incomplete_evidence_2021_10_14_Instance_5	None	None
119	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	from	IN	575	579	O	None	None	None
120	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	the	DT	580	583	O	None	None	None
121	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	NIEHS	NNP	584	589	O	None	None	None
122	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	-	:	589	590	O	None	None	None
123	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	funded	VBD	590	596	O	None	None	None
124	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	Northern	NNP	597	605	O	None	None	None
125	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	California	NNP	606	616	O	None	None	None
126	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	Childhood	NNP	617	626	O	None	None	None
127	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	Leukemia	NNP	627	635	O	None	None	None
128	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	Study	NNP	636	641	O	None	None	None
129	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	(	(	642	643	O	None	None	None
130	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	NCCLS	NNP	643	648	O	None	None	None
131	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	)	)	648	649	O	None	None	None
132	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	show	VBP	650	654	B	incomplete_evidence_2021_10_14_Instance_6	None	None
133	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	that	IN	655	659	O	None	None	None
134	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	the	DT	660	663	O	None	None	None
135	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	disease	NN	664	671	O	None	None	None
136	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	may	MD	672	675	B	incomplete_evidence_2021_10_14_Instance_7	None	None
137	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	originate	VB	676	685	O	None	None	None
138	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	even	RB	686	690	O	None	None	None
139	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	earlier	JJR	691	698	O	None	None	None
140	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	—	NN	698	699	O	None	None	None
141	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	in	IN	699	701	O	None	None	None
142	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	the	DT	702	705	O	None	None	None
143	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	foods	NNS	706	711	O	None	None	None
144	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	a	DT	712	713	O	None	None	None
145	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	woman	NN	714	719	O	None	None	None
146	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	eats	VBZ	720	724	O	None	None	None
147	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	before	IN	725	731	O	None	None	None
148	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	she	PRP	732	735	O	None	None	None
149	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	even	RB	736	740	O	None	None	None
150	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	becomes	VBZ	741	748	O	None	None	None
151	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	pregnant	JJ	749	757	O	None	None	None
152	PMC1247630.nxml.gz	PMC1247630.nxml.gz_5	562	758	.	.	757	758	O	None	None	None
153	PMC1247630.nxml.gz	PMC1247630.nxml.gz_6	759	953	The	DT	759	762	O	None	None	None
