	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Maternal	JJ	0	8	O	None	None	None
1	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Behaviors	NNS	9	18	O	None	None	None
2	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	during	IN	19	25	O	None	None	None
3	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Pregnancy	NNP	26	35	O	None	None	None
4	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Impact	NNP	36	42	O	None	None	None
5	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Offspring	NNP	43	52	O	None	None	None
6	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Obesity	NNP	53	60	O	None	None	None
7	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Risk	NNP	61	65	O	None	None	None
8	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	Abstract	NNP	67	75	O	None	None	None
9	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	This	DT	76	80	O	None	None	None
10	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	study	NN	81	86	O	None	None	None
11	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	investigated	VBD	87	99	O	None	None	None
12	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	the	DT	100	103	O	None	None	None
13	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	effects	NNS	104	111	O	None	None	None
14	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	of	IN	112	114	O	None	None	None
15	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	maternal	JJ	115	123	O	None	None	None
16	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	changes	NNS	124	131	O	None	None	None
17	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	during	IN	132	138	O	None	None	None
18	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	pregnancy	NN	139	148	O	None	None	None
19	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	in	IN	149	151	O	None	None	None
20	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	diet	JJ	152	156	O	None	None	None
21	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	,	,	156	157	O	None	None	None
22	PMC3205727.nxml.gz	PMC3205727.nxml.gz_0	0	246	exercise	NN	158	166	O	None	None	None
