	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	Lesions	NNS	0	7	O	None	None	None
1	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	of	IN	8	10	O	None	None	None
2	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	testis	NN	11	17	O	None	None	None
3	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	and	CC	18	21	O	None	None	None
4	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	epididymis	NN	22	32	O	None	None	None
5	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	associated	VBN	33	43	B	superficial_relationship_2021_10_14_Instance_11	None	None
6	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	with	IN	44	48	O	None	None	None
7	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	prenatal	JJ	49	57	O	None	None	None
8	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	diethylstilbestrol	NN	58	76	O	None	None	None
9	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	exposure	NN	77	85	O	None	None	None
10	PMC1474522.nxml.gz	PMC1474522.nxml.gz_0	0	86	.	.	85	86	O	None	None	None
11	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	Abstract	JJ	88	96	O	None	None	None
12	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	Cryptorchidism	NNP	97	111	O	None	None	None
13	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	and	CC	112	115	O	None	None	None
14	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	retention	NN	116	125	O	None	None	None
15	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	of	IN	126	128	O	None	None	None
16	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	Müllerian	JJ	129	138	O	None	None	None
17	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	duct	NN	139	143	O	None	None	None
18	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	structures	NNS	144	154	O	None	None	None
19	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	occur	VBP	155	160	O	None	None	None
20	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	with	IN	161	165	O	None	None	None
21	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	high	JJ	166	170	O	None	None	None
22	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	frequency	NN	171	180	O	None	None	None
23	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	among	IN	181	186	O	None	None	None
24	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	the	DT	187	190	O	None	None	None
25	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	male	NN	191	195	O	None	None	None
26	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	offspring	NN	196	205	O	None	None	None
27	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	of	IN	206	208	O	None	None	None
28	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	CD	NNP	209	211	O	None	None	None
29	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	-	:	211	212	O	None	None	None
30	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	1	CD	212	213	O	None	None	None
31	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	mice	NNS	214	218	O	None	None	None
32	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	treated	VBN	219	226	O	None	None	None
33	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	with	IN	227	231	O	None	None	None
34	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	100	CD	232	235	O	None	None	None
35	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	micrograms	NNS	236	246	O	None	None	None
36	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	diethylstilbestrol	VBP	247	265	O	None	None	None
37	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	/	JJ	265	266	O	None	None	None
38	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	kg	NN	266	268	O	None	None	None
39	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	body	NN	269	273	O	None	None	None
40	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	weight	VBD	274	280	O	None	None	None
41	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	on	IN	281	283	O	None	None	None
42	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	days	NNS	284	288	O	None	None	None
43	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	9	CD	289	290	O	None	None	None
44	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	through	IN	291	298	O	None	None	None
45	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	16	CD	299	301	O	None	None	None
46	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	of	IN	302	304	O	None	None	None
47	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	pregnancy	NN	305	314	O	None	None	None
48	PMC1474522.nxml.gz	PMC1474522.nxml.gz_1	88	315	.	.	314	315	O	None	None	None
49	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	Hyperplasia	NNP	316	327	O	None	None	None
50	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	of	IN	328	330	O	None	None	None
51	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	the	DT	331	334	O	None	None	None
52	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	rete	JJ	335	339	O	None	None	None
53	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	testis	NN	340	346	O	None	None	None
54	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	and	CC	347	350	O	None	None	None
55	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	Müllerian	JJ	351	360	O	None	None	None
56	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	duct	NN	361	365	O	None	None	None
57	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	structures	NNS	366	376	O	None	None	None
58	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	were	VBD	377	381	O	None	None	None
59	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	found	VBN	382	387	O	None	None	None
60	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	in	IN	388	390	O	None	None	None
61	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	many	JJ	391	395	O	None	None	None
62	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	of	IN	396	398	O	None	None	None
63	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	the	DT	399	402	O	None	None	None
64	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	DES	NNP	403	406	O	None	None	None
65	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	-	:	406	407	O	None	None	None
66	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	treated	VBD	407	414	O	None	None	None
67	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	male	JJ	415	419	O	None	None	None
68	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	mice	NN	420	424	O	None	None	None
69	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	,	,	424	425	O	None	None	None
70	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	as	IN	426	428	O	None	None	None
71	PMC1474522.nxml.gz	PMC1474522.nxml.gz_2	316	494	was	VBD	429	432	O	None	None	None
