PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	Brown	NNP	0	5	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	adipose	JJ	6	13	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	tissue	NN	14	20	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	activity	NN	21	29	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	as	IN	30	32	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	a	DT	33	34	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	target	NN	35	41	B-FW	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	for	IN	42	45	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	the	DT	46	49	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	treatment	NN	50	59	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	of	IN	60	62	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	obesity	NN	63	70	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	/	NNP	70	71	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	insulin	NN	71	78	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	resistance	NN	79	89	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	Abstract	NNP	91	99	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	Presence	NNP	100	108	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	of	IN	109	111	O	None	None	None
PMC4311629.nxml.gz	PMC4311629.nxml.gz_0	0	264	brown	JJ	112	117	O	None	None	None
