	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	Acute	NNP	0	5	O	None	None	None
1	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	stridor	NN	6	13	O	None	None	None
2	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	and	CC	14	17	O	None	None	None
3	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	wheeze	NN	18	24	O	None	None	None
4	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	as	IN	25	27	O	None	None	None
5	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	an	DT	28	30	O	None	None	None
6	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	initial	JJ	31	38	O	None	None	None
7	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	manifestation	NN	39	52	O	None	None	None
8	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	of	IN	53	55	O	None	None	None
9	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	hypocalcemia	NN	56	68	O	None	None	None
10	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	in	IN	69	71	O	None	None	None
11	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	an	DT	72	74	O	None	None	None
12	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	infant	NN	75	81	O	None	None	None
13	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	Sir	NNP	82	85	O	None	None	None
14	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	,	,	85	86	O	None	None	None
15	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	A	NNP	87	88	O	None	None	None
16	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	4	CD	89	90	O	None	None	None
17	PMC3313761.nxml.gz	PMC3313761.nxml.gz_0	0	269	-	:	90	91	O	None	None	None
