PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC3915248.nxml.gz	0	['Once Upon a Mine: The Legacy of Uranium on the Navajo Nation\nOn a low, windswept rise at the southeastern edge of the Navajo Nation, Jackie Bell-Jefferson prepares to move her family from their home for a temporary stay that could last up to seven years.']	(0, 254)	FALSE
PMC3915248.nxml.gz	1	['A mound of uranium-laden waste the size of several football fields, covered with a thin veneer of gravel, dominates the view from her front door.']	(255, 400)	FALSE
PMC3915248.nxml.gz	2	['After many years of living next to the contamination and a litany of health problems she believes it caused, Bell-Jefferson and several other local families will have to vacate their homes for a third round of cleanup efforts by the U.S. Environmental Protection Agency (EPA).']	(401, 677)	FALSE
PMC3915248.nxml.gz	3	['Decades of uranium mining have dotted the landscape across the Navajo Nation with piles of contaminated mine waste.']	(678, 793)	FALSE
PMC3915248.nxml.gz	4	['The EPA has mapped 521 abandoned uranium mines on the reservation, ranging from small holes dug by a single prospector into the side of a mesa to large commercial mining operations.1The Navajo people did not have a word for “radioactivity” when mining outfits looking for vanadium2and uranium3began moving onto their land in the 1940s, and they did not understand that radiation could be dangerous.']	(794, 1192)	FALSE
PMC3915248.nxml.gz	5	['They were not told that the men who worked in the mines were breathing carcinogenic radon gas and showering in radioactive water, nor that the women washing their husbands’ work clothes could spread radionuclides to the rest of the family’s laundry.']	(1193, 1442)	TRUE
PMC3915248.nxml.gz	6	['Bell-Jefferson and her brother Peterson Bell played in and around the mines, splashing and swimming in pools of radioactive water that had been pumped out of the mines and then collected on their property.']	(1443, 1648)	FALSE
PMC3915248.nxml.gz	7	['The contaminated water looked and tasted perfectly clean.']	(1649, 1706)	FALSE
PMC3915248.nxml.gz	8	['Families used it for cooking, drinking, and cleaning.']	(1707, 1760)	FALSE
PMC3915248.nxml.gz	9	['Hogans and corrals were built with mine wastes, as were roads.']	(1761, 1823)	FALSE
PMC3915248.nxml.gz	10	['All that changed on 16 July 1979.']	(1824, 1857)	FALSE
