PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC6011374.nxml.gz	0	['Vitamin D levels in an Australian and New Zealand cohort and the association with pregnancy outcome\n\nAbstract\n\nBackground\nPregnant women are at increased susceptibility to vitamin D deficiency.']	(0, 193)	FALSE
PMC6011374.nxml.gz	1	['Hence, there is continuing interest in determining how vitamin D influences pregnancy health.']	(194, 287)	TRUE
PMC6011374.nxml.gz	2	['We aimed to compare vitamin D status in two distinct populations of pregnant women in Australia and New Zealand and to investigate the relationship between vitamin D status and pregnancy outcome.']	(288, 483)	FALSE
PMC6011374.nxml.gz	3	['This included evaluating possible effect measure modifications according to fetal sex.']	(484, 570)	TRUE
PMC6011374.nxml.gz	4	['Methods\nSerum 25-hydroxy vitamin D (25(OH)D) was measured at 15\u2009±\u20091\xa0weeks’ gestation in 2800 women from Adelaide and Auckland who participated in the multi-centre, prospective cohort SCreening fOr Pregnancy Endpoints (SCOPE) study.']	(572, 803)	FALSE
PMC6011374.nxml.gz	5	['Results\nMean serum 25(OH)D in all women was 68.1\u2009±\u200927.1\xa0nmol/L and 28% ( n \u2009=\u2009772) were considered vitamin D deficient (<\u200950\xa0nmol/L).']	(805, 938)	FALSE
PMC6011374.nxml.gz	6	['Serum 25(OH)D was lower in the women recruited in Adelaide when compared to the women recruited in Auckland and remained lower after adjusting for covariates including maternal body mass index and socioeconomic index (Adelaide: 58.4\u2009±\u200950.3 vs. Auckland: 70.2\u2009±\u200954.5\xa0nmol/L, P \u2009<\u20090.001).']	(939, 1225)	FALSE
PMC6011374.nxml.gz	7	['A 53% decreased risk for gestational diabetes mellitus (GDM) was observed with high (>\u200981\xa0nmol/L) “standardised” vitamin D status when compared to moderate-high (63–81\xa0nmol/L, aRR, 0.47; 95% CI: 0.23, 0.96).']	(1226, 1433)	FALSE
PMC6011374.nxml.gz	8	['Marginal sex-specific differences occurred between vitamin D status and GDM: women carrying a female fetus had a 56% decreased risk for GDM in those with low-moderate levels of standardised vitamin D (44–63\xa0nmol/L) compared to moderate-high levels (aRR: 0.44; 95% CI: 0.20, 0.97), whilst in women carrying a male fetus, a 55% decreased risk of GDM was found with high standardised vitamin D when compared to moderately-high vitamin D, but this was not statistically significant (aRR: 0.45; 95% CI: 0.15, 1.38).']	(1434, 1944)	TRUE
PMC6011374.nxml.gz	9	['Conclusions\nHigh serum 25(OH)D at 15\u2009±\u20091\xa0weeks’ gestation was shown to be protective against the development of GDM.']	(1946, 2062)	FALSE
PMC6011374.nxml.gz	10	['A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations.']	(2063, 2293)	TRUE
PMC6011374.nxml.gz	11	['Electronic supplementary material\nThe online version of this article (10.1186/s12884-018-1887-x) contains supplementary material, which is available to authorized users.']	(2295, 2464)	FALSE
PMC6011374.nxml.gz	12	['Background\nWith an increasing prevalence of vitamin D deficiency and insufficiency reported both in Australia and New Zealand, as well as worldwide [1], there is continuing interest in determining how vitamin D deficiency may influence health in pregnancy.']	(2466, 2722)	TRUE
PMC6011374.nxml.gz	13	['Evidence suggests that vitamin D deficiency is associated with a number of pregnancy complications including preeclampsia (PE), gestational diabetes mellitus (GDM) and spontaneous preterm birth (sPTB) [2–4].']	(2723, 2930)	TRUE
PMC6011374.nxml.gz	14	['However, inconsistencies between studies reflect uncertainty about the true effect of vitamin D deficiency on pregnancy outcome [5,6].']	(2931, 3065)	FALSE
PMC6011374.nxml.gz	15	['This may be explained, in part, by inadequate control of related risk factors and confounders in statistical analyses, variations between assays that measure vitamin D and significant heterogeneity between studied populations [6].']	(3066, 3296)	TRUE
PMC6011374.nxml.gz	16	['Vitamin D status is determined by measuring circulating serum levels of 25-hydroxy vitamin D2\u2009+\u20093(25(OH)D).']	(3297, 3404)	FALSE
PMC6011374.nxml.gz	17	['In Australia and New Zealand, the deficiency cut-offs are based on the role of vitamin D in bone health where serum 25(OH)D\u2009≥\u200950\xa0nmol/L at the end of winter is required for optimal musculoskeletal health [1].']	(3405, 3613)	FALSE
PMC6011374.nxml.gz	18	['Furthermore, it has been established that serum 25(OH)D\u2009≥\u200950\xa0nmol/L is recommended during pregnancy and lactation [7].']	(3614, 3732)	TRUE
PMC6011374.nxml.gz	19	['The incidence of vitamin D deficiency (˂50\xa0nmol/L) is frequent among pregnant women even in areas such as Australia and the North Island of New Zealand where sunlight exposure is high.']	(3733, 3917)	FALSE
PMC6011374.nxml.gz	20	['Studies focused on high-risk populations, for example, veiled, dark-skinned or obese women in Australia and New Zealand, report between 50 and 94% of women to be vitamin D deficient [8–10].']	(3918, 4107)	FALSE
PMC6011374.nxml.gz	21	['Reports from lower-risk groups have indicated that vitamin D deficiency occurs in 25–55% of pregnant women [11–13].']	(4108, 4223)	TRUE
PMC6011374.nxml.gz	22	['There are numerous studies which have shown that vitamin D deficiency is associated with adverse pregnancy outcomes (Most recent: [14–17]), particularly in populations that reside at higher latitudes.']	(4224, 4424)	TRUE
PMC6011374.nxml.gz	23	['However, studies in women from Australia and New Zealand are less consistent.']	(4425, 4502)	FALSE
PMC6011374.nxml.gz	24	['Previous studies on pregnant Australian and New Zealand women have reported that while circulating 25(OH)D was significantly lower in women with PE, sPTB, GDM and those who delivered a small-for gestational age (SGA) infant, no association between vitamin D deficiency and these pregnancy complications was found after adjusting for covariates [18–20].']	(4503, 4855)	TRUE
PMC6011374.nxml.gz	25	['Differences in ethnicity [21], solar exposure and geographical location, as well as genetics [22] and supplementation [23–25], are known to affect 25(OH)D status and therefore influence study outcomes.']	(4856, 5057)	FALSE
PMC6011374.nxml.gz	26	['Furthermore, the gestation at which vitamin D was measured is also important.']	(5058, 5135)	FALSE
PMC6011374.nxml.gz	27	['In the case of preterm delivery, vitamin D status measured closer to the delivery date was more significantly associated with preterm delivery than earlier measures [26].']	(5136, 5306)	FALSE
PMC6011374.nxml.gz	28	['However, measuring circulating 25(OH)D in early pregnancy is common and potentially clinically useful as this is prior to when many of the pregnancy complications that affect late gestation manifest.']	(5307, 5506)	TRUE
PMC6011374.nxml.gz	29	['Using a robust, validated chemiluminescent-based assay to measure serum 25(OH)D [27], we aimed to investigate the differences between vitamin D status in early pregnancy in two distinct populations of nulliparous women from Australia and New Zealand.']	(5507, 5757)	TRUE
PMC6011374.nxml.gz	30	['We also aimed to examine the relationship between serum 25(OH)D at 15\u2009±\u20091\xa0weeks’ gestation and the risk of an adverse pregnancy outcome and included determining the effect modification of fetal sex on the association between maternal vitamin D status and pregnancy outcome.']	(5758, 6031)	FALSE
PMC6011374.nxml.gz	31	['Methods\n\nStudy population\nThis study utilised data collected from the multi-centre, prospective cohort Screening for Pregnancy Endpoints (SCOPE) study [28].']	(6033, 6189)	FALSE
PMC6011374.nxml.gz	32	['Nulliparous women carrying a singleton pregnancy were recruited between November 2004 and September 2008 in Adelaide (Australia) and Auckland (New Zealand).']	(6190, 6346)	FALSE
PMC6011374.nxml.gz	33	['Ethics approval was obtained from Central Northern Adelaide Health Service Ethics of Human Research Committee on 2 September 2005 (ethics number REC 1714/5/2008) and Northern Region Ethics Committee, in Auckland on 23 April 2003 (ethics number AKX/02/00/364).']	(6347, 6606)	FALSE
PMC6011374.nxml.gz	34	['All participants provided written informed consent.']	(6607, 6658)	FALSE
PMC6011374.nxml.gz	35	['At 15\u2009±\u20091\xa0weeks’ gestation, women were interviewed by a research midwife and asked questions on maternal demographics and lifestyle and had physical measurements taken, including height and weight.']	(6659, 6856)	FALSE
PMC6011374.nxml.gz	36	['Records included ethnicity, age, body mass index (BMI), socioeconomic index (SEI) and multivitamin use [29].']	(6857, 6965)	FALSE
PMC6011374.nxml.gz	37	['BMI was calculated as weight (kg)/height2(m2).']	(6966, 7012)	FALSE
PMC6011374.nxml.gz	38	['Obesity was defined as BMI ≥30\xa0kg/m2, overweight as BMI ≥25 and\u2009<\u200930\xa0kg/m2, normal weight as BMI >\u200920 and\u2009<\u200925\xa0kg/m2and underweight as BMI ≤20\xa0kg/m2.']	(7013, 7162)	FALSE
PMC6011374.nxml.gz	39	['SEI was calculated using the New Zealand SEI of occupational status, deriving a number between 10 and 90 based on the woman’s occupation; a higher number indicates higher socioeconomic status [30].']	(7163, 7360)	FALSE
PMC6011374.nxml.gz	40	['This population of women was predominantly Caucasian and thus maternal ethnicity was categorised into 2 main groups; Caucasian and non-Caucasian.']	(7361, 7506)	FALSE
PMC6011374.nxml.gz	41	['Uncomplicated pregnancies were defined as those without any pregnancy disorder who delivered an appropriate weight for gestational age infant at term (≥37\xa0weeks gestation) [31].']	(7507, 7684)	FALSE
PMC6011374.nxml.gz	42	['Pregnancy complications studied included PE, gestational hypertension (GH), GDM, sPTB and SGA and have been previously defined [28,29,31,32].']	(7685, 7826)	TRUE
PMC6011374.nxml.gz	43	['Measurement of serum 25(OH)D\nNon-fasting whole peripheral blood samples were collected into non-heparinised tubes at 15±1 weeks’ gestation.']	(7828, 7967)	FALSE
PMC6011374.nxml.gz	44	['Serum was processed within 4\xa0h of collection and stored at −\u200980\xa0°C until required.']	(7968, 8050)	FALSE
PMC6011374.nxml.gz	45	['Unlike the previously published data on vitamin D in the Auckland cohort [20], serum 25(OH)D was measured using the IDS-iSYS chemiluminescent-based assay (Abacus, ALS) as per the manufacturer’s instructions.']	(8051, 8258)	TRUE
PMC6011374.nxml.gz	46	['Average intra- and inter-assay coefficient of variation (CV) were 5.4 and 8.8%, respectively.']	(8259, 8352)	FALSE
PMC6011374.nxml.gz	47	['Both serum 25(OH)D3and 25(OH)D2were measured independently and combined to provide a total 25(OH)D in nmol/L [27].']	(8353, 8467)	FALSE
PMC6011374.nxml.gz	48	['Statistical analyses\nStatistical analyses were performed in R (v3.1.1) [33].']	(8469, 8545)	FALSE
PMC6011374.nxml.gz	49	['Data were checked for normality using a Shapiro-Wilks test and differences between women recruited in Adelaide compared to Auckland were tabulated and compared using a Welch’s t-test (continuous variables) or Fisher’s exact test (categorical variables).']	(8546, 8799)	FALSE
PMC6011374.nxml.gz	50	['Given that the month in which the serum was sampled heavily influences vitamin D status, “standardised” serum 25(OH)D concentrations were calculated as previously described [34] in order to normalise against seasonal variation.']	(8800, 9027)	FALSE
PMC6011374.nxml.gz	51	['Briefly, vitamin D concentrations were standardized by taking the difference of 25(OH)D concentration to the average 25(OH)D concentration of the corresponding month.']	(9028, 9194)	FALSE
PMC6011374.nxml.gz	52	['This 25(OH)D concentration was then added to the overall population mean 25(OH)D concentration: 68.09\xa0nmol/L.']	(9195, 9304)	FALSE
PMC6011374.nxml.gz	53	['Quartiles, based on the distribution amongst the population of women studied, in the standardised concentrations were then used to create cut-points and designated ‘low’ (<\u200944\xa0nmol/L), ‘low-moderate’ (44–63\xa0nmol/L), ‘moderate-high’ (63–81\xa0nmol/L) and ‘high’ (>\u200981\xa0nmol/L) categories of serum 25(OH)D.\nGeneralised linear models (Poisson with log link and robust variance estimates) were used to calculate the risk ratios for pregnancy complications by standardised serum 25(OH)D concentrations calculated among the women who had an uncomplicated pregnancy.']	(9305, 9860)	FALSE
PMC6011374.nxml.gz	54	['Potential confounders for vitamin D status were assessed using linear modelling.']	(9861, 9941)	TRUE
PMC6011374.nxml.gz	55	['Maternal age, BMI, SEI, alcohol consumption at 15\u2009±\u20091\xa0weeks’ gestation (never/former vs. current), recreational walking (1–3 times/week and\u2009≥\u20094 times/week vs. never), ethnicity (Caucasian vs. non-Caucasian) and recruitment site (Adelaide vs. Auckland) were significantly associated with serum 25(OH)D and along with smoking status at 15\u2009±\u20091\xa0weeks’ gestation (never/former vs. current) included as main effects within the generalised linear models.']	(9942, 10389)	FALSE
PMC6011374.nxml.gz	56	['These analyses were also repeated but using the current definitions of vitamin D deficiency: <\u200925, 25–50, 50–75 and\u2009>\u200975\xa0nmol/L in the non-standardised data [7].']	(10390, 10551)	FALSE
PMC6011374.nxml.gz	57	['We also stratified based on fetal sex to evaluate possible effect measure modifications according to whether the mother was carry a male or female fetus.']	(10552, 10705)	TRUE
PMC6011374.nxml.gz	58	['Results\n\nPopulation characteristics\nOf 3229 women recruited as part of SCOPE at the Adelaide and Auckland centres, serum samples at 15\u2009±\u20091\xa0weeks’ gestation to measure 25(OH)D were available for 2800 (87%) women of whom, 1156 (41%) were recruited in Adelaide and 1644 (59%) were recruited in Auckland.']	(10707, 11007)	FALSE
PMC6011374.nxml.gz	59	['Maternal characteristics are shown in Table\xa01.']	(11008, 11054)	FALSE
PMC6011374.nxml.gz	60	['Compared to women who were recruited at the Adelaide site, women recruited in Auckland were older, had a lower BMI, less likely to smoke or drink alcohol during pregnancy and more likely to eat fruit and undertake recreational walks.']	(11055, 11288)	FALSE
PMC6011374.nxml.gz	61	['Mean\u2009±\u2009SD SEI of the Auckland women was also higher compared to that in women recruited in Adelaide (Auckland: 48.0\u2009±\u200914.8 vs. Adelaide: 27.7\u2009±\u200910.5, P \u2009<\u20090.001).']	(11289, 11451)	FALSE
PMC6011374.nxml.gz	62	['Given that all these factors significantly influenced serum 25(OH)D in the linear regression model, it was unsurprising that vitamin D status of the women was significantly different between the two recruitment sites.']	(11452, 11669)	FALSE
PMC6011374.nxml.gz	63	['However, after adjusting for maternal age, BMI, SEI, smoking status and alcohol consumption at 15\u2009±\u20091\xa0weeks’ gestation, ethnicity, recreational walking and season, the women recruited in Adelaide still had significantly lower serum 25(OH)D when compared with those in Auckland (Adelaide: 58.4\u2009±\u200950.3 vs. Auckland: 70.2\u2009±\u200954.5\xa0nmol/L, P\u2009<\u20090.001) indicating the influence of other confounders not measured as part of the study on vitamin D status.']	(11670, 12115)	TRUE
