PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC5405375.nxml.gz	0	['Impact of an Intensive Perinatal Handwashing Promotion Intervention on Maternal Handwashing Behavior in the Neonatal Period: Findings from a Randomized Controlled Trial in Rural Bangladesh\n\nAbstract\nOne-quarter of neonatal deaths are attributed to infections.']	(0, 259)	FALSE
PMC5405375.nxml.gz	1	['Maternal handwashing with soap may prevent neonatal sepsis.']	(260, 319)	FALSE
PMC5405375.nxml.gz	2	['We examined impact of intensive handwashing promotion on handwashing behavior of mothers of neonates.']	(320, 421)	FALSE
PMC5405375.nxml.gz	3	["In Matlab, Bangladesh, we randomly allocated pregnant women at 28–32 weeks' gestation to intensive handwashing promotion or control."]	(422, 554)	FALSE
PMC5405375.nxml.gz	4	['Behavior change communicators used a participatory approach to motivate maternal handwashing with soap and provided soap and handwashing stations.']	(555, 701)	FALSE
PMC5405375.nxml.gz	5	['In the neonatal period, we observed soap and water at handwashing places and, at the end of the neonatal period, we estimated impact on maternal handwashing by structured observation.']	(702, 885)	FALSE
PMC5405375.nxml.gz	6	["Among 253 women enrolled, intervention households were between 5.7 and 15.2 times as likely as control households to have soap and water present at the handwashing station in the baby's sleeping area."]	(886, 1086)	TRUE
PMC5405375.nxml.gz	7	['Intervention mothers washed hands with soap 4.1 times as frequently as controls (95% CI 2.55–6.59); handwashing with soap at recommended times was infrequent in both intervention (9%) and control (2%) groups.']	(1087, 1295)	FALSE
PMC5405375.nxml.gz	8	['Intensively promoting handwashing with soap resulted in increased availability of soap and water at handwashing places, but only a modest increase in maternal handwashing with soap.']	(1296, 1477)	FALSE
PMC5405375.nxml.gz	9	['Novel approaches to motivating handwashing behavior to protect newborns should be developed and evaluated.']	(1478, 1584)	FALSE
PMC5405375.nxml.gz	10	['1.']	(1586, 1588)	FALSE
PMC5405375.nxml.gz	11	['Introduction\nIn 2013, an estimated 2.8 million deaths occurred in the neonatal period globally [1].']	(1589, 1688)	FALSE
PMC5405375.nxml.gz	12	['Among these, one-quarter are attributed to infectious causes.']	(1689, 1750)	FALSE
PMC5405375.nxml.gz	13	['Infections in the newborn period typically include pneumonia, sepsis, and those of the umbilical cord [1].']	(1751, 1857)	FALSE
PMC5405375.nxml.gz	14	['Deaths in the neonatal period have reduced more slowly than those in the postneonatal period since 2000.']	(1858, 1962)	FALSE
PMC5405375.nxml.gz	15	['With the current complement and pace of public health efforts, neonatal sepsis is projected to continue to cause roughly 123,000 preventable deaths per 1000 live births in 2030 [1].']	(1963, 2144)	TRUE
PMC5405375.nxml.gz	16	['In an observational study of 23,662 infants in Nepal, Rhee and colleagues found that neonates of mothers who reported washing their hands were at 44% lower risk of mortality than neonates of mothers who did not report handwashing [2].']	(2145, 2379)	FALSE
PMC5405375.nxml.gz	17	['In the same region, Mullany and colleagues found that reported caregiver handwashing was associated with a 24% lower risk of umbilical cord infection [3].']	(2380, 2534)	FALSE
PMC5405375.nxml.gz	18	['Although these results are provocative, reported handwashing behavior consistently exaggerates observed handwashing behavior and so reported handwashing behavior is not a valid measure of handwashing [4–6].']	(2535, 2741)	TRUE
PMC5405375.nxml.gz	19	['Indeed, reported handwashing behavior is susceptible to social desirability bias, with wealthier or more educated respondents; that is, those whose children are already at lower risk of neonatal mortality, potentially more likely to overreport handwashing behavior than less wealthy or less educated counterparts [7,8].']	(2742, 3061)	TRUE
