	PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
0	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	Vitamin	NNP	0	7	O	None	None	None
1	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	D	NNP	8	9	O	None	None	None
2	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	levels	NNS	10	16	O	None	None	None
3	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	in	IN	17	19	O	None	None	None
4	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	an	DT	20	22	O	None	None	None
5	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	Australian	JJ	23	33	O	None	None	None
6	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	and	CC	34	37	O	None	None	None
7	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	New	NNP	38	41	O	None	None	None
8	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	Zealand	NNP	42	49	O	None	None	None
9	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	cohort	NN	50	56	O	None	None	None
10	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	and	CC	57	60	O	None	None	None
11	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	the	DT	61	64	O	None	None	None
12	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	association	NN	65	76	O	None	None	None
13	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	with	IN	77	81	O	None	None	None
14	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	pregnancy	NN	82	91	O	None	None	None
15	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	outcome	NN	92	99	O	None	None	None
16	PMC6011374.nxml.gz	PMC6011374.nxml.gz_0	0	193	Abstract	NNP	101	109	O	None	None	None
