PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4231606.nxml.gz	0	['Vitamin D status of children with severe early childhood caries: a case–control study\n\nAbstract\n\nBackground\nSevere Early Childhood Caries (S-ECC) affects the health and well-being of young children.']	(0, 198)	FALSE
PMC4231606.nxml.gz	1	['There is limited research in this area, though evidence suggests that children with S-ECC are at an increased risk of malnutrition.']	(199, 330)	FALSE
PMC4231606.nxml.gz	2	['The purpose of this study was to determine the association between vitamin D (25(OH)D) levels and S-ECC.']	(331, 435)	FALSE
PMC4231606.nxml.gz	3	['Methods\nThis case–control study was conducted from 2009 to 2011 in the city of Winnipeg, Manitoba, Canada.']	(437, 543)	FALSE
PMC4231606.nxml.gz	4	['144 preschool children with S-ECC were recruited from a local health centre on the day of their slated dental surgery under general anesthetic.']	(544, 687)	FALSE
PMC4231606.nxml.gz	5	['122 caries-free controls were recruited from the community.']	(688, 747)	FALSE
PMC4231606.nxml.gz	6	['Children underwent a blood draw for vitamin D (25(OH)D), calcium, parathyroid hormone, and albumin levels.']	(748, 854)	FALSE
PMC4231606.nxml.gz	7	['Parents completed an interviewed questionnaire assessing the child’s nutritional habits, oral health, and family demographics.']	(855, 981)	FALSE
PMC4231606.nxml.gz	8	['Analyses included descriptive and bivariate statistics as well as multiple and logistic regression.']	(982, 1081)	FALSE
PMC4231606.nxml.gz	9	['A p value\u2009≤\u20090.05 was significant.']	(1082, 1115)	FALSE
PMC4231606.nxml.gz	10	['Results\nThe mean age of participants was 40.8\u2009±\u200914.1\xa0months.']	(1117, 1177)	FALSE
PMC4231606.nxml.gz	11	['Children with S-ECC had significantly lower mean 25(OH)D (68.9\u2009±\u200928.0\xa0nmol/L vs. 82.9\u2009±\u200931.1, p\u2009<\u20090.001), calcium (p\u2009<\u20090.001), and albumin (p\u2009<\u20090.001) levels, and significantly higher parathyroid hormone (p\u2009<\u20090.001) levels than those caries-free.']	(1178, 1424)	FALSE
PMC4231606.nxml.gz	12	['Children with S-ECC were significantly more likely to have vitamin D levels below recognized thresholds for optimal and adequate status (i.e.']	(1425, 1566)	FALSE
PMC4231606.nxml.gz	13	['<75 and <50\xa0nmol/L, respectively).']	(1567, 1601)	FALSE
PMC4231606.nxml.gz	14	['Multiple regression analysis revealed that S-ECC, infrequent milk consumption, and winter season were significantly associated with lower 25(OH)D concentrations.']	(1602, 1763)	FALSE
PMC4231606.nxml.gz	15	['Low 25(OH)D levels, low household income, and poorer ratings of the child’s general health were significantly associated with S-ECC on logistic regression.']	(1764, 1919)	FALSE
PMC4231606.nxml.gz	16	['Conclusion\nChildren with S-ECC appear to have relatively poor nutritional health compared to caries-free controls, and were significantly more likely to have low vitamin D, calcium, and albumin concentrations and elevated PTH levels.']	(1921, 2154)	FALSE
PMC4231606.nxml.gz	17	['Background\nEarly Childhood Caries (ECC) is the most common chronic disease of childhood and is defined as any decay in the primary dentition of children\u2009<\u200972\xa0months of age [1,2].']	(2156, 2334)	FALSE
PMC4231606.nxml.gz	18	['Some children develop a rampant subtype of ECC termed Severe Early Childhood Caries (S-ECC), a condition known to affect health and well-being [3].']	(2335, 2482)	FALSE
PMC4231606.nxml.gz	19	['The extent of decay that they experience generally warrants rehabilitative dental surgery under general anesthesia (GA).']	(2483, 2603)	FALSE
PMC4231606.nxml.gz	20	['Unfortunately, dental surgery is the most common day surgical procedure at most Canadian pediatric hospitals [4].']	(2604, 2717)	FALSE
PMC4231606.nxml.gz	21	['While dental surgery targets the visible signs of the disease, our understanding of the systemic influence of S-ECC on overall health is limited.']	(2718, 2863)	FALSE
PMC4231606.nxml.gz	22	['Quality of life is reduced among those suffering from S-ECC [3,5,6].']	(2864, 2932)	FALSE
PMC4231606.nxml.gz	23	['This can include pain, disturbed sleep and behavioural changes [6-8].']	(2933, 3002)	FALSE
PMC4231606.nxml.gz	24	['Children with severe decay can also have altered eating habits and preferences [5,9].']	(3003, 3088)	FALSE
PMC4231606.nxml.gz	25	['Therefore, rampant caries can influence nutritional health.']	(3089, 3148)	FALSE
PMC4231606.nxml.gz	26	['A few reports reveal that some may be suffering from a degree of malnutrition, specifically anaemia and low iron concentrations, and have altered growth patterns impacting height and body mass index [10-13].']	(3149, 3356)	FALSE
PMC4231606.nxml.gz	27	['It is plausible that those with S-ECC are also deficient in important vitamins and nutrients, including vitamin D [14].']	(3357, 3476)	FALSE
PMC4231606.nxml.gz	28	['Vitamin D regulates calcium levels and plays a key role in craniofacial development and the maintenance of good oral health.']	(3477, 3601)	FALSE
PMC4231606.nxml.gz	29	['There are two main sources of obtaining vitamin D: endogenous synthesis and exogenous attainment from diet and supplementation [15,16].']	(3602, 3737)	FALSE
PMC4231606.nxml.gz	30	['It has a critical role in enamel, dentin, and oral bone formation as ameloblasts and odontoblasts are target cells for 1,25-dihydroxyvitamin D, the active form of vitamin D [17].']	(3738, 3916)	FALSE
PMC4231606.nxml.gz	31	['Deficiency in vitamin D during periods of tooth development may also result in developmental defects [17] including enamel hypoplasia, a significant risk factor for S-ECC.']	(3917, 4088)	FALSE
PMC4231606.nxml.gz	32	['Vitamin D is associated with the two main oral diseases, caries and periodontal disease [14,18-23].']	(4089, 4188)	FALSE
PMC4231606.nxml.gz	33	['In general, higher serum levels of 25-hydroxyvitamin D (25(OH)D) are associated with improved oral health outcomes [14,20-22].']	(4189, 4315)	FALSE
PMC4231606.nxml.gz	34	['Vitamin D also has an immunological role as it can induce the production of antimicrobial peptides such as cathelicidin and certain defensins, which protect us from oral pathogens [22,24].']	(4316, 4504)	FALSE
PMC4231606.nxml.gz	35	['The purpose of this study was to determine the association between serum concentrations of 25(OH)D and S-ECC in preschool children.']	(4505, 4636)	FALSE
PMC4231606.nxml.gz	36	['Methods\nA cross-sectional case–control study was undertaken to test the hypothesis that children with S-ECC have lower serum 25(OH)D, calcium, albumin, and higher parathyroid hormone (PTH) levels than caries-free controls.']	(4638, 4860)	FALSE
PMC4231606.nxml.gz	37	['Differences in ferritin and haemoglobin between these groups has previously been reported in this sample [12].']	(4861, 4971)	FALSE
PMC4231606.nxml.gz	38	['This study was approved by the University of Manitoba’s Health Research Ethics Board, the Misericordia Health Centre (MHC), and the Health Sciences Centre (HSC), Winnipeg, Canada.']	(4972, 5151)	FALSE
PMC4231606.nxml.gz	39	['All parents provided written informed consent at recruitment, and a small honorarium was provided.']	(5152, 5250)	FALSE
PMC4231606.nxml.gz	40	['From October 2009 to August 2011, otherwise-healthy children with S-ECC were recruited from the MHC in Winnipeg, Canada (49° 53′ North) on the day of their dental surgery.']	(5251, 5422)	FALSE
PMC4231606.nxml.gz	41	['Since the case definition for S-ECC is age specific, participants needed to be\u2009≤\u200971\xa0months of age [25].']	(5423, 5526)	FALSE
PMC4231606.nxml.gz	42	['Age-matched caries-free controls were recruited from the community by advertisement and underwent a dental screening by a study team member (RJS).']	(5527, 5673)	FALSE
PMC4231606.nxml.gz	43	['Children were assessed using the dmft index (a cumulative score of decayed, missing, filled primary teeth).']	(5674, 5781)	FALSE
PMC4231606.nxml.gz	44	['Those having a dmft score of 0 were considered caries-free.']	(5782, 5841)	FALSE
