PMCID	SENTENCE_NUM	SENTENCE_START	SENTENCE_END	WORD	POS_TAG	WORD_START	WORD_END	BIO_TAG	PMC_MENTION_ID	ONTOLOGY_CONCEPT_ID	ONTOLOGY_LABEL
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	Management	NN	0	10	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	and	CC	11	14	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	follow	VB	15	21	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	-	:	21	22	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	up	IN	22	24	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	of	IN	25	27	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	thyroid	JJ	28	35	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	cancer	NN	36	42	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	in	IN	43	45	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	pregnant	JJ	46	54	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	women	NNS	55	60	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	AbstractSUMMARY	NNP	62	77	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	Thyroid	NNP	78	85	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	cancer	NN	86	92	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	,	,	92	93	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	the	DT	94	97	O	None	None	None
PMC3272870.nxml.gz	PMC3272870.nxml.gz_0	0	175	most	RBS	98	102	O	None	None	None
