PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4377896.nxml.gz	0	['Fish Intake during Pregnancy and Foetal Neurodevelopment—A Systematic Review of the Evidence\n\nAbstract\nFish is a source of several nutrients that are important for healthy foetal development.']	(0, 191)	TRUE
PMC4377896.nxml.gz	1	['Guidelines from Australia, Europe and the USA encourage fish consumption during pregnancy.']	(192, 282)	TRUE
PMC4377896.nxml.gz	2	['The potential for contamination by heavy metals, as well as risk of listeriosis requires careful consideration of the shaping of dietary messages related to fish intake during pregnancy.']	(283, 469)	TRUE
PMC4377896.nxml.gz	3	['This review critically evaluates literature on fish intake in pregnant women, with a focus on the association between neurodevelopmental outcomes in the offspring and maternal fish intake during pregnancy.']	(470, 675)	TRUE
PMC4377896.nxml.gz	4	['Peer-reviewed journal articles published between January 2000 and March 2014 were included.']	(676, 767)	FALSE
PMC4377896.nxml.gz	5	['Eligible studies included those of healthy pregnant women who had experienced full term births and those that had measured fish or seafood intake and assessed neurodevelopmental outcomes in offspring.']	(768, 968)	FALSE
PMC4377896.nxml.gz	6	['Medline, Scopus, Web of Science, ScienceDirect and the Cochrane Library were searched using the search terms: pregnant, neurodevelopment, cognition, fish and seafood.']	(969, 1135)	FALSE
PMC4377896.nxml.gz	7	['Of 279 papers sourced, eight were included in the final review.']	(1136, 1199)	FALSE
PMC4377896.nxml.gz	8	['Due to heterogeneity in methodology and measured outcomes, a qualitative comparison of study findings was conducted.']	(1200, 1316)	TRUE
PMC4377896.nxml.gz	9	['This review indicates that the benefits of diets providing moderate amounts of fish during pregnancy outweigh potential detrimental effects in regards to offspring neurodevelopment.']	(1317, 1498)	TRUE
PMC4377896.nxml.gz	10	['It is important that the type of fish consumed is low in mercury.']	(1499, 1564)	TRUE
PMC4377896.nxml.gz	11	['1.']	(1566, 1568)	FALSE
PMC4377896.nxml.gz	12	['Introduction\nFish is a source of several nutrients that are important during pregnancy for healthy foetal development including iodine, long chain omega-3 polyunsaturated fatty acids (LC n- 3PUFAs), and vitamins A, D and B12 [1].']	(1569, 1798)	TRUE
PMC4377896.nxml.gz	13	['Guidelines from Australia [2], Europe [3] and the USA [4] encourage the consumption of fish during pregnancy.']	(1799, 1908)	TRUE
PMC4377896.nxml.gz	14	['Recent studies indicate that pregnant women lack sufficient knowledge regarding the importance of iodine and LC n -3 PUFAs [5,6], nutrients that are present in fish and seafood.']	(1909, 2086)	TRUE
PMC4377896.nxml.gz	15	['In addition, it appears Australian women are falling short of LC n- 3PUFA intake recommendations during pregnancy [6,7].']	(2087, 2207)	TRUE
PMC4377896.nxml.gz	16	['On average, Australian women are consuming 33 g of fish per day and pregnant women an average of 28 g of fish per day, below Food Standards Australia New Zealand (FSANZ) recommended intakes [8].']	(2208, 2402)	TRUE
PMC4377896.nxml.gz	17	['As well as being a source of essential nutrients, fish are also a potential source of contaminants including mercury, polychlorinated biphenyls and dioxins [9].']	(2403, 2563)	TRUE
