PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC4380518.nxml.gz	0	['Prenatal Vitamin Use and Vitamin D Status during Pregnancy, Differences by Race and Overweight Status\n\nAbstract\n\nObjective\nWe aimed to study whether prenatal vitamin (PNV) use protects against low 25(OH)D levels in all women and particularly in obese and black women who are both at risk of vitamin D deficiency and poor pregnancy outcomes.']	(0, 340)	TRUE
PMC4380518.nxml.gz	1	['Study design\nWe studied 1019 women enrolled in a prospective study at Brigham and Women’s Hospital in Boston, 2007–2009.']	(342, 462)	FALSE
PMC4380518.nxml.gz	2	['We used multivariable logistic regression to analyze associations of PNV use and odds of vitamin D deficiency defined as 25(OH)D levels < 50 nmol/L.']	(463, 611)	FALSE
PMC4380518.nxml.gz	3	['Results\n56% of black and 86% of white women reported pre- and/or post-conceptional PNV use.']	(613, 704)	FALSE
PMC4380518.nxml.gz	4	['75% of black and 19% of white women were vitamin D deficient in the first trimester.']	(705, 789)	FALSE
PMC4380518.nxml.gz	5	['PNV use among black women was not associated with vitamin D deficiency (adjusted OR 1.0, 95%CI 0.4, 2.3) but was among white women (3.5, 95%CI 2.1, 5.8)(Interaction P<0.01).']	(790, 963)	FALSE
PMC4380518.nxml.gz	6	['Conclusions\nOngoing trials of vitamin D supplementation during pregnancy should consider potential effect modification by race/ethnicity.']	(965, 1102)	FALSE
PMC4380518.nxml.gz	7	['Introduction\nPerinatal health outcomes vary dramatically by race in the United States.1African American women develop preeclampsia more often than their white counterparts2and are more likely to develop preterm labor.3The result is that black infants are 60% more likely be preterm and four times more likely to die due to prematurity than white infants.1Because of less efficient vitamin D synthesis in the skin of darker pigmented individuals, African Americans are at higher risk than white Americans of vitamin D deficiency.4,5Black women are also more likely than white women to be overweight or obese6which is of concern because obesity is another risk factor for vitamin D deficiency5,7and poor perinatal outcomes.8In observational studies, 25-hydroxyvitamin D (25[OH]D) levels have been shown to be associated with higher risk of several adverse perinatal outcomes including gestational diabetes9,10, preeclampsia,11preterm birth12and small-for-gestational age status.13,14,15,16,17Because of the paucity of vitamin D trial data with respect to perinatal outcomes, whether differences in vitamin D status during pregnancy explains or partially explains perinatal disparities is plausible18but remains unknown.']	(1104, 2321)	FALSE
PMC4380518.nxml.gz	8	['Furthermore, while multivitamin intake has been shown to vary by race,19it remains unknown whether multivitamin intake improves vitamin D status among the highest risk groups (African Americans and overweight/obese) during pregnancy.']	(2322, 2555)	FALSE
PMC4380518.nxml.gz	9	['The object of this study was to examine whether women who reported taking a prenatal vitamin had lower risk of low 25(OH)D levels.']	(2556, 2686)	FALSE
PMC4380518.nxml.gz	10	['Our hypothesis was that lack of prenatal vitamin (PNV) use would be associated with vitamin D deficiency (defined as <50 nmol/).']	(2687, 2815)	FALSE
