PMCID	SENTENCE_NUMBER	SENTENCE	SENTENCE_INDICES	IGNORANCE_CLASSIFICATION
PMC2898025.nxml.gz	0	['Season of Birth and Risk for Adult Onset Glioma\n\nAbstract\nAdult onset glioma is a rare cancer which occurs more frequently in Caucasians than African Americans, and in men than women.']	(0, 183)	FALSE
PMC2898025.nxml.gz	1	['The etiology of this disease is largely unknown.']	(184, 232)	FALSE
PMC2898025.nxml.gz	2	['Exposure to ionizing radiation is the only well established environmental risk factor, and this factor explains only a small percentage of cases.']	(233, 378)	FALSE
PMC2898025.nxml.gz	3	['Several recent studies have reported an association between season of birth and glioma risk.']	(379, 471)	FALSE
PMC2898025.nxml.gz	4	['This paper reviews the plausibility of evidence focusing on the seasonal interrelation of farming, allergies, viruses, vitamin D, diet, birth weight, and handedness.']	(472, 637)	FALSE
PMC2898025.nxml.gz	5	['To date, a convincing explanation for the occurrence of adult gliomas decades after a seasonal exposure at birth remains elusive.']	(638, 767)	FALSE
PMC2898025.nxml.gz	6	['Introduction\nGliomas are a heterogeneous group of neoplasms in terms of cellular origin and location.']	(769, 870)	FALSE
PMC2898025.nxml.gz	7	['They represent the most common malignant brain tumors [1].']	(871, 929)	FALSE
PMC2898025.nxml.gz	8	['Despite considerable efforts to unravel the etiologic basis for this cancer and attempts to find a cure, gliomas largely remain refractory to treatment.']	(930, 1082)	FALSE
PMC2898025.nxml.gz	9	['Except for a small percentage of cases, the tumors continue to show high morbidity and mortality.']	(1083, 1180)	FALSE
PMC2898025.nxml.gz	10	['Established risk factors include ionizing radiation and a few genetic syndromes [2].']	(1181, 1265)	FALSE
PMC2898025.nxml.gz	11	['However, the attributable risk for these factors is small and can only explain a fraction of cases.']	(1266, 1365)	TRUE
PMC2898025.nxml.gz	12	['Evidence of an association between adult-onset glioma and date of birth suggests an etiologic role for a seasonally variable environmental exposure occurring prenatally around the time of birth.']	(1366, 1560)	FALSE
PMC2898025.nxml.gz	13	['The period between an environmental exposure and the appearance of cancer may be lengthy, as illustrated by the development of vaginal cancer in daughters years after their mothers used diethylstilbestrol (DES) during pregnancy [3].']	(1561, 1793)	FALSE
PMC2898025.nxml.gz	14	['Similarly, exposure to asbestos 70 years prior to the development of mesothelioma [4], suggests a “one insult, co-carcinogenic model” of cancer development [5].']	(1794, 1954)	FALSE
PMC2898025.nxml.gz	15	['Risk factors that may exhibit seasonal epidemicity include exposure to infectious agents, allergens, pesticides, indoor environmental tobacco smoke, and other sources of polycyclic aromatic hydrocarbons (e.g., soot from fires for home heating), and use of antihistamines.']	(1955, 2226)	FALSE
PMC2898025.nxml.gz	16	['Other putative candidates include harmonic variation in population mixing, diet, temperature, humidity, sunlight/photoperiod, levels of vitamin D3, and endogenous hormones [6,7].']	(2227, 2405)	FALSE
PMC2898025.nxml.gz	17	['The origins of many childhood and adult malignancies are believed to be determined during a finite perinatal window.']	(2406, 2522)	FALSE
PMC2898025.nxml.gz	18	['During this period the brain and immune systems are less developed, undergoing greater cell growth and differentiation, and possibly more susceptible to DNA and epigenetic changes underlying cancer development in the near or distant future [5,8–13].']	(2523, 2772)	FALSE
PMC2898025.nxml.gz	19	['In this model, environmental exposures and lifestyle changes that occur afterwards play a mainly secondary role to the programming or imprinting that occurs during pregnancy and/or early infancy [14,15].']	(2773, 2976)	FALSE
PMC2898025.nxml.gz	20	['Methods\n\nSearch Strategy\nArticles were identified by systematically searching the Medline/PubMed database from inception to January 2010 using the key words: brain tumors and season of birth.']	(2978, 3169)	FALSE
PMC2898025.nxml.gz	21	['Furthermore, we manually examined the bibliography of the papers that were identified electronically.']	(3170, 3271)	FALSE
PMC2898025.nxml.gz	22	['We also searched for unpublished studies, PhD dissertations, internal reports, and conference proceedings/abstracts.']	(3272, 3388)	FALSE
PMC2898025.nxml.gz	23	['Finally, to make our search inclusive of those studies in which season of birth was a secondary factor we checked the tables of every article known to us that examined risk factors for brain tumors.']	(3389, 3587)	FALSE
PMC2898025.nxml.gz	24	['A similar process was used to identify papers on risk factors related to season of birth.']	(3588, 3677)	FALSE
PMC2898025.nxml.gz	25	['Inclusion Criteria\nStudies were included only if the target population, outcome and exposures of interest were clearly defined and results were based on valid statistical methodology with evaluation of errors and discussion of study bias.']	(3679, 3917)	FALSE
PMC2898025.nxml.gz	26	['Studies in which participants were chosen at convenience were not considered in this review.']	(3918, 4010)	FALSE
PMC2898025.nxml.gz	27	['In the case of a cohort appearing in the literature multiple times only the most recent version was included since it provided the largest number of cases and the longest follow-up.']	(4011, 4192)	FALSE
PMC2898025.nxml.gz	28	['Priority was given to papers that presented original data rather than reviews or meta-analyses.']	(4193, 4288)	FALSE
PMC2898025.nxml.gz	29	['Review of Literature\nSeveral recent studies have explored season of birth as a risk factor for adult glioma, but results have been mixed (Table 1).']	(4290, 4437)	TRUE
PMC2898025.nxml.gz	30	['Three independent reports have observed a peak risk for winter births [16–18], while no seasonal variation for risk was noted in two other epidemiologic studies [19,20].']	(4438, 4607)	FALSE
PMC2898025.nxml.gz	31	['A multi-centered study of four Midwest states examining rural and farm exposures observed a statistically significant increased risk of adult gliomas for springtime births, but only among those born “off” a farm [21].']	(4608, 4825)	FALSE
PMC2898025.nxml.gz	32	['Similarly, the study of childhood brain tumors and season of birth have yielded equivocal results [22–26].']	(4826, 4932)	TRUE
PMC2898025.nxml.gz	33	['Risk Factors Related To Season of Birth\nThe underlying rationale for the occurrence of a glioma decades after a seasonal exposure remains elusive.']	(4934, 5080)	FALSE
